Tags,Meaning,Examples,English
BYW,Bijwoord,achter | ook | samen,Adverb
BYW:GRD,Bijwoord:Gradatie,enigszins | nogal | veel,Adverb:Degree
BYW:JES,Bijwoord:Eindigend op -jes,dunnetjes | gewoontjes | zachtjes,Adverb:Diminutive
DVS,Deel van samenstelling,hoogseizoen-(drukte) | mond- (en klauwzeer) | bami-(maaltijd),Part of compound word
DVW,Deel van woordgroep,(te) goeder (trouw) | (in) feite | (’s) middags,Part of adverbial phrase
ENM:BEZ,Eigennaam:Bezitsvorm,Henk-Jans (boek) | Lina’s (fiets) | Kees’ (telefoon),Proper noun:Possessive
ENM:FSD,Eigennaam:Feestdag,Hemelvaartsdag | Pinksteren | Thanksgiving,Proper noun:Holiday
ENM:LOC:EIL,Eigennaam:Locatie:Eiland,Aruba | Madagascar | Texel,Proper noun:Location:Island
ENM:LOC:LND,Eigennaam:Locatie:Land,Bahama’s | Nederland | Vietnam,Proper noun:Location:Country
ENM:LOC:PTS,Eigennaam:Locatie:Plaats,Antwerpen | Bergambacht | Ljubljana,Proper noun:Location:Place
ENM:LOC:RGN,Eigennaam:Locatie:Regio,Azië | Driebergen-Zeist | Mesopotamië,Proper noun:Location:Region
ENM:ORG,Eigennaam:Organisatie,3FM | Lamborghini | Spotify,Proper noun:Organization
ENM:OTH,Eigennaam:Andere,Beëlzebub | Betelgeuze | Viracocha,Proper noun:Other
ENM:PER:FST,Eigennaam:Persoonsvorm:Voornaam,Geertruida | Loes | Owen,Proper noun:First name
ENM:PER:LST,Eigennaam:Persoonsvorm:Achternaam,Bezemer | Reuver | Terlouw,Proper noun:Last name
ENM:PER:LST:_T_,Eigennaam:Persoonsvorm:Achternaam:t,(’t) Hooft | (’t) Zand | (’t) Gilde,Proper noun:Last name:‘t
ENM:PER:LST:DE_,Eigennaam:Persoonsvorm:Achternaam:De,(de) Bekker | (de) Bever | (de) Graaf,Proper noun:Last name:de
ENM:PER:LST:DEN,Eigennaam:Persoonsvorm:Achternaam:Den,(den) Adel | (den) Elzen | (den) Uil,Proper noun:Last name:den
ENM:PER:LST:DLA,Eigennaam:Persoonsvorm:Achternaam:De la,(de la) Croix | (de la) Mar | (de la) Rambelje,Proper noun:Last name:de la
ENM:PER:LST:DU_,Eigennaam:Persoonsvorm:Achternaam:Du,(du) Bois | (du) Pont | (du) Pré,Proper noun:Last name:du
ENM:PER:LST:EL_,Eigennaam:Persoonsvorm:Achternaam:El,(el) Abdellaoui | (el) Baghdadi | (el) Mourabit,Proper noun:Last name:el
ENM:PER:LST:I_T,Eigennaam:Persoonsvorm:Achternaam:In ‘t,(in ’t) Groen | (in ’t) Hout | (in ’t) Veld,Proper noun:Last name:in ‘t
ENM:PER:LST:LE_,Eigennaam:Persoonsvorm:Achternaam:Le,(le) Blanc | (le) Duc | (le) Noble,Proper noun:Last name:le
ENM:PER:LST:NIX,Eigennaam:Persoonsvorm:Achternaam:Geen tussenvoegsel,Aalbers | Edinga | Warnink,Proper noun:Last name:No prefix
ENM:PER:LST:O_T,Eigennaam:Persoonsvorm:Achternaam:Op ‘t,(op ’t) Ende | (op ’t) Root | (op ’t) Veld,Proper noun:Last name:op ‘t
ENM:PER:LST:ODN,Eigennaam:Persoonsvorm:Achternaam:Op den,(op den) Camp | (op den) Dries | (op den) Kelder,Proper noun:Last name:op den
ENM:PER:LST:TE_,Eigennaam:Persoonsvorm:Achternaam:Te,(te) Boekhorst | (te) Loo | (te) Velde,Proper noun:Last name:te
ENM:PER:LST:TEN,Eigennaam:Persoonsvorm:Achternaam:Ten,(ten) Berg | (ten) Damme | (ten) Pas,Proper noun:Last name:ten
ENM:PER:LST:TER,Eigennaam:Persoonsvorm:Achternaam:Ter,(ter) Borg | (ter) Haak | (ter) Wal,Proper noun:Last name:ter
ENM:PER:LST:VAN,Eigennaam:Persoonsvorm:Achternaam:Van,(van) Achthoven | (van) Hattem | (van) Vliet,Proper noun:Last name:van
ENM:PER:LST:VDE,Eigennaam:Persoonsvorm:Achternaam:Van de,(van de) Akker | (van de) Bode | (van de) Meulen,Proper noun:Last name:van de
ENM:PER:LST:VDN,Eigennaam:Persoonsvorm:Achternaam:Van den,(van den) Boomgaard | (van den) Brink | (van den) Ouden,Proper noun:Last name:van den
ENM:PER:LST:VDR,Eigennaam:Persoonsvorm:Achternaam:Van der,(van der) Hulst | (van der) Kleij | (van der) Pool,Proper noun:Last name:van der
ENM:PER:LST:VHT,Eigennaam:Persoonsvorm:Achternaam:Van het,(van het) Goor | (van het) Hof | (van het) Reve,Proper noun:Last name:van het
ENM:PER:LST:VNT,Eigennaam:Persoonsvorm:Achternaam:Van ‘t,(van ’t) Ende | (van ’t) Loo | (van ’t) Zand,Proper noun:Last name:van ‘t
ENM:PRD,Eigennaam:Product,Facebook | Playstation | Windows,Proper noun:Product
GET:MRV:DE_,Getal:Meervoud:De,allebei | vieren | zesduizenden,Number:Plural
GET:NMR:MRV:DE_,Getal:Numeriek:Meervoud:De,achtsten | eersten | tienduizendsten,Number:Numeric:Plural
GET:RNG,Getal:Rangtelwoord,100e | 21e | achthonderdtwaalfde,Number:Ordinal
GET:ROM:MRV,Getal:Romeins:Meervoud,XXV | C | MCCCXXXVII,Number:Roman:Plural
GET:TXT,Getal:Tekst,anderhalf | derdehalf | drieënhalf,Number:Text
GET:TXT:EKV,Getal:Tekst:Enkelvoud,n | een | één,Number:Text:Singular
GET:TXT:MRV,Getal:Tekst:Meervoud,honderdachtenveertig | miljard | nul,Number:Text:Plural
MEH:EKV,Meeteenheid:Enkelvoud,°C | cm | nanovolt,Measuring unit:Singular
MEH:MRV,Meeteenheid:Meervoud,elektronvolts | millibars | pascals,Measuring unit:Plural
TSW,Tussenwerpsel,ah | OK | toedeloe,Interjection
VRZ,Voorzetsel,behalve | tegenover | vanaf,Preposition
VGW,Voegwoord,aangezien | hoewel | voordat,Conjunction
VGW:EKV:HET,Voegwoord:Enkelvoud:Het,dat,Conjunction:Singular:het
VGW:EKV:DE_,Voegwoord:Enkelvoud:De,die,Conjunction:Singular:de
VGW:MRV:DE_,Voegwoord:Meervoud:De,die,Conjunction:Plural:de
VNW,Voornaamwoord,dezer | wiens | zelf,Pronoun
VNW:AWZ:EKV:DE_,Voornaamwoord:Aanwijzend:Enkelvoud:De,de | dezelfde | die,Pronoun:Demonstrative:Singular:de
VNW:AWZ:EKV:HET,Voornaamwoord:Aanwijzend:Enkelvoud:Het,dit | het | ‘t,Pronoun:Demonstrative:Singular:het
VNW:AWZ:MRV:DE_,Voornaamwoord:Aanwijzend:Meervoud:De,de | dezelfde | die,Pronoun:Demonstrative:Plural
VNW:BEZ,Voornaamwoord:Bezitsvorm,andermans | diens | elkaars,Pronoun:Possessive
VNW:OBP,Voornaamwoord:Onbepaald,allerlei | enkele | geen,Pronoun:Indefinite
VNW:OBP:EKV,Voornaamwoord:Onbepaald:Enkelvoud,iemand | iets | menigeen,Pronoun:Indefinite:Singular
VNW:OBP:MRV,Voornaamwoord:Onbepaald:Meervoud,allen | meesten | sommige,Pronoun:Indefinite:Plural
VNW:OBP:ONV,Voornaamwoord:Onbepaald:Onverbogen,elk | meest | weinig,Pronoun:Indefinite:Uninflected
VNW:OBP:VRB,Voornaamwoord:Onbepaald:Verbogen,elke | meeste | weinige,Pronoun:Indefinite:Inflected
VNW:OND:EKV:HET,Voornaamwoord:Onderschikkend:Enkelvoud:Het,dat | dit | het,Pronoun:Subordinate clause:Singular
VNW:OND:MRV:DE_,Voornaamwoord:Onderschikkend:Meervoud:De,deze,Pronoun:Subordinate clause:Plural
VNW:PER:1EP:EKV:ACT,Voornaamwoord:Persoonlijk:1e persoon:Enkelvoud:Actief,‘k | ik,Pronoun:Personal:1st:Singular:Active
VNW:PER:1EP:EKV:BEZ,Voornaamwoord:Persoonlijk:1e persoon:Enkelvoud:Bezitsvorm,m’n | mijn,Pronoun:Personal:1st:Singular:Possessive
VNW:PER:1EP:EKV:PSF,Voornaamwoord:Persoonlijk:1e persoon:Enkelvoud:Passief,me | mij,Pronoun:Personal:1st:Singular:Passive
VNW:PER:1EP:MRV:ACT,Voornaamwoord:Persoonlijk:1e persoon:Meervoud:Actief,we | wij,Pronoun:Personal:1st:Plural:Active
VNW:PER:1EP:MRV:BEZ,Voornaamwoord:Persoonlijk:1e persoon:Meervoud:Bezitsvorm,ons | onze,Pronoun:Personal:1st:Plural:Possessive
VNW:PER:1EP:MRV:PSF,Voornaamwoord:Persoonlijk:1e persoon:Meervoud:Passief,ons,Pronoun:Personal:1st:Plural:Passive
VNW:PER:2EP:EKV:ACT,Voornaamwoord:Persoonlijk:2e persoon:Enkelvoud:Actief,je | jij | jijzelf,Pronoun:Personal:2nd:Singular:Active
VNW:PER:2EP:EKV:BEZ,Voornaamwoord:Persoonlijk:2e persoon:Enkelvoud:Bezitsvorm,je | jouw,Pronoun:Personal:2nd:Singular:Possessive
VNW:PER:2EP:EKV:PSF,Voornaamwoord:Persoonlijk:2e persoon:Enkelvoud:Passief,je | jezelf | jou,Pronoun:Personal:2nd:Singular:Passive
VNW:PER:2EP:MRV:ACT,Voornaamwoord:Persoonlijk:2e persoon:Meervoud:Actief,jullie,Pronoun:Personal:2nd:Plural:Active
VNW:PER:2EP:MRV:BEZ,Voornaamwoord:Persoonlijk:2e persoon:Meervoud:Bezitsvorm,jullie,Pronoun:Personal:2nd:Plural:Possessive
VNW:PER:2EP:MRV:PSF,Voornaamwoord:Persoonlijk:2e persoon:Meervoud:Passief,jullie,Pronoun:Personal:2nd:Plural:Passive
VNW:PER:3EP:EKV:ACT,Voornaamwoord:Persoonlijk:3e persoon:Enkelvoud:Actief,hij | zij | u,Pronoun:Personal:3rd:Singular:Active
VNW:PER:3EP:EKV:BEZ,Voornaamwoord:Persoonlijk:3e persoon:Enkelvoud:Bezitsvorm,haar | uw | zijn,Pronoun:Personal:3rd:Singular:Possessive
VNW:PER:3EP:EKV:PSF,Voornaamwoord:Persoonlijk:3e persoon:Enkelvoud:Passief,‘m | hem | hen,Pronoun:Personal:3rd:Singular:Passive
VNW:PER:3EP:MRV:ACT,Voornaamwoord:Persoonlijk:3e persoon:Meervoud:Actief,julliezelf | ze | zij,Pronoun:Personal:3rd:Plural:Active
VNW:PER:3EP:MRV:PSF,Voornaamwoord:Persoonlijk:3e persoon:Meervoud:Passief,ze,Pronoun:Personal:3rd:Plural:Passive
VNW:RFX,Voornaamwoord:Wederkerend,zich | zich-zelf | zichzelf,Pronoun:Reflexive
VNW:VRG,Voornaamwoord:Vragend,wat | welke,Pronoun:Interrogative
WKW:AWS,Werkwoord:Aanvoegende wijs,foutrekene | teruggroete | voorbestelle,Verb:Subjunctive mood
WKW:AWS:LOS,Werkwoord:Aanvoegende wijs:Los,ape (na) | vaardige (uit) | zwakke (af),Verb:Subjunctive mood:Separable
WKW:INF:ZNW:HET,Werkwoord:Infinitief:Zelfstandig naamwoord:Het,aandachttrekken | tegelzetten | voordrinken,Verb:Infinitive:Noun
WKW:ODW:MRV:DE_,Werkwoord:Onvoltooid deelwoord:Meervoud:De,aantonenden | fröbelenden | nasissenden,Verb:Present participle:Plural
WKW:ODW:ONV,Werkwoord:Onvoltooid deelwoord:Onverbogen,aantonend | fröbelend | nasissend,Verb:Present participle:Uninflected
WKW:ODW:VRB,Werkwoord:Onvoltooid deelwoord:Verbogen,aantonende | fröbelende | nasissende,Verb:Present participle:Inflected
WKW:TGW:1EP,Werkwoord:Tegenwoordige tijd:1e pers,aantoon | fröbel | nasis,Verb:Present tense:1st
WKW:TGW:1EP:LOS,Werkwoord:Tegenwoordige tijd:1e persoon:Los,aap (na) | vaardig (uit) | zwak (af),Verb:Present tense:1st:Separable
WKW:TGW:3EP,Werkwoord:Tegenwoordige tijd:3e pers,aantoont | fröbelt | nasist,Verb:Present tense:3rd
WKW:TGW:3EP:LOS,Werkwoord:Tegenwoordige tijd:3e persoon:Los,aapt (na) | vaardigt (uit) | zwakt (af),Verb:Present tense:3rd:Separable
WKW:TGW:GIJ,Werkwoord:Tegenwoordige tijd:Gij,moogt | zijt | zult,Verb:Present tense:Thou
WKW:TGW:INF,Werkwoord:Tegenwoordige tijd:Infinitief,aantonen | fröbelen | nasissen,Verb:Present tense:Infinitive
WKW:TGW:INF:LOS,Werkwoord:Tegenwoordige tijd:Infinitief:Los,apen (na) | vaardigen (uit) | zwakken (af),Verb:Present tense:Infinitive:Separable
WKW:VLT:1EP,Werkwoord:Verleden tijd:1e pers,aantoonde | fröbelde | nasiste,Verb:Past tense:1st
WKW:VLT:1EP:LOS,Werkwoord:Verleden tijd:1e persoon:Los,aapte (na) | vaardigde (uit) | zwakte (af),Verb:Past tense:1st:Separable
WKW:VLT:GIJ,Werkwoord:Verleden tijd:Gij,mocht | waart | zoudt,Verb:Past tense:Thou
WKW:VLT:INF,Werkwoord:Verleden tijd:Infinitief,aantoonden | fröbelden | nasisten,Verb:Past tense:Infinitive
WKW:VLT:INF:LOS,Werkwoord:Verleden tijd:Infinitief:Los,aapten (na) | vaardigden (uit) | zwakten (af),Verb:Past tense:Infinitive:Separable
WKW:VTD:MRV:DE_,Werkwoord:Voltooid deelwoord:Meervoud:De,gehutselden | nagetypten | verstrekenen,Verb:Past tense:Plural
WKW:VTD:ONV,Werkwoord:Voltooid deelwoord:Onverbogen,aangetoond | gefröbeld | nagesist,Verb:Past tense:Uninflected
WKW:VTD:ONV:LOS,Werkwoord:Voltooid deelwoord:Onverbogen:Los,(na …) gebootst | (uit …) gebrakt | (binnen …) gerijfd,Verb:Past tense:Uninflected:Separable
WKW:VTD:VRB,Werkwoord:Voltooid deelwoord:Verbogen,aangetoonde | gefröbelde | nagesiste,Verb:Past tense:Inflected
WKW:VTD:ZNW:EKV,Werkwoord:Voltooid deelwoord:Zelfstandig naamwoord:Enkelvoud,aangeprezene | gezetene | natgespotene,Verb:Past tense:Noun:Singular
WKW:VTD:ZNW:MRV:DE_,Werkwoord:Voltooid deelwoord:Zelfstandig naamwoord:Meervoud:De,aangeprezenen | gezetenen | natgespotenen,Verb:Past tense:Noun:Plural
ZNW:BEZ,Zelfstandig naamwoord:Bezitsvorm,buurmans (auto) | ooms (huis) | stiefoma’s (kookkunsten),Noun:Possessive
ZNW:EKV,Zelfstandig naamwoord:Enkelvoud,bandana | judospel | slotnota,Noun:Singular
ZNW:EKV:DE_,Zelfstandig naamwoord:Enkelvoud:De,boerenbruiloft | filosofiebundel | vleesliefhebber,Noun:Singular:de
ZNW:EKV:HET,Zelfstandig naamwoord:Enkelvoud:Het,fietsrouteboek | klantdocumentje | pretloketje,Noun:Singular:het
ZNW:EKV:VRK:HET,Zelfstandig naamwoord:Enkelvoud:Verkleinwoord:Het,fietsrouteboekje | klantdocumentje | pretloketje,Noun:Singular:Dimunitive
ZNW:MRV:DE_,Zelfstandig naamwoord:Meervoud:De,boerenbruiloften | filosofiebundels | vleesliefhebbers,Noun:Plural
ZNW:MRV:VRK:DE_,Zelfstandig naamwoord:Meervoud:Verkleinwoord:De,boerenbruiloftjes | filosofiebundeltjes | vleesliefhebbertjes,Noun:Plural:Dimunitive
