# Words with one root. Used by RussianWordRootRepeatRule.
# This file must be encoded in UTF-8.
# Imported from /Dicts/SrcBinDict/troiki_suff.txt seman.sf.net (AOT), LGPL v2.1
абажур;абажурный
аритмия;аритмический
арифметик;арифметический
Аркалык;аркалыкский
аркан;арканный
Арканзас;арканзасский
арлекин;арлекинский
Армавир;армавирский
арматура;арматурный
армоцемент;армоцементный
армяк;армячный
арнаут;арнаутский
аромат;ароматизация
аромат;ароматный
ароматичность;ароматичный
ароматность;ароматный
арсенал;арсенальный
артель;артельный
артистичность;артистичный
артрит;артритный
артритик;артритический
архаичность;архаичный
археография;археографический
археология;археологический
архив;архивация
архив;архивный
архидиакон;архидиаконский
архидиаконство;архидиаконский
архиепископ;архиепископский
архиепископство;архиепископский
архиерей;архиерейский
архимандрит;архимандритский
архипелаг;архипелажный
архитектор;архитекторский
архитектура;архитектурный
архитрав;архитравный
аршин;аршинный
арык;арычный
арьергард;арьергардный
асбестоцемент;асбестоцементный
асбоцемент;асбоцементный
асексуальность;асексуальный
асессор;асессорский
асимметричность;асимметричный
асимметрия;асимметрический
асинхронность;асинхронный
аспект;аспектный
аспид;аспидный
аспид;аспидский
аспирант;аспирантский
аспиратор;аспираторный
ассемблер;ассемблерный
ассимилятор;ассимиляторский
ассимиляторство;ассимиляторский
ассистент;ассистентский
ассонанс;ассонансный
ассортимент;ассортиментный
ассоциативность;ассоциативный
астеник;астенический
астеник;астеничный
астения;астенический
астероид;астероидный
астматик;астматический
астробиология;астробиологический
астрогеография;астрогеографический
астрогеология;астрогеологический
астроида;астроидный
астрология;астрологический
астрометрия;астрометрический
астрономия;астрономический
астрофизик;астрофизический
астрофотография;астрофотографический
астрохимия;астрохимический
асфальт;асфальтный
асфальтобетон;асфальтобетонный
асферичность;асферичный
атавистичность;атавистичный
атаксия;атаксический
атаман;атаманский
атаманство;атаманский
атапаск;атапаскский
атлант;атлантский
атлас;атласный
атлас;атласский
атмосфера;атмосферный
атмосферостойкость;атмосферостойкий
атом;атомизация
атом;атомный
атомность;атомный
атональность;атональный
атония;атонический
атрибут;атрибутный
атрибутивность;атрибутивный
атрофия;атрофический
аттик;аттический
аттракцион;аттракционный
аудитор;аудиторный
аудитор;аудиторский
аукцион;аукционный
аул;аульный
аустенит;аустенитный
аутентичность;аутентичный
Афганистан;афганистанский
аферист;аферистский
афиша;афишный
афония;афонический
афористичность;афористичный
Африкан;африканизация
Африкан;африканский
аффект;аффектация
аффикс;аффиксация
аффинаж;аффинажный
аффинность;аффинный
аффирматива;аффирмативный
аффриката;аффрикатный
Ахмадабад;ахмадабадский
ахромат;ахроматизация
ацетат;ацетатный
ацетил;ацетильный
ацетилцеллюлоза;ацетилцеллюлозный
ацикличность;ацикличный
ацтек;ацтекский
ашуг;ашугский
Ашхабад;ашхабадский
аэроб;аэробный
аэробиология;аэробиологический
аэровокзал;аэровокзальный
аэрография;аэрографический
аэродром;аэродромный
аэрозоль;аэрозольный
аэрология;аэрологический
аэрометрия;аэрометрический
аэроплан;аэропланный
аэростат;аэростатный
аэроупругость;аэроупругий
аэрофотограмметрия;аэрофотограмметрический
аэрофотография;аэрофотографический
аэрофототопография;аэрофототопографический
баббит;баббитный
бабушкин;бабушкинский
багаж;багажный
Багдад;багдадский
багер;багерный
багет;багетный
багор;багорный
багровость;багровый
багряность;багряный
Баден-Вюртемберг;баден-вюртембергский
бадминтон;бадминтонный
базар;базарный
базис;базисный
базофил;базофильный
бай;байский
байонет;байонетный
байпас;байпасный
байрам;байрамный
байство;байский
байт;байтный
бакалавр;бакалаврский
бакен;бакенный
бакенбарда;бакенбардный
баклажан;баклажанный
бактериология;бактериологический
бактерицид;бактерицидный
бакштов;бакштовный
балаган;балаганный
балагур;балагурный
баламут;баламутный
баланс;балансный
балансир;балансирный
Балатон;балатонский
балахон;балахонный
Балашов;балашовский
бал;бальный
балдахин;балдахинный
балет;балетный
балетмейстер;балетмейстерский
балетоман;балетоманский
балкар;балкарский
балкон;балконный
баллада;балладный
балласт;балластный
балл;балльный
баллон;баллонный
баллонет;баллонетный
Балхаш;балхашский
бальзам;бальзамный
бальзамин;бальзаминный
бальнеология;бальнеологический
балюстрада;балюстрадный
банальность;банальный
Бангалор;бангалорский
Бангкок;бангкокский
Бангладеш;бангладешский
бандаж;бандажный
бандероль;бандерольный
бандит;бандитский
Бандунг;бандунгский
бандура;бандурный
банкаброш;банкаброшный
банкет;банкетный
банкир;банкирский
банкнота;банкнотный
банкнот;банкнотный
банкрот;банкротский
банкротство;банкротский
баптист;баптистский
барабан;барабанный
барак;барачный
баранок;бараночный
Барбадос;барбадосский
барбарис;барбарисный
бар;барский
барбет;барбетный
баргузин;баргузинский
барда;бардяной
бард;бардяной
барельеф;барельефный
барион;барионный
баритон;баритонный
баркас;баркасный
бароклина;бароклинный
бароклинность;бароклинный
барометрия;барометрический
барон;баронский
баронство;баронский
баротропность;баротропный
баррикада;баррикадный
барристер;барристерский
барственность;барственный
барство;барский
бартер;бартерный
бархан;барханный
бархат;бархатный
бархатистость;бархатистый
бархатность;бархатный
барщина;барщинный
барышник;барышнический
барышник;барышничество
барышничество;барышнический
барьер;барьерный
басистость;басистый
баск;баскский
баскетбол;баскетбольный
басмачество;басмаческий
баснословность;баснословный
басовитость;басовитый
басон;басонный
Бастер;бастерский
Бас-Тер;бас-терский
бастион;бастионный
басурман;басурманский
батальон;батальонный
батан;батанный
батиметрия;батиметрический
батитермограф;батитермографный
батрак;батраческий
батрак;батрачество
батрак;батрачный
батрачество;батраческий
Бахрейн;бахрейнский
бахромчатость;бахромчатый
башибузук;башибузукский
башкир;башкирский
башковитость;башковитый
башлык;башлычный
башмак;башмачный
баян;баянный
бдительность;бдительный
беглость;беглый
беда;бедный
бедность;бедный
бедняк;беднячество
бедуин;бедуинский
беженство;беженский
безаварийность;безаварийный
безалаберность;безалаберный
безапелляционность;безапелляционный
безболезненность;безболезненный
безбоязненность;безбоязненный
безбрежность;безбрежный
безвестность;безвестный
безветренность;безветренный
безвинность;безвинный
безвкусность;безвкусный
безводность;безводный
безвозвратность;безвозвратный
безвозмездность;безвозмездный
безвредность;безвредный
безвременность;безвременный
безвыходность;безвыходный
безгласность;безгласный
безграмотность;безграмотный
безграничность;безграничный
безгрешность;безгрешный
бездарность;бездарный
бездарь;бездарный
бездейственность;бездейственный
бездельник;бездельничество
безденежность;безденежный
бездетность;бездетный
бездефектность;бездефектный
бездеятельность;бездеятельный
бездоказательность;бездоказательный
бездомность;бездомный
бездонность;бездонный
бездоходность;бездоходный
бездумность;бездумный
бездуховность;бездуховный
бездушность;бездушный
безжалостность;безжалостный
безжизненность;безжизненный
беззаботность;беззаботный
беззаветность;беззаветный
беззаконность;беззаконный
беззастенчивость;беззастенчивый
беззащитность;беззащитный
беззвучность;беззвучный
беззлобность;беззлобный
беззубость;беззубый
безликость;безликий
безличность;безличный
безматок;безматочный
безмен;безменный
безмерность;безмерный
безмозглость;безмозглый
безмолвность;безмолвный
безмятежность;безмятежный
безнадежность;безнадежный
безнадзорность;безнадзорный
безнаказанность;безнаказанный
безнравственность;безнравственный
безобидность;безобидный
безоблачность;безоблачный
безобразность;безобразный
безоговорочность;безоговорочный
безопасность;безопасный
безосновательность;безосновательный
безответность;безответный
безответственность;безответственный
безотзывность;безотзывный
безотказность;безотказный
безотлагательность;безотлагательный
безотлучность;безотлучный
безотносительность;безотносительный
безотрадность;безотрадный
безотчетность;безотчетный
безошибочность;безошибочный
безрадостность;безрадостный
безраздельность;безраздельный
безразличность;безразличный
безрассудность;безрассудный
безрезультатность;безрезультатный
безропотность;безропотный
безрукость;безрукий
безубыточность;безубыточный
безударность;безударный
безудержность;безудержный
безукоризненность;безукоризненный
безупречность;безупречный
безусловность;безусловный
безуспешность;безуспешный
безутешность;безутешный
безучастность;безучастный
безыдейность;безыдейный
безызвестность;безызвестный
безымянность;безымянный
безынициативность;безынициативный
безыскусность;безыскусный
безыскусственность;безыскусственный
безысходность;безысходный
Бейрут;бейрутский
бейсбол;бейсбольный
бекеша;бекешный
бекон;беконизация
бекон;беконный
Белгород;белгородский
Белград;белградский
белесоватость;белесоватый
Белиз;белизский
белила;белильный
беловатость;беловатый
Белов;беловский
белок;белочный
беломор;беломорский
белорус;белорусский
белоснежность;белоснежный
белофинн;белофиннский
белоэмигрант;белоэмигрантский
Белфаст;белфастский
бельведер;бельведерский
Бельмопан;бельмопанский
Бельт;бельтский
бельэтаж;бельэтажный
бемоль;бемольный
бенедиктин;бенедиктинский
бенефис;бенефисный
бензин;бензинный
бензол;бензольный
Бенин;бенинский
бербер;берберский
бергамот;бергамотный
бережливость;бережливый
бережность;бережный
берейтор;берейторский
беременность;беременный
береста;берестяной
берест;берестяной
берилл;бериллизация
Берлин;берлинский
Берн;бернский
бесклассовость;бесклассовый
бескомпромиссность;бескомпромиссный
бесконечность;бесконечный
бесконтрольность;бесконтрольный
бесконфликтность;бесконфликтный
бескорыстность;бескорыстный
бескровность;бескровный
бескрылость;бескрылый
бесноватость;бесноватый
беспамятность;беспамятный
беспардонность;беспардонный
беспартийность;беспартийный
бесперебойность;бесперебойный
бесперспективность;бесперспективный
беспечность;беспечный
бесплановость;бесплановый
бесплатность;бесплатный
бесплодность;бесплодный
бесплотность;бесплотный
бесповоротность;бесповоротный
беспокойность;беспокойный
бесполезность;бесполезный
беспомощность;беспомощный
беспородность;беспородный
беспорочность;беспорочный
беспорядок;беспорядочный
беспорядочность;беспорядочный
беспочвенность;беспочвенный
беспощадность;беспощадный
бесправность;бесправный
беспредел;беспредельный
беспредельность;беспредельный
беспредметность;беспредметный
беспрекословность;беспрекословный
беспрепятственность;беспрепятственный
беспрерывность;беспрерывный
беспрестанность;беспрестанный
беспрецедентность;беспрецедентный
бесприбыльность;бесприбыльный
беспризорность;беспризорный
беспримерность;беспримерный
беспримесность;беспримесный
беспринципность;беспринципный
беспристрастность;беспристрастный
беспритязательность;беспритязательный
беспричинность;беспричинный
бесприютность;бесприютный
беспроглядность;беспроглядный
беспросветность;беспросветный
беспутность;беспутный
бессвязность;бессвязный
бессердечность;бессердечный
бессистемность;бессистемный
бесславность;бесславный
бессловесность;бессловесный
бессменность;бессменный
бессмертность;бессмертный
бессмысленность;бессмысленный
бесснежность;бесснежный
бессовестность;бессовестный
бессодержательность;бессодержательный
бессознательность;бессознательный
бессословность;бессословный
бесспорность;бесспорный
бессрочность;бессрочный
бесстрастность;бесстрастный
бесстыдность;бесстыдный
бессюжетность;бессюжетный
бестактность;бестактный
бесталанность;бесталанный
бестелесность;бестелесный
бестолковость;бестолковый
бестолочь;бестолочный
бестрепетность;бестрепетный
бесформенность;бесформенный
бесхарактерность;бесхарактерный
бесхитростность;бесхитростный
бесхозность;бесхозный
бесхозяйность;бесхозяйный
бесхозяйственность;бесхозяйственный
бесхребетность;бесхребетный
бесцветность;бесцветный
бесцельность;бесцельный
бесцензурность;бесцензурный
бесценность;бесценный
бесцеремонность;бесцеремонный
бесчеловечность;бесчеловечный
бесчестность;бесчестный
бесчисленность;бесчисленный
бесчувственность;бесчувственный
бесшабашность;бесшабашный
бесшерстность;бесшерстный
бесшумность;бесшумный
бетатрон;бетатронный
бетель;бетельный
бетон;бетонный
бетононасос;бетононасосный
бетонораспределитель;бетонораспределительный
бетоносмеситель;бетоносмесительный
библиография;библиографический
библиология;библиологический
библиофильство;библиофильский
бивак;бивачный
бидон;бидонный
бизнесмен;бизнесменский
бикарбонат;бикарбонатный
биквадрат;биквадратный
билатеральность;билатеральный
билет;билетный
билинейность;билинейный
биллиард;биллиардный
биллон;биллонный
бильярд;бильярдный
бимодальность;бимодальный
бинант;бинантный
бинарность;бинарный
биобиблиография;биобиблиографический
биоген;биогенный
биогеография;биогеографический
биогеохимия;биогеохимический
биография;биографический
биоклиматология;биоклиматологический
биология;биологический
биометрия;биометрический
бионт;бионтизация
биореология;биореологический
биосоциология;биосоциологический
биосфера;биосферный
биотехния;биотехнический
биотехнология;биотехнологический
биофизик;биофизический
биофильтр;биофильтрация
биохимик;биохимический
биохимия;биохимический
биоцид;биоцидный
биоэкология;биоэкологический
биоэлектричество;биоэлектрический
