伶	龄,冷,铃,另,磷,邻,陵,灵,玲,凝,林,零,临,怜,领,令,凌,岭
志	字,执,肢,滞,址,姿,致,稚,旨,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,治,子,至,殖,植,只,枝
送	宋,松,耸,颂,讼
蒸	诊,争,整,珍,症,振,政,侦,挣,证,睁,镇,增,阵,郑,真,针,震,贞,正,征
浅	前,千,强,潜,线,迁,钱,歉,残,谦,遣,墙,欠,腔,签,抢,铅,践,牵,枪
辰	辱,尘,称,程,沉,惩,振,唇,城,诚,衬,臣,承,呈,趁,震,陈,成,晨,撑,乘
洛	弱,落,螺,诺,萝,各,络,路,逻,若,裸,罗
秉	饼,兵,冰,滨,并,丙,宾,病
榔	懒,郎,篮,烂,栏,滥,嚷,囊,浪,拦,兰,廊,览,让,蓝,朗,狼,壤
返	凡,范,泛,犯,妨,饭,板,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,版,翻,喊,涵,韩,放,芳,含,访,旱,汗
猜	才,采,材,柴,裁,晴,蔡,财,清,拆,彩,青,睛,菜,情
深	生,审,渗,婶,伸,升,身,绳,肾,省,什,慎,圣,声,申,牲,神,剩,沈,胜,甚,盛,森
姑	骨,股,故,苦,固,酷,鼓,雇,咕,库,孤,古,枯,谷,哭,裤,顾,估
炕	杠,看,港,康,堪,坑,坎,刊,岗,刚,纲,抗,砍,钢
劈	披,譬,匹,皮,辟,疲,壁,避,屁,脾,批
衰	帅,甩,摔
辨	变,遍,辩,扁,编,鞭,便,边
譬	披,匹,皮,辟,疲,屁,脾,批
漂	票,飘
咳	海,刻,害,核,该,还,孩
堤	底,提,帝,弟,是,递,低,题,抵,蒂,第,滴,迪,敌
庙	描,袖,由,油,抽,邮,迪,秒,苗,妙
虏	努,辱,录,怒,炉,儒,如,露,芦,入,奴,陆,路,鲁,乳,碌,卢,鹿
港	杠,干,康,感,甘,肝,赶,敢,岗,刚,纲,抗,杆,钢,炕
湃	排,牌,拍,派
详	群,享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,洋,箱,样,掀,橡,相,腺,弦,仙,嫌,响,险,限,先,纤,陷,羊,像,湘,向,闲
开	概,慨,改,型,形,钙,盖,刑,溉,该,凯
阻	柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,宜,足,住,竹,铸,逐,谊,且,组,祖,诸,猪,朱,株,族,注
卖	迈,埋,续,麦,买,读,脉
赶	杠,看,干,港,感,甘,堪,肝,坎,敢,刊,岗,刚,纲,杆,砍,钢
歪	外,证,正,征,症,惩
沿	焰,氧,阳,厌,严,言,养,验,颜,洋,央,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
渝	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
位	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
瘫	坦,滩,躺,谈,倘,堂,碳,糖,炭,探,贪,坛,塘,汤,唐,趟,叹,摊
辑	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,吉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,记,纪
渐	碱,暂,蒋,讲,匠,简,见,减,尖,箭,键,降,姜,剪,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
斤	禁,晰,净,静,惊,金,京,敬,近,精,析,劲,锦,筋,镜,津,浙,晋,境,景,竟,浸,尽,巾,经,井,茎,警,颈,拆,竞,进,仅,睛,哲,折,晶,紧,谨,今,径
贵	规,跪,鬼,愧,桂,硅,轨,亏,龟,柜,遗,归,溃
朋	碰,育,喷,脊,棚,捧,彭,盆,月,膨,蓬,膊,背
异	逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
炉	努,辱,录,怒,儒,如,露,房,芦,入,驴,户,奴,陆,路,鲁,乳,碌,卢,鹿
罚	伐,哈,阀,乏,法,发
究	舅,旧,久,酒,救,九,纠,就
所	说,锁,索,缩
土	涂,徒,途,突,屠,图,兔,吐
黑	菲,匪,肥,墨,肺,非,默,嘿,废,费,飞,沸
藐	描,庙,秒,苗,妙
兴	醒,行,杏,新,信,幸,欣,性,型,辛,心,姓,形,星,刑
睡	髓,虽,税,碎,岁,垂,锤,遂,随,水
鸟	辽,鸣,疗,料,僚,尿,岛,聊,鹅
熟	诉,疏,束,数,蔬,淑,署,树,叔,宿,枢,肃,输,术,属,抒,俗,素,书,鼠,舒,速,苏,塑,述,竖,殊
翩	翔,篇,片,翻,骗,翅,羽,偏
翼	异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,谊,亿,已,衣,依,遗,矣,易,仪,以,艺,伊,意,忆
望	万,汪,往,网,湾,忘,亡,旺,完,玩,顽,碗,挽,晚,妄,王,弯
檐	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
哮	效,萧,硝,销,孝,消,笑,晓,校,小,肖
重	忠,仲,纵,终,众,总,宗,种,综,钟,衷,中,踪,肿
鹿	努,辱,录,怒,炉,儒,如,露,芦,入,奴,陆,路,鲁,乳,碌,卢
九	舅,究,旧,久,酒,救,纠,就
酸	算
排	菲,匪,牌,非,悲,拍,辈,派
耽	氮,胆,单,弹,丹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
流	柳,纽,瘤,硫,刘,牛,留,溜,扭,六
渡	杜,督,赌,独,毒,堵,读,肚,度
册	测,策,彻,车,扯,撤,侧
饶	老,牢,扰,捞,烧,劳,绕
挡	氮,胆,单,弹,丹,党,但,当,旦,诞,荡,档,淡,蛋,担
灾	火,摘,窄,寨,煤,宰,再,在,载,宅,炎,债,烧,仔,栽
屿	与,裕,玉,育,愚,誉,语,豫,遇,雨,宇,愉,喻,于,愈,渔,预,余,予,欲,寓,域,郁,狱,娱,羽,舆,鱼,御,浴
钙	概,慨,改,盖,溉,该,开,凯
蔚	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
丽	逆,黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,拟,尼,励,力,里,泥,日,例,粒,璃
膀	榜,斑,板,邦,半,傍,伴,帮,班,棒,搬,扮,办,版,颁,旁,般
二	耳,而,尔,儿
吩	冯,风,狠,疯,蜂,份,锋,氛,缝,很,芬,峰,粉,封,凤,奉,丰,粪,奋,恨,愤,逢,分,坟,纷,痕
蝌	葛,格,隔,课,个,歌,棵,哥,可,革,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻,戈
偎	畏,慰,委,胃,惟,威,味,围,危,伟,未,为,位,伪,谓,尾,卫,维,纬,微,魏,喂,唯,违
串	患,川,穿,船,闯,创,床,窗,传,喘
贩	凡,范,泛,犯,妨,饭,房,寒,反,防,汉,仿,纺,方,罕,函,烦,番,繁,返,翻,喊,涵,韩,放,芳,含,访,旱,汗
蓝	懒,郎,篮,然,南,烂,难,栏,滥,染,浪,拦,兰,廊,览,临,燃,监,鉴,男,朗,狼
曲	取,屈,趣,驱,渠,躯,区,去,趋
定	顶,丁,叮,盯,钉,订
阳	焰,氧,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
尚	上,躺,衫,赏,珊,陕,商,丧,善,伤,闪,山,嗓,扇,趟,桑
讲	碱,蒋,匠,简,见,减,尖,箭,键,降,姜,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
线	享,项,宪,显,乡,象,献,鲜,香,县,贤,想,现,翔,祥,钱,箱,掀,橡,相,残,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,浅,像,践,湘,向,闲
藏	苍,惨,参,肠,厂,唱,尝,偿,残,昌,仓,蚕,场,畅,倡,舱,常,餐
谊	阻,异,逸,役,医,抑,毅,义,一,益,议,疑,亦,乙,姨,宜,蚁,椅,移,译,疫,且,亿,已,组,衣,依,遗,矣,易,仪,以,艺,伊,意,忆,翼
伸	生,审,渗,婶,升,身,绳,肾,省,什,慎,圣,声,申,牲,神,剩,深,沈,胜,甚,盛,森
箫	效,萧,硝,销,孝,消,笑,晓,校,小,肖
喜	晰,戏,袭,析,悉,稀,习,吸,希,席,西,嘻,锡,细,隙,夕,息,溪,牺,系,惜,洗,媳
叙	序,吁,需,除,绪,许,斜,须,途,徐,余,蓄,涂,续,虚
窑	姚,咬,摇,腰,邀,要,耀,药,遥
坯	披,譬,匹,皮,辟,疲,屁,脾,批
唾	托,拖,驼,脱,妥
尝	阐,苍,藏,缠,肠,厂,唱,偿,昌,仓,场,畅,倡,舱,常,禅,颤,产
绝	掘,觉,决
山	上,衫,赏,珊,陕,三,商,散,善,伤,闪,扇,尚
圆	源,员,元,愿,远,原,渊,怨,援,冤,园,缘,袁,院
吉	基,挤,集,济,鸡,寂,脊,际,机,既,疾,祭,技,及,辑,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,寄,籍,剂,洁,记,结,纪
捂	物,吴,五,语,乌,雾,舞,屋,无,务,污,悟,午,伍,呜,武,吾,误
峭	敲,瞧,桥,梢,稍,巧,肖,乔,悄,哨,侨,销,硝,消
前	千,强,潜,迁,钱,歉,谦,遣,墙,欠,腔,签,抢,浅,铅,牵,枪
厂	阐,苍,藏,缠,肠,唱,尝,偿,昌,仓,场,畅,倡,舱,常,禅,颤,产
辟	披,脾,壁,辞,皮,辩,宰,辛,譬,匹,辨,疲,辣,避,屁,批
衔	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
丧	散,伤,上,嗓,三,赏,桑,尚,商
萄	陶,涛,桃,讨,淘,套,逃,掏
筒	痛,童,桶,通,统,铜,同
频	苹,品,凭,平,拼,屏,瓶,萍,贫,评
革	葛,格,隔,课,个,歌,棵,哥,可,胳,壳,阁,克,各,科,割,渴,客,鸽,颗,刻,戈
养	焰,氧,阳,厌,严,言,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
咪	迷,秘,蜜,弥,米,密,泌
称	尘,程,沉,惩,城,层,诚,衬,臣,承,呈,趁,曾,陈,成,晨,撑,乘
孽	劣,裂,猎,捏,烈,咧,列
闽	命,鸣,明,民,名,敏
迪	底,滴,抽,递,低,抵,由,庙,帝,敌,弟,袖,第,油,邮,堤,蒂
旗	汽,期,岂,骑,凄,栖,棋,气,奇,齐,斯,起,其,弃,歧,器,企,漆,戚,七,契,启,妻,欺
潮	巢,超,操,朝,抄,曹,槽,撤,吵,草
潘	判,盼,盘,叛,庞,攀,旁,胖
脏	葬,障,丈,暂,账,胀,赞,帐,掌,仗,张,咱,章,长,涨
纤	享,项,千,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,迁,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,陷,像,湘,向,闲
眷	誉,捐,倦,券,卷
俱	巨,距,惧,拒,聚,举,居,据,剧,菊,局,矩,拘,句,具
切	彻,窃,且
唉	矮,爱,碍,哎,挨,哀,埃,艾
模	默,莫,慕,漠,摸,沫,陌,墓,幕,膜,摩,末,墨,魔,抹,磨
椎	摧,吹,垂,脆,锤,催,粹,崔,翠
液	业,叶,野,爷,夜,冶,也,页
辅	抚,扶,忽,副,服,湖,富,糊,铺,乎,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,搏,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,捕,府,福,膊,护,虎,腐,辐,负,甫,附
协	鞋,携,谢,斜,写,些,谐,械,歇,邪,卸,苏,泄,胁,办
澡	招,遭,造,罩,爪,灶,找,早,兆,藻,召,照,燥,操,糟,赵
署	煮,诉,疏,束,数,蔬,淑,树,绪,叔,宿,枢,肃,输,者,术,属,抒,俗,赌,素,书,鼠,熟,都,舒,速,苏,塑,诸,述,堵,竖,殊
妇	抚,扶,忽,副,服,湖,富,糊,乎,赋,复,夫,傅,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
胆	氮,坦,单,弹,丹,党,但,当,旦,诞,荡,档,淡,挡,蛋,担
窘	穴,穷,空
奏	州,凑,宙,昼,洲,走,轴,皱,骤,周
讳	绘,辉,慧,灰,惠,会,恢,汇,挥,悔,毁,徽,回
胞	报,堡,薄,爆,饱,包,保,抱,暴,宝
贺	账,合,何,贫,和,喝,赫,河,责,货,贪,财,贝,盒,荷,负,呵,核
阎	焰,氧,阳,厌,严,言,养,验,颜,洋,央,沿,样,宴,燕,咽,秧,扬,盐,研,眼,炎,艳,烟,延,演,杨,掩,衍,仰,羊,岩
偿	阐,苍,藏,缠,肠,厂,唱,尝,昌,仓,场,畅,倡,舱,常,禅,颤,产
曝	爆,扑,铺,葡,仆,朴,暴,谱,普
脱	托,拖,驼,说,悦,妥
三	衫,珊,扇,丧,散,善,闪,陕,桑,山,嗓
贱	碱,线,蒋,讲,匠,简,见,减,钱,尖,箭,键,降,姜,残,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,浅,舰,僵,践,奸,歼,浆
碌	绿,努,辱,录,怒,炉,剥,儒,如,露,逮,芦,入,奴,陆,路,鲁,乳,卢,鹿
岁	髓,虽,税,碎,睡,遂,随,水
鲤	逆,黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
泥	逆,黎,厉,梨,理,李,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,例,粒,璃
醒	行,杏,兴,新,信,幸,欣,性,型,辛,心,姓,形,星,刑
瞒	忙,蛮,漫,茫,慢,曼,盲,满
倡	阐,苍,藏,缠,肠,厂,唱,尝,偿,昌,仓,场,畅,舱,常,禅,颤,产
掉	卓,吊,调,雕,桌
卒	阻,柱,煮,驻,租,贮,嘱,主,祝,助,筑,珠,足,住,竹,铸,逐,组,祖,诸,猪,朱,株,族,注
凤	冯,风,疯,蜂,份,衡,恒,氛,锋,缝,芬,峰,粉,封,奉,丰,粪,横,奋,哼,逢,分,坟,纷,愤
愧	规,跪,鬼,桂,贵,硅,轨,亏,龟,魂,柜,归,魏,溃
治	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,智,之,置,秩,子,至,殖,植,只,枝
姚	咬,摇,腰,邀,要,耀,药,遥
吾	物,吴,五,语,乌,雾,舞,屋,无,务,污,悟,午,伍,呜,武,误
炒	巢,超,操,朝,抄,曹,槽,吵,草,潮
玩	远,万,汪,往,网,湾,忘,园,亡,元,旺,完,顽,望,碗,挽,晚,妄,王,弯
沈	生,审,渗,婶,伸,升,身,绳,肾,省,什,慎,圣,声,申,牲,神,剩,深,胜,甚,盛,森
昭	招,遭,造,罩,爪,灶,找,早,兆,藻,召,照,燥,糟,赵
框	广,栖,况,狂,木,矿,林,材,村,宽,光,款
聪	匆,从,冲,崇,充,丛,虫
狠	娘,恳,份,衡,垦,恒,氛,很,芬,粉,粪,横,奋,恨,愤,哼,分,坟,纷,痕,狼
薛	穴,学,血,雪,削
齿	词,次,池,瓷,刺,磁,持,驰,此,辞,耻,斥,尺,迟,慈,吃,翅,雌,赤
憎	争,症,政,怎,挣,证,睁,增,郑,僧,蒸,曾,正,征,整
赢	鹰,英,映,姻,吟,影,因,迎,殷,隐,盈,应,印,阴,引,硬,营,颖,婴,音,饮,银
牵	前,千,强,潜,迁,钱,歉,谦,遣,墙,欠,腔,签,抢,浅,铅,枪
饭	凡,范,泛,犯,妨,板,房,寒,反,防,汉,仿,纺,方,罕,贩,函,烦,番,繁,返,版,翻,喊,涵,韩,放,芳,含,访,旱,汗
恤	许,序,叙,续,蓄,须,需,徐,虚,吁,绪
向	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,闲
卸	鞋,写,些,协,斜,谐,携,械,歇,泄,胁,邪,谢
绳	生,审,渗,婶,伸,升,身,肾,省,什,慎,圣,声,申,牲,神,剩,深,沈,僧,胜,甚,盛
雀	缺,确,却
蛾	恶,鹅,鄂,俄,饿,额
霹	披,譬,匹,皮,辟,疲,屁,脾,批
乎	抚,扶,忽,副,服,湖,富,糊,赋,复,夫,傅,妇,覆,幅,肤,呼,父,佛,辅,伏,付,胡,符,户,互,弗,腹,赴,咐,缚,浮,府,福,护,虎,腐,辐,负,甫,附
妻	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,企,漆,戚,七,契,启,欺
赂	努,辱,录,怒,炉,儒,如,露,芦,入,奴,陆,路,鲁,乳,碌,卢,鹿
嗦	所,说,锁,索,缩
骏	峻,军,俊,君,菌,均
教	胶,骄,郊,焦,角,搅,脚,较,缴,交,轿,娇,叫
寸	过,守,村,讨,衬,时,存,醇,对,纯,付,唇,春
李	逆,黎,厉,梨,理,利,立,离,礼,吏,厘,莉,历,哩,隶,你,丽,拟,尼,励,力,里,泥,日,例,粒,璃
凉	惊,梁,京,谅,娘,良,链,景,辆,恋,亮,连,练,炼,联,两,怜,廉,粮,掠,莲,量,帘,脸
蕊	瑞,锐
匕	闭,笔,比,彼,逼,毕,壁,蔽,鼻,碧,必,币,弊,避,臂
厢	享,项,宪,显,乡,象,献,鲜,线,香,县,贤,想,现,翔,祥,箱,掀,橡,相,腺,弦,仙,嫌,响,详,险,限,先,纤,陷,像,湘,向,闲
次	词,池,齿,姿,瓷,刺,磁,持,驰,此,辞,耻,资,斥,尺,迟,慈,吃,翅,雌,赤
焊	凡,含,范,杭,泛,犯,饭,寒,反,汉,航,贩,罕,烦,番,繁,返,翻,喊,涵,韩,函,旱,汗
骇	海,害,咳,还,孩
轻	庆,琴,侵,晴,请,倾,清,氢,亲,青,情,勤,秦
强	前,千,潜,迁,钱,歉,谦,遣,墙,欠,腔,签,抢,浅,铅,牵,枪
智	字,执,肢,滞,址,姿,致,稚,旨,志,直,滋,制,脂,织,支,汁,知,纸,指,资,兹,自,职,止,质,紫,芝,值,之,置,秩,治,子,至,殖,植,只,枝
感	杠,看,干,港,甘,堪,肝,赶,坎,敢,刊,岗,刚,纲,杆,砍,钢
企	汽,期,岂,骑,凄,栖,棋,气,奇,齐,旗,起,其,弃,歧,器,漆,戚,七,契,启,妻,欺
甚	生,审,渗,婶,伸,堪,升,身,绳,肾,省,什,慎,圣,声,申,牲,神,剩,深,沈,胜,盛,森
喉	否,侯,厚,猴,候,后
既	基,挤,概,集,济,鸡,寂,脊,际,机,疾,祭,技,及,辑,吉,溉,迹,级,急,极,积,饥,即,几,击,己,绩,肌,激,忌,计,季,继,慨,寄,籍,剂,记,纪
姜	碱,蒋,讲,匠,简,见,减,尖,箭,键,降,剪,渐,奖,剑,件,健,建,江,疆,检,坚,将,兼,监,肩,鉴,间,艰,舰,僵,践,奸,歼,浆
连	梁,凉,谅,良,链,辆,恋,亮,练,炼,联,两,怜,廉,粮,念,莲,年,量,帘,脸
毁	绘,辉,慧,灰,惠,会,恢,汇,挥,悔,徽,回
迢	跳,条,挑
昌	阐,苍,藏,缠,肠,厂,唱,尝,偿,仓,场,畅,倡,舱,常,禅,颤,产
列	劣,裂,猎,捏,烈,例,咧
