бам	бам	INTERJECTION
медиафайла	медиафайл	NN:Inanim:Masc:Sin:R
медиафайлу	медиафайл	NN:Inanim:Masc:Sin:D
медиафайл	медиафайл	NN:Inanim:Masc:Sin:V
медиафайлом	медиафайл	NN:Inanim:Masc:Sin:T
медиафайле	медиафайл	NN:Inanim:Masc:Sin:P
медиафайлы	медиафайл	NN:Inanim:Masc:PL:Nom
медиафайлов	медиафайл	NN:Inanim:Masc:PL:R
медиафайлам	медиафайл	NN:Inanim:Masc:PL:D
медиафайлы	медиафайл	NN:Inanim:Masc:PL:V
медиафайлами	медиафайл	NN:Inanim:Masc:PL:T
медиафайлах	медиафайл	NN:Inanim:Masc:PL:P
медотвод	медотвод	NN:Inanim:Masc:Sin:Nom
медотвода	медотвод	NN:Inanim:Masc:Sin:R
медотводу	медотвод	NN:Inanim:Masc:Sin:D
медотвод	медотвод	NN:Inanim:Masc:Sin:V
медотводом	медотвод	NN:Inanim:Masc:Sin:T
медотводе	медотвод	NN:Inanim:Masc:Sin:P
медотводы	медотвод	NN:Inanim:Masc:PL:Nom
медотводов	медотвод	NN:Inanim:Masc:PL:R
медотводам	медотвод	NN:Inanim:Masc:PL:D
медотводы	медотвод	NN:Inanim:Masc:PL:V
медотводами	медотвод	NN:Inanim:Masc:PL:T
медотводах	медотвод	NN:Inanim:Masc:PL:P
мигрировать	мигрировать	VB:INF:TRANS:2PFV
мигрирую	мигрировать	VB:Real:TRANS:2PFV:Sin:P1
мигрируем	мигрировать	VB:Real:TRANS:2PFV:PL:P1
мигрируешь	мигрировать	VB:Real:TRANS:2PFV:Sin:P2
мигрируете	мигрировать	VB:Real:TRANS:2PFV:PL:P2
мигрирует	мигрировать	VB:Real:TRANS:2PFV:Sin:P3
мигрируют	мигрировать	VB:Real:TRANS:2PFV:PL:P3
мигрировал	мигрировать	VB:Past:TRANS:2PFV:Masc
мигрировала	мигрировать	VB:Past:TRANS:2PFV:Fem
мигрировало	мигрировать	VB:Past:TRANS:2PFV:Neut
мигрировали	мигрировать	VB:Past:TRANS:2PFV:PL
мигрирую	мигрировать	VB:Fut:TRANS:2PFV:Sin:P1
мигрируем	мигрировать	VB:Fut:TRANS:2PFV:PL:P1
мигрируешь	мигрировать	VB:Fut:TRANS:2PFV:Sin:P2
мигрируете	мигрировать	VB:Fut:TRANS:2PFV:PL:P2
мигрирует	мигрировать	VB:Fut:TRANS:2PFV:Sin:P3
мигрируют	мигрировать	VB:Fut:TRANS:2PFV:PL:P3
мигрируя	мигрировать	DPT:Real:TRANS:2PFV
мигрировав	мигрировать	DPT:Past:TRANS:2PFV
мигрировавши	мигрировать	DPT:Past:TRANS:2PFV
мигрируем	мигрировать	VB:IMP:TRANS:2PFV:PL:P1
мигрируемте	мигрировать	VB:IMP:TRANS:2PFV:PL:P1
мигрируй	мигрировать	VB:IMP:TRANS:2PFV:Sin:P2
мигрируйте	мигрировать	VB:IMP:TRANS:2PFV:PL:P2
мигрирующий	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:Nom
мигрирующего	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:R
мигрирующему	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:D
мигрирующего	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:V
мигрирующий	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:V
мигрирующим	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:T
мигрирующем	мигрировать	PT:Real:TRANS:2PFV:DST:Masc:P
мигрирующая	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:Nom
мигрирующей	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:R
мигрирующей	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:D
мигрирующую	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:V
мигрирующей	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:T
мигрирующею	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:T
мигрирующей	мигрировать	PT:Real:TRANS:2PFV:DST:Fem:P
мигрирующее	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:Nom
мигрирующего	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:R
мигрирующему	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:D
мигрирующее	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:V
мигрирующим	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:T
мигрирующем	мигрировать	PT:Real:TRANS:2PFV:DST:Neut:P
мигрирующие	мигрировать	PT:Real:TRANS:2PFV:DST:PL:Nom
мигрирующих	мигрировать	PT:Real:TRANS:2PFV:DST:PL:R
мигрирующим	мигрировать	PT:Real:TRANS:2PFV:DST:PL:D
мигрирующих	мигрировать	PT:Real:TRANS:2PFV:DST:PL:V
мигрирующие	мигрировать	PT:Real:TRANS:2PFV:DST:PL:V
мигрирующими	мигрировать	PT:Real:TRANS:2PFV:DST:PL:T
мигрирующих	мигрировать	PT:Real:TRANS:2PFV:DST:PL:P
мигрировавший	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:Nom
мигрировавшего	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:R
мигрировавшему	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:D
мигрировавшего	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:V
мигрировавший	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:V
мигрировавшим	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:T
мигрировавшем	мигрировать	PT:Past:TRANS:2PFV:DST:Masc:P
мигрировавшая	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:Nom
мигрировавшей	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:R
мигрировавшей	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:D
мигрировавшую	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:V
мигрировавшей	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:T
мигрировавшею	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:T
мигрировавшей	мигрировать	PT:Past:TRANS:2PFV:DST:Fem:P
мигрировавшее	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:Nom
мигрировавшего	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:R
мигрировавшему	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:D
мигрировавшее	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:V
мигрировавшим	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:T
мигрировавшем	мигрировать	PT:Past:TRANS:2PFV:DST:Neut:P
мигрировавшие	мигрировать	PT:Past:TRANS:2PFV:DST:PL:Nom
мигрировавших	мигрировать	PT:Past:TRANS:2PFV:DST:PL:R
мигрировавшим	мигрировать	PT:Past:TRANS:2PFV:DST:PL:D
мигрировавших	мигрировать	PT:Past:TRANS:2PFV:DST:PL:V
мигрировавшие	мигрировать	PT:Past:TRANS:2PFV:DST:PL:V
мигрировавшими	мигрировать	PT:Past:TRANS:2PFV:DST:PL:T
мигрировавших	мигрировать	PT:Past:TRANS:2PFV:DST:PL:P
мигрируемый	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:Nom
мигрируемого	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:R
мигрируемому	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:D
мигрируемого	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:V
мигрируемый	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:V
мигрируемым	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:T
мигрируемом	мигрировать	PT:Real:TRANS:2PFV:STR:Masc:P
мигрируем	мигрировать	PT_Short:Real:TRANS:2PFV:STR:Masc
мигрируемая	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:Nom
мигрируемой	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:R
мигрируемой	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:D
мигрируемую	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:V
мигрируемой	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:T
мигрируемою	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:T
мигрируемой	мигрировать	PT:Real:TRANS:2PFV:STR:Fem:P
мигрируема	мигрировать	PT_Short:Real:TRANS:2PFV:STR:Fem
мигрируемое	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:Nom
мигрируемого	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:R
мигрируемому	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:D
мигрируемое	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:V
мигрируемым	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:T
мигрируемом	мигрировать	PT:Real:TRANS:2PFV:STR:Neut:P
мигрируемо	мигрировать	PT_Short:Real:TRANS:2PFV:STR:Neut
мигрируемые	мигрировать	PT:Real:TRANS:2PFV:STR:PL:Nom
мигрируемых	мигрировать	PT:Real:TRANS:2PFV:STR:PL:R
мигрируемым	мигрировать	PT:Real:TRANS:2PFV:STR:PL:D
мигрируемых	мигрировать	PT:Real:TRANS:2PFV:STR:PL:V
мигрируемые	мигрировать	PT:Real:TRANS:2PFV:STR:PL:V
мигрируемыми	мигрировать	PT:Real:TRANS:2PFV:STR:PL:T
мигрируемых	мигрировать	PT:Real:TRANS:2PFV:STR:PL:P
мигрируемы	мигрировать	PT_Short:Real:TRANS:2PFV:STR:PL
мигрированный	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:Nom
мигрированного	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:R
мигрированному	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:D
мигрированного	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:V
мигрированный	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:V
мигрированным	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:T
мигрированном	мигрировать	PT:Past:TRANS:2PFV:STR:Masc:P
мигрирован	мигрировать	PT_Short:Past:TRANS:2PFV:STR:Masc
мигрированная	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:Nom
мигрированной	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:R
мигрированной	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:D
мигрированную	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:V
мигрированной	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:T
мигрированною	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:T
мигрированной	мигрировать	PT:Past:TRANS:2PFV:STR:Fem:P
мигрирована	мигрировать	PT_Short:Past:TRANS:2PFV:STR:Fem
мигрированное	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:Nom
мигрированного	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:R
мигрированному	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:D
мигрированное	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:V
мигрированным	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:T
мигрированном	мигрировать	PT:Past:TRANS:2PFV:STR:Neut:P
мигрировано	мигрировать	PT_Short:Past:TRANS:2PFV:STR:Neut
мигрированные	мигрировать	PT:Past:TRANS:2PFV:STR:PL:Nom
мигрированных	мигрировать	PT:Past:TRANS:2PFV:STR:PL:R
мигрированным	мигрировать	PT:Past:TRANS:2PFV:STR:PL:D
мигрированных	мигрировать	PT:Past:TRANS:2PFV:STR:PL:V
мигрированные	мигрировать	PT:Past:TRANS:2PFV:STR:PL:V
мигрированными	мигрировать	PT:Past:TRANS:2PFV:STR:PL:T
мигрированных	мигрировать	PT:Past:TRANS:2PFV:STR:PL:P
мигрированы	мигрировать	PT_Short:Past:TRANS:2PFV:STR:PL
мосгорком	мосгорком	NN:Inanim:Masc:Sin:Nom
мосгоркома	мосгорком	NN:Inanim:Masc:Sin:R
мосгоркому	мосгорком	NN:Inanim:Masc:Sin:D
мосгорком	мосгорком	NN:Inanim:Masc:Sin:V
мосгоркомом	мосгорком	NN:Inanim:Masc:Sin:T
мосгоркоме	мосгорком	NN:Inanim:Masc:Sin:P
мосгоркомы	мосгорком	NN:Inanim:Masc:PL:Nom
мосгоркомов	мосгорком	NN:Inanim:Masc:PL:R
мосгоркомам	мосгорком	NN:Inanim:Masc:PL:D
мосгоркомы	мосгорком	NN:Inanim:Masc:PL:V
мосгоркомами	мосгорком	NN:Inanim:Masc:PL:T
мосгоркомах	мосгорком	NN:Inanim:Masc:PL:P
новоалексеевка	новоалексеевка	NN:Inanim:Fem:Sin:Nom
новоалексеевки	новоалексеевка	NN:Inanim:Fem:Sin:R
новоалексеевке	новоалексеевка	NN:Inanim:Fem:Sin:D
новоалексеевку	новоалексеевка	NN:Inanim:Fem:Sin:V
новоалексеевкой	новоалексеевка	NN:Inanim:Fem:Sin:T
новоалексеевкою	новоалексеевка	NN:Inanim:Fem:Sin:T
новоалексеевке	новоалексеевка	NN:Inanim:Fem:Sin:P
охрененно	охрененно	ADV
охренен	охрененный	ADJ:Short:Masc
охрененна	охрененный	ADJ:Short:Fem
охрененная	охрененный	ADJ:Posit:Fem:Nom
охрененнее	охрененный	ADJ:Comp
охрененней	охрененный	ADJ:Comp
охрененно	охрененный	ADJ:Short:Neut
охрененного	охрененный	ADJ:Posit:Masc:R
охрененного	охрененный	ADJ:Posit:Masc:V
охрененного	охрененный	ADJ:Posit:Neut:R
охрененное	охрененный	ADJ:Posit:Neut:Nom
охрененное	охрененный	ADJ:Posit:Neut:V
охрененной	охрененный	ADJ:Posit:Fem:D
охрененной	охрененный	ADJ:Posit:Fem:P
охрененной	охрененный	ADJ:Posit:Fem:R
охрененной	охрененный	ADJ:Posit:Fem:T
охрененном	охрененный	ADJ:Posit:Masc:P
охрененном	охрененный	ADJ:Posit:Neut:P
охрененному	охрененный	ADJ:Posit:Masc:D
охрененному	охрененный	ADJ:Posit:Neut:D
охрененною	охрененный	ADJ:Posit:Fem:T
охрененную	охрененный	ADJ:Posit:Fem:V
охрененны	охрененный	ADJ:Short:PL
охрененные	охрененный	ADJ:Posit:PL:Nom
охрененные	охрененный	ADJ:Posit:PL:V
охрененный	охрененный	ADJ:Posit:Masc:Nom
охрененный	охрененный	ADJ:Posit:Masc:V
охрененным	охрененный	ADJ:Posit:Masc:T
охрененным	охрененный	ADJ:Posit:Neut:T
охрененным	охрененный	ADJ:Posit:PL:D
охрененными	охрененный	ADJ:Posit:PL:T
охрененных	охрененный	ADJ:Posit:PL:P
охрененных	охрененный	ADJ:Posit:PL:R
охрененных	охрененный	ADJ:Posit:PL:V
притоптывания	притоптывание	NN:Inanim:Neut:PL:Nom
притоптываний	притоптывание	NN:Inanim:Neut:PL:R
притоптываниям	притоптывание	NN:Inanim:Neut:PL:D
притоптывания	притоптывание	NN:Inanim:Neut:PL:V
притоптываниями	притоптывание	NN:Inanim:Neut:PL:T
притоптываниях	притоптывание	NN:Inanim:Neut:PL:P
провакцинировать	провакцинировать	VB:INF:TRANS:2PFV
провакцинирую	провакцинировать	VB:Real:TRANS:2PFV:Sin:P1
провакцинируем	провакцинировать	VB:Real:TRANS:2PFV:PL:P1
провакцинируешь	провакцинировать	VB:Real:TRANS:2PFV:Sin:P2
провакцинируете	провакцинировать	VB:Real:TRANS:2PFV:PL:P2
провакцинирует	провакцинировать	VB:Real:TRANS:2PFV:Sin:P3
провакцинируют	провакцинировать	VB:Real:TRANS:2PFV:PL:P3
провакцинировал	провакцинировать	VB:Past:TRANS:2PFV:Masc
провакцинировала	провакцинировать	VB:Past:TRANS:2PFV:Fem
провакцинировало	провакцинировать	VB:Past:TRANS:2PFV:Neut
провакцинировали	провакцинировать	VB:Past:TRANS:2PFV:PL
провакцинирую	провакцинировать	VB:Fut:TRANS:2PFV:Sin:P1
провакцинируем	провакцинировать	VB:Fut:TRANS:2PFV:PL:P1
провакцинируешь	провакцинировать	VB:Fut:TRANS:2PFV:Sin:P2
провакцинируете	провакцинировать	VB:Fut:TRANS:2PFV:PL:P2
провакцинирует	провакцинировать	VB:Fut:TRANS:2PFV:Sin:P3
провакцинируют	провакцинировать	VB:Fut:TRANS:2PFV:PL:P3
провакцинируя	провакцинировать	DPT:Real:TRANS:2PFV
провакцинировав	провакцинировать	DPT:Past:TRANS:2PFV
провакцинировавши	провакцинировать	DPT:Past:TRANS:2PFV
провакцинируем	провакцинировать	VB:IMP:TRANS:2PFV:PL:P1
провакцинируемте	провакцинировать	VB:IMP:TRANS:2PFV:PL:P1
провакцинируй	провакцинировать	VB:IMP:TRANS:2PFV:Sin:P2
провакцинируйте	провакцинировать	VB:IMP:TRANS:2PFV:PL:P2
провакцинирующий	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:Nom
провакцинирующего	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:R
провакцинирующему	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:D
провакцинирующего	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:V
провакцинирующий	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:V
провакцинирующим	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:T
провакцинирующем	провакцинировать	PT:Real:TRANS:2PFV:DST:Masc:P
провакцинирующая	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:Nom
провакцинирующей	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:R
провакцинирующей	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:D
провакцинирующую	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:V
провакцинирующей	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:T
провакцинирующею	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:T
провакцинирующей	провакцинировать	PT:Real:TRANS:2PFV:DST:Fem:P
провакцинирующее	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:Nom
провакцинирующего	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:R
провакцинирующему	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:D
провакцинирующее	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:V
провакцинирующим	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:T
провакцинирующем	провакцинировать	PT:Real:TRANS:2PFV:DST:Neut:P
провакцинирующие	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:Nom
провакцинирующих	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:R
провакцинирующим	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:D
провакцинирующих	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:V
провакцинирующие	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:V
провакцинирующими	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:T
провакцинирующих	провакцинировать	PT:Real:TRANS:2PFV:DST:PL:P
провакцинировавший	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:Nom
провакцинировавшего	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:R
провакцинировавшему	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:D
провакцинировавшего	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:V
провакцинировавший	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:V
провакцинировавшим	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:T
провакцинировавшем	провакцинировать	PT:Past:TRANS:2PFV:DST:Masc:P
провакцинировавшая	провакцинировать	PT:Past:TRANS:2PFV:DST:Fem:Nom
