# Similar words: verb without accent, noun/adjective with accent; POS tag of the noun/adjective. 
# Used by AccentuationCheckRule.
# This file must be encoded in UTF-8.
#alfeizar;alféizar;NCMS000
#amago;ámago;NCMS000
#asaros;ásaros;NCMP000
#barbaros;bárbaros;NCMP000
#cantaros;cántaros;NCMP000
#capo;capó;NCMS000
#cataros;cátaros;NCMP000
#cesar;césar;NCMS000
#como;cómo;NCMS000
#dolar;dólar;NCMS000
#gallaros;gállaros;NCMP000
#haber;háber;NCMS000
#lazaros;lázaros;NCMP000
#limite;límite;AQ0CN0
#papa;papá;NCMS000
#paparos;páparos;NCMP000
#papas;papás;NCMP000
#para;pará;NCMS000
#paras;parás;NCMP000
#picaros;pícaros;NCMP000
#pulsar;púlsar;NCMS000
#revolver;revólver;NCMS000
#supera;súpera;AQ0FS0
#superas;súperas;AQ0FP0
#supero;súpero;AQ0MS0
#tender;ténder;NCMS000
criticas;críticas;NCFP000
criticas;críticas;NCFP000
critico;crítico;AQ0MS0
critico;crítico;NCMS000
cronometro;cronómetro;NCMS000
cuadricula;cuadrícula;NCFS000
cuadriculas;cuadrículas;NCFP000
cuajaron;cuajarón;NCMS000
cuartan;cuartán;NCMS000
cubica;cúbica;AQ0FS0
cubicas;cúbicas;AQ0FP0
cubico;cúbico;AQ0MS0
cupe;cupé;NCMS000
debito;débito;NCMS000
decimos;décimos;AO0MP0
decimos;décimos;NCMP000
decrepita;decrépita;AQ0FS0
decrepitas;decrépitas;AQ0FP0
decrepito;decrépito;AQ0MS0
deifica;deífica;AQ0FS0
deificas;deíficas;AQ0FP0
deifico;deífico;AQ0MS0
demasia;demasía;NCFS000
demasias;demasías;NCFP000
deposito;depósito;NCMS000
desanimo;desánimo;NCMS000
desordenes;desórdenes;NCMP000
diacono;diácono;NCMS000
diagnostica;diagnóstica;AQ0FS0
diagnosticas;diagnósticas;AQ0FP0
diagnostico;diagnóstico;AQ0MS0
diagnostico;diagnóstico;NCMS000
dialogo;diálogo;NCMS000
dictamos;díctamos;NCMP000
disimiles;disímiles;AQ0CP0
dolares;dólares;NCMP000
domestica;doméstica;AQ0FS0
domestica;doméstica;NCFS000
domesticas;domésticas;AQ0FP0
domesticas;domésticas;NCFP000
domestico;doméstico;AQ0MS0
domestico;doméstico;NCMS000
domine;dómine;NCMS000
domines;dómines;NCMP000
domino;dominó;NCMS000
domino;dómino;NCMS000
duplica;dúplica;NCFS000
duplicas;dúplicas;NCFP000
ejercito;ejército;NCMS000
embolo;émbolo;NCMS000
emula;émula;AQ0FS0
emula;émula;NCFS000
emulas;émulas;AQ0FP0
emulas;émulas;NCFP000
emulo;émulo;AQ0MS0
emulo;émulo;NCMS000
entrelinea;entrelínea;NCFS000
entrelineas;entrelíneas;NCFP000
epilogo;epílogo;NCMS000
epitome;epítome;NCMS000
epitomes;epítomes;NCMP000
equivoca;equívoca;AQ0FS0
equivocas;equívocas;AQ0FP0
equivoco;equívoco;AQ0MS0
equivoco;equívoco;NCMS000
escalamos;escálamos;NCMP000
especifica;específica;AQ0FS0
especificas;específicas;AQ0FP0
especifico;específico;AQ0MS0
especifico;específico;NCMS000
especulo;espéculo;NCMS000
espontanea;espontánea;AQ0FS0
espontanea;espontánea;NCFS000
espontaneas;espontáneas;AQ0FP0
espontaneas;espontáneas;NCFP000
espontaneo;espontáneo;AQ0MS0
espontaneo;espontáneo;NCMS000
esteres;ésteres;NCMP000
estimulo;estímulo;NCMS000
estipula;estípula;NCFS000
estipulas;estípulas;NCFP000
estomago;estómago;NCMS000
explicita;explícita;AQ0FS0
explicitas;explícitas;AQ0FP0
explicito;explícito;AQ0MS0
fabrica;fábrica;NCFS000
fabricas;fábricas;NCFP000
ferrares;ferrarés;AQ0MS0
filosofa;filósofa;AQ0FS0
filosofa;filósofa;NCFS000
filosofas;filósofas;AQ0FP0
filosofas;filósofas;NCFP000
filosofo;filósofo;AQ0MS0
filosofo;filósofo;NCMS000
firman;firmán;NCMS000
flamea;flámea;AQ0FS0
flameas;flámeas;AQ0FP0
fletan;fletán;NCMS000
floculo;flóculo;NCMS000
fluores;flúores;NCMP000
folia;folía;NCFS000
folias;folías;NCFP000
formula;fórmula;NCFS000
formulas;fórmulas;NCFP000
fricase;fricasé;NCMS000
fricases;fricasés;NCMP000
frio;frío;AQ0MS0
frio;frío;NCMS000
galibo;gálibo;NCMS000
gallara;gállara;NCFS000
gallaras;gállaras;NCFP000
gallaron;gallarón;NCMS000
garua;garúa;NCFS000
garuas;garúas;NCFP000
gañan;gañán;NCMS000
genero;género;NCMS000
granulo;gránulo;NCMS000
graten;gratén;NCMS000
guardes;guardés;NCMS000
guia;guía;NCCS000
guias;guías;NCCP000
habito;hábito;NCMS000
halara;hálara;NCFS000
halaras;hálaras;NCFP000
halogena;halógena;AQ0FS0
halogenas;halógenas;AQ0FP0
halogeno;halógeno;AQ0MS0
halogeno;halógeno;NCMS000
hibernes;hibernés;AQ0MS0
hibrida;híbrida;AQ0FS0
hibridas;híbridas;AQ0FP0
hibrido;híbrido;AQ0MS0
hibrido;híbrido;NCMS000
hidrogeno;hidrógeno;NCMS000
homologa;homóloga;AQ0FS0
homologa;homóloga;NCFS000
homologas;homólogas;AQ0FP0
homologas;homólogas;NCFP000
homologo;homólogo;AQ0MS0
homologo;homólogo;NCMS000
idolatra;idólatra;AQ0CS0
idolatra;idólatra;NCCS000
idolatras;idólatras;AQ0CP0
idolatras;idólatras;NCCP000
ignifuga;ignífuga;AQ0FS0
ignifugas;ignífugas;AQ0FP0
ignifugo;ignífugo;AQ0MS0
ignifugo;ignífugo;NCMS000
ilegitima;ilegítima;AQ0FS0
ilegitimas;ilegítimas;AQ0FP0
ilegitimo;ilegítimo;AQ0MS0
incomoda;incómoda;AQ0FS0
incomodas;incómodas;AQ0FP0
incubo;íncubo;NCMS000
indica;índica;AQ0FS0
indicas;índicas;AQ0FP0
indice;índice;NCMS000
indices;índices;NCMP000
indico;índico;AQ0MS0
integra;íntegra;AQ0FS0
integras;íntegras;AQ0FP0
integro;íntegro;AQ0MS0
interlinea;interlínea;NCFS000
interlineas;interlíneas;NCFP000
interprete;intérprete;NCCS000
interpretes;intérpretes;NCCP000
intima;íntima;AQ0FS0
intima;íntima;NCFS000
intimas;íntimas;AQ0FP0
intimas;íntimas;NCFP000
intimo;íntimo;AQ0MS0
invalida;inválida;AQ0FS0
invalida;inválida;NCFS000
invalidas;inválidas;AQ0FP0
invalidas;inválidas;NCFP000
invalido;inválido;AQ0MS0
invalido;inválido;NCMS000
irrita;írrita;AQ0FS0
irritas;írritas;AQ0FP0
irrito;írrito;AQ0MS0
jubilo;júbilo;NCMS000
kilometro;kilómetro;NCMS000
lagrima;lágrima;NCFS000
lagrimas;lágrimas;NCFP000
lame;lamé;NCMS000
lames;lamés;NCMP000
lamina;lámina;NCFS000
laminas;láminas;NCFP000
lapida;lápida;NCFS000
lapidas;lápidas;NCFP000
lapidifica;lapidífica;AQ0FS0
lapidificas;lapidíficas;AQ0FP0
lapidifico;lapidífico;AQ0MS0
lastima;lástima;NCFS000
lastimas;lástimas;NCFP000
laudanos;láudanos;NCMP000
laurea;láurea;AQ0FS0
laureas;láureas;AQ0FP0
laureo;láureo;AQ0MS0
legamos;légamos;NCMP000
leganos;léganos;NCMP000
legitima;legítima;AQ0FS0
legitima;legítima;NCFS000
legitimas;legítimas;AQ0FP0
legitimas;legítimas;NCFP000
legitimo;legítimo;AQ0MS0
letifica;letífica;AQ0FS0
letificas;letíficas;AQ0FP0
letifico;letífico;AQ0MS0
lia;lía;NCFS000
lias;lías;NCFP000
liberes;líberes;NCMP000
libero;líbero;NCMS000
licita;lícita;AQ0FS0
licitas;lícitas;AQ0FP0
licito;lícito;AQ0MS0
lideres;líderes;NCCP000
limite;límite;NCMS000
limites;límites;NCMP000
linea;línea;AQ0FS0
linea;línea;NCFS000
lineas;líneas;AQ0FP0
lineas;líneas;NCFP000
lineo;líneo;AQ0MS0
lio;lío;NCMS000
liquida;líquida;AQ0FS0
liquida;líquida;NCFS000
liquidas;líquidas;AQ0FP0
liquidas;líquidas;NCFP000
liquido;líquido;AQ0MS0
liquido;líquido;NCMS000
llamaron;llamarón;NCMS000
lubrica;lúbrica;AQ0FS0
lubrican;lubricán;NCMS000
lubricas;lúbricas;AQ0FP0
lubrico;lúbrico;AQ0MS0
macula;mácula;NCFS000
maculas;máculas;NCFP000
magnifica;magnífica;AQ0FS0
magnificas;magníficas;AQ0FP0
magnifico;magnífico;AQ0MS0
mana;maná;NCMS000
manes;manés;AQ0MS0
manipulo;manípulo;NCMS000
maquina;máquina;NCFS000
maquinas;máquinas;NCFP000
marques;marqués;NCMS000
mascara;máscara;NCFS000
mascaras;máscaras;NCFP000
mascaron;mascarón;NCMS000
matricula;matrícula;NCFS000
matriculas;matrículas;NCFP000
medica;médica;AQ0FS0
medica;médica;NCFS000
medicas;médicas;AQ0FP0
medicas;médicas;NCFP000
medico;médico;AQ0MS0
medico;médico;NCCS000
merito;mérito;NCMS000
milimetro;milímetro;NCMS000
milite;mílite;NCMS000
milites;mílites;NCMP000
modulo;módulo;NCMS000
monologo;monólogo;NCMS000
moran;morán;NCMS000
mugiles;múgiles;NCMP000
musica;música;AQ0FS0
musica;música;NCFS000
musicas;músicas;AQ0FP0
musicas;músicas;NCFP000
musico;músico;AQ0MS0
musico;músico;NCMS000
mutila;mútila;AQ0FS0
mutilas;mútilas;AQ0FP0
mutilo;mútilo;AQ0MS0
naufraga;náufraga;AQ0FS0
naufraga;náufraga;NCFS000
naufragas;náufragas;AQ0FP0
naufragas;náufragas;NCFP000
naufrago;náufrago;AQ0MS0
naufrago;náufrago;NCMS000
nausea;náusea;NCFS000
nauseas;náuseas;NCFP000
neglige;negligé;AQ0CS0
negliges;negligés;AQ0CP0
niqueles;níqueles;NCMP000
nomina;nómina;NCFS000
nominas;nóminas;NCFP000
noven;novén;NCMS000
numero;número;NCMS000
oleo;óleo;NCMS000
oleos;óleos;NCMP000
opera;ópera;NCFS000
operas;óperas;NCFP000
oposito;opósito;NCMS000
orbita;órbita;NCFS000
orbitas;órbitas;NCFP000
ordenes;órdenes;NCCP000
ovalo;óvalo;NCMS000
ovalos;óvalos;NCMP000
ovulo;óvulo;NCMS000
oxido;óxido;NCMS000
oxigeno;oxígeno;NCMS000
pacifica;pacífica;AQ0FS0
pacificas;pacíficas;AQ0FP0
pacifico;pacífico;AQ0MS0
pagalo;págalo;NCMS000
pagalos;págalos;NCMP000
pagare;pagaré;NCMS000
pagares;pagarés;NCMP000
pagina;página;NCFS000
paginas;páginas;NCFP000
palpito;pálpito;NCMS000
papara;pápara;AQ0FS0
papara;pápara;NCFS000
paparas;páparas;AQ0FP0
paparas;páparas;NCFP000
paramos;páramos;NCMP000
participe;partícipe;AQ0CS0
participe;partícipe;NCCS000
participes;partícipes;AQ0CP0
participes;partícipes;NCCP000
patina;pátina;NCFS000
patinas;pátinas;NCFP000
paules;paúles;NCMP000
pean;peán;NCMS000
pecan;pecán;NCMS000
pequen;pequén;NCMS000
peroxido;peróxido;NCMS000
persigo;pérsigo;NCMS000
pesame;pésame;NCMS000
petalo;pétalo;NCMS000
petalos;pétalos;NCMP000
petrifica;petrífica;AQ0FS0
petrificas;petríficas;AQ0FP0
petrifico;petrífico;AQ0MS0
petroleo;petróleo;NCMS000
pia;pía;AQ0FS0
pias;pías;AQ0FP0
picara;pícara;AQ0FS0
picara;pícara;NCFS000
picaras;pícaras;AQ0FP0
picaras;pícaras;NCFP000
picaron;picarón;AQ0MS0
piden;pidén;NCMS000
pillaban;pillabán;NCMS000
pillan;pillán;NCMS000
pio;pío;AQ0MS0
pixeles;píxeles;NCMP000
placeme;pláceme;NCMS000
platica;plática;NCFS000
platicas;pláticas;NCFP000
plumea;plúmea;AQ0FS0
plumeas;plúmeas;AQ0FP0
plumeo;plúmeo;AQ0MS0
poche;poché;AQ0CS0
poches;pochés;AQ0CP0
postula;póstula;NCFS000
postulas;póstulas;NCFP000
practica;práctica;AQ0FS0
practica;práctica;NCFS000
practicas;prácticas;AQ0FP0
practicas;prácticas;NCFP000
practico;práctico;AQ0MS0
practico;práctico;NCMS000
predica;prédica;NCFS000
predicas;prédicas;NCFP000
prestamos;préstamos;NCMP000
prodiga;pródiga;AQ0FS0
prodiga;pródiga;NCFS000
prodigas;pródigas;AQ0FP0
prodigas;pródigas;NCFP000
prodigo;pródigo;AQ0MS0
prodigo;pródigo;NCMS000
prolifera;prolífera;AQ0FS0
proliferas;prolíferas;AQ0FP0
prolifero;prolífero;AQ0MS0
prologo;prólogo;NCMS000
pronostico;pronóstico;NCMS000
prorroga;prórroga;NCFS000
prorrogas;prórrogas;NCFP000
prospera;próspera;AQ0FS0
prosperas;prósperas;AQ0FP0
prospero;próspero;AQ0MS0
publica;pública;AQ0FS0
publicas;públicas;AQ0FP0
publico;público;AQ0MS0
publico;público;NCMS000
pulsares;púlsares;NCMP000
punzo;punzó;NCMS000
purpura;púrpura;AQ0CS0
purpura;púrpura;NCMS000
purpuras;púrpuras;AQ0CP0
purpuras;púrpuras;NCMP000
purpurea;purpúrea;AQ0FS0
purpureas;purpúreas;AQ0FP0
purpureo;purpúreo;AQ0MS0
rabies;rabíes;NCMP000
radian;radián;NCMS000
raspanos;ráspanos;NCMP000
recalculo;recálculo;NCMS000
recamara;recámara;NCFS000
recamaras;recámaras;NCFP000
reciproca;recíproca;AQ0FS0
reciproca;recíproca;NCFS000
reciprocas;recíprocas;AQ0FP0
reciprocas;recíprocas;NCFP000
reciproco;recíproco;AQ0MS0
reciproco;recíproco;NCMS000
regulo;régulo;NCMS000
replica;réplica;NCFS000
replicas;réplicas;NCFP000
republica;república;NCFS000
republicas;repúblicas;NCFP000
republico;repúblico;NCMS000
reten;retén;NCMS000
retorica;retórica;AQ0FS0
retorica;retórica;NCFS000
retorica;retórica;NCFS000
retoricas;retóricas;AQ0FP0
retoricas;retóricas;NCFP000
retoricas;retóricas;NCFP000
retorico;retórico;AQ0MS0
retorico;retórico;NCMS000
retractiles;retráctiles;AQ0CP0
retrograda;retrógrada;AQ0FS0
retrogradas;retrógradas;AQ0FP0
retrogrado;retrógrado;AQ0MS0
revalida;reválida;NCFS000
revalidas;reválidas;NCFP000
rio;río;NCMS000
rondo;rondó;NCMS000
rotula;rótula;NCFS000
rotulas;rótulas;NCFP000
rotulo;rótulo;NCMS000
rubrica;rúbrica;NCFS000
rubricas;rúbricas;NCFP000
rumies;rumíes;NCMP000
rutila;rútila;AQ0FS0
rutilas;rútilas;AQ0FP0
saltaren;saltarén;NCMS000
sedan;sedán;NCMS000
silaba;sílaba;NCFS000
silabas;sílabas;NCFP000
silabo;sílabo;NCMS000
simultanea;simultánea;AQ0FS0
simultaneas;simultáneas;AQ0FP0
simultaneo;simultáneo;AQ0MS0
sincopa;síncopa;NCFS000
sincopas;síncopas;NCFP000
sincope;síncope;NCMS000
sincopes;síncopes;NCMP000
sindico;síndico;NCMS000
singales;singalés;AQ0MS0
socarren;socarrén;NCMS000
sofistica;sofística;AQ0FS0
sofistica;sofística;NCFS000
sofisticas;sofísticas;AQ0FP0
sofisticas;sofísticas;NCFP000
sofistico;sofístico;AQ0MS0
solea;soleá;NCFS000
solea;sólea;AQ0FS0
soleas;sóleas;AQ0FP0
solicita;solícita;AQ0FS0
solicitas;solícitas;AQ0FP0
solicito;solícito;AQ0MS0
solida;sólida;AQ0FS0
solidas;sólidas;AQ0FP0
solido;sólido;AQ0MS0
solido;sólido;NCMS000
subtitulo;subtítulo;NCMS000
suplica;súplica;NCFS000
suplicas;súplicas;NCFP000
talamos;tálamos;NCMP000
talan;talán;NCMS000
tapara;tápara;NCFS000
taparas;táparas;NCFP000
tempano;témpano;NCMS000
tempera;témpera;NCFS000
temperas;témperas;NCFP000
templen;templén;NCMS000
termino;término;NCMS000
terrea;térrea;AQ0FS0
terreas;térreas;AQ0FP0
terreo;térreo;AQ0MS0
timalo;tímalo;NCMS000
timalos;tímalos;NCMP000
titulo;título;NCMS000
tornes;tornés;AQ0MS0
trafago;tráfago;NCMS000
trafico;tráfico;NCMS000
tragala;trágala;NCMS000
tragalas;trágalas;NCMP000
tramite;trámite;NCMS000
tramites;trámites;NCMP000
transito;tránsito;NCMS000
traquea;tráquea;NCFS000
traqueas;tráqueas;NCFP000
tremolo;trémolo;NCMS000
trepano;trépano;NCMS000
trepanos;trépanos;NCMP000
trepida;trépida;AQ0FS0
trepidas;trépidas;AQ0FP0
trepido;trépido;AQ0MS0
triangula;triángula;AQ0FS0
triangulas;triángulas;AQ0FP0
triangulo;triángulo;AQ0MS0
triangulo;triángulo;NCMS000
trocala;trócala;NCFS000
trocalas;trócalas;NCFP000
tupe;tupé;NCMS000
tupes;tupés;NCMP000
ulcera;úlcera;NCFS000
ulceras;úlceras;NCFP000
ultima;última;AO0FS0
ultimas;últimas;AO0FP0
ultimo;último;AO0MS0
ulula;úlula;NCFS000
ululas;úlulas;NCFP000
valida;válida;AQ0FS0
validas;válidas;AQ0FP0
vehiculo;vehículo;NCMS000
velica;vélica;AQ0FS0
velicas;vélicas;AQ0FP0
velico;vélico;AQ0MS0
verifica;verífica;AQ0FS0
verificas;veríficas;AQ0FP0
verifico;verífico;AQ0MS0
vertebra;vértebra;NCFS000
vertebras;vértebras;NCFP000
viatico;viático;NCMS000
victima;víctima;AQ0CS0
victima;víctima;NCFS000
victimas;víctimas;AQ0CP0
victimas;víctimas;NCFP000
vienes;vienés;AQ0MS0
vienes;vienés;NCMS000
vinculo;vínculo;NCMS000
vivifica;vivífica;AQ0FS0
vivificas;vivíficas;AQ0FP0
vivifico;vivífico;AQ0MS0
vomito;vómito;NCMS000
accidentaria;accidentaría;VMIC1S0
accidentaria;accidentaría;VMIC3S0
accidentarias;accidentarías;VMIC2S0
accionaria;accionaría;VMIC1S0
accionaria;accionaría;VMIC3S0
accionarias;accionarías;VMIC2S0
alimentaria;alimentaría;VMIC1S0
alimentaria;alimentaría;VMIC3S0
alimentarias;alimentarías;VMIC2S0
arbitraria;arbitraría;VMIC1S0
arbitraria;arbitraría;VMIC3S0
arbitrarias;arbitrarías;VMIC2S0
articularia;articularía;VMIC1S0
articularia;articularía;VMIC3S0
articularias;articularías;VMIC2S0
autogestionaria;autogestionaría;VMIC1S0
autogestionaria;autogestionaría;VMIC3S0
autogestionarias;autogestionarías;VMIC2S0
aviaria;aviaría;VMIC1S0
aviaria;aviaría;VMIC3S0
aviarias;aviarías;VMIC2S0
balearia;balearía;VMIC1S0
balearia;balearía;VMIC3S0
balearias;balearías;VMIC2S0
binaria;binaría;VMIC1S0
binaria;binaría;VMIC3S0
binarias;binarías;VMIC2S0
cambiaria;cambiaría;VMIC1S0
cambiaria;cambiaría;VMIC3S0
cambiarias;cambiarías;VMIC2S0
carbonaria;carbonaría;VMIC1S0
carbonaria;carbonaría;VMIC3S0
carbonarias;carbonarías;VMIC2S0
complementaria;complementaría;VMIC1S0
complementaria;complementaría;VMIC3S0
complementarias;complementarías;VMIC2S0
convulsionaria;convulsionaría;VMIC1S0
convulsionaria;convulsionaría;VMIC3S0
convulsionarias;convulsionarías;VMIC2S0
coronaria;coronaría;VMIC1S0
coronaria;coronaría;VMIC3S0
coronarias;coronarías;VMIC2S0
cuartelaria;cuartelaría;VMIC1S0
cuartelaria;cuartelaría;VMIC3S0
cuartelarias;cuartelarías;VMIC2S0
dentaria;dentaría;VMIC1S0
dentaria;dentaría;VMIC3S0
dentarias;dentarías;VMIC2S0
disciplinaria;disciplinaría;VMIC1S0
disciplinaria;disciplinaría;VMIC3S0
disciplinarias;disciplinarías;VMIC2S0
documentaria;documentaría;VMIC1S0
documentaria;documentaría;VMIC3S0
documentarias;documentarías;VMIC2S0
domiciliaria;domiciliaría;VMIC1S0
domiciliaria;domiciliaría;VMIC3S0
domiciliarias;domiciliarías;VMIC2S0
escrituraria;escrituraría;VMIC1S0
escrituraria;escrituraría;VMIC3S0
escriturarias;escriturarías;VMIC2S0
estacionaria;estacionaría;VMIC1S0
estacionaria;estacionaría;VMIC3S0
estacionarias;estacionarías;VMIC2S0
estipendiaria;estipendiaría;VMIC1S0
estipendiaria;estipendiaría;VMIC3S0
estipendiarias;estipendiarías;VMIC2S0
fagocitaria;fagocitaría;VMIC1S0
fagocitaria;fagocitaría;VMIC3S0
fagocitarias;fagocitarías;VMIC2S0
financiaria;financiaría;VMIC1S0
financiaria;financiaría;VMIC3S0
financiarias;financiarías;VMIC2S0
formularia;formularía;VMIC1S0
formularia;formularía;VMIC3S0
formularias;formularías;VMIC2S0
fornicaria;fornicaría;VMIC1S0
fornicaria;fornicaría;VMIC3S0
fornicarias;fornicarías;VMIC2S0
