# Manually added:

be; me; 1000000                         # p=0.999, r=0.819, 1000+953, 3grams, 2017-03-09
adduced; adduces; 1000000               # p=1.000, r=0.617, 568+71
adduced; adduces; 100000                # p=1.000, r=0.649, 568+71
adduced; adduces; 10000                 # p=1.000, r=0.687, 568+71
adduced; adduces; 1000                  # p=0.998, r=0.710, 568+71
adduced; adduces; 100                   # p=0.992, r=0.732, 568+71
adhered; adheres; 1000000               # p=0.997, r=0.171, 1000+1000
adhered; adheres; 100000                # p=0.997, r=0.189, 1000+1000
adhered; adheres; 10000                 # p=0.993, r=0.215, 1000+1000
adjudicated; adjudicates; 1000000       # p=1.000, r=0.442, 951+143
adjudicated; adjudicates; 100000        # p=1.000, r=0.492, 951+143
adjudicated; adjudicates; 10000         # p=0.998, r=0.533, 951+143
adjudicated; adjudicates; 1000          # p=0.991, r=0.574, 951+143
administrated; administrates; 1000000   # p=0.998, r=0.507, 1000+216
administrated; administrates; 100000    # p=0.999, r=0.602, 1000+216
administrated; administrates; 10000     # p=0.999, r=0.628, 1000+216
administrated; administrates; 1000      # p=0.999, r=0.665, 1000+216
administrated; administrates; 100       # p=0.999, r=0.729, 1000+216
administrated; administrates; 10        # p=0.990, r=0.764, 1000+216
advantaged; advantages; 1000000         # p=0.991, r=0.722, 412+996
advantaged; advantages; 100000          # p=0.991, r=0.756, 412+996
adventured; adventures; 1000000         # p=0.999, r=0.666, 55+1000
adventured; adventures; 100000          # p=0.995, r=0.688, 55+1000
adventured; adventures; 10000           # p=0.991, r=0.728, 55+1000
advocated; advocates; 1000000           # p=0.991, r=0.169, 1000+1000
advocated; advocates; 100000            # p=0.993, r=0.213, 1000+1000
aerated; aerates; 10000                 # p=0.990, r=0.582, 479+31
aerially; serially; 1000000             # p=0.991, r=0.344, 103+880
aerial; serial; 1000000                 # p=0.998, r=0.317, 998+995
aerial; serial; 100000                  # p=0.999, r=0.392, 998+995
aerial; serial; 10000                   # p=0.999, r=0.433, 998+995
aerial; serial; 1000                    # p=0.996, r=0.470, 998+995
aerial; serial; 100                     # p=0.991, r=0.507, 998+995
afar; agar; 1000000                     # p=0.998, r=0.220, 997+999
afar; agar; 100000                      # p=0.998, r=0.266, 997+999
afar; agar; 10000                       # p=0.997, r=0.312, 997+999
afar; agar; 1000                        # p=0.993, r=0.371, 997+999
affiliated; affiliates; 1000000         # p=0.990, r=0.363, 997+999
affixed; affixes; 100000                # p=0.990, r=0.465, 1000+1000
aged; ages; 1000000                     # p=1.000, r=0.266, 991+1000
aged; ages; 100000                      # p=1.000, r=0.343, 991+1000
aged; ages; 10000                       # p=1.000, r=0.503, 991+1000
aged; ages; 1000                        # p=0.996, r=0.563, 991+1000
agglomerated; agglomerates; 10000       # p=1.000, r=0.158, 105+98
agglutinated; agglutinates; 100000      # p=1.000, r=0.164, 110+24
aggravated; aggravates; 1000000         # p=0.995, r=0.508, 1000+231
aggravated; aggravates; 100000          # p=0.994, r=0.543, 1000+231
agitated; agitates; 1000000             # p=0.997, r=0.522, 1000+95
agitated; agitates; 100000              # p=0.992, r=0.586, 1000+95
agonized; agonizes; 1000000             # p=1.000, r=0.244, 217+82
agonized; agonizes; 100000              # p=1.000, r=0.288, 217+82
airbrushed; airbrushes; 1000000         # p=1.000, r=0.170, 318+40
airbrushed; airbrushes; 100000          # p=1.000, r=0.204, 318+40
airbrushed; airbrushes; 10000           # p=1.000, r=0.257, 318+40
akin; skin; 1000000                     # p=0.999, r=0.385, 1000+997
akin; skin; 100000                      # p=0.999, r=0.467, 1000+997
akin; skin; 10000                       # p=0.995, r=0.527, 1000+997
akin; skin; 1000                        # p=0.990, r=0.562, 1000+997
alack; slack; 1000000                   # p=0.997, r=0.311, 35+1000
aliased; aliases; 1000000               # p=0.994, r=0.247, 268+1000
aliased; aliases; 100000                # p=0.995, r=0.313, 268+1000
aliased; aliases; 10000                 # p=0.997, r=0.453, 268+1000
aliased; aliases; 1000                  # p=0.996, r=0.525, 268+1000
alighted; slighted; 1000000             # p=0.992, r=0.380, 240+681
alighted; slighted; 100000              # p=0.993, r=0.452, 240+681
alighted; slighted; 10000               # p=0.992, r=0.511, 240+681
alighting; slighting; 1000000           # p=1.000, r=0.276, 472+166
alighting; slighting; 100000            # p=0.995, r=0.342, 472+166
alighting; slighting; 10000             # p=0.997, r=0.456, 472+166
alighting; slighting; 1000              # p=0.997, r=0.520, 472+166
alights; slights; 1000000               # p=0.991, r=0.298, 76+290
alights; slights; 100000                # p=0.993, r=0.383, 76+290
alights; slights; 10000                 # p=0.994, r=0.454, 76+290
alights; slights; 1000                  # p=0.995, r=0.505, 76+290
alleviated; alleviates; 1000000         # p=1.000, r=0.454, 1000+336
alleviated; alleviates; 100000          # p=1.000, r=0.480, 1000+336
alleviated; alleviates; 10000           # p=1.000, r=0.504, 1000+336
alleviated; alleviates; 1000            # p=0.993, r=0.519, 1000+336
allied; allies; 1000000                 # p=0.992, r=0.187, 999+999
allied; allies; 100000                  # p=0.990, r=0.207, 999+999
allied; allies; 10000                   # p=0.992, r=0.241, 999+999
allied; allies; 1000                    # p=0.991, r=0.284, 999+999
allot; alloy; 1000000                   # p=0.992, r=0.477, 510+999
allots; alloys; 1000000                 # p=0.999, r=0.717, 109+1000
allots; alloys; 100000                  # p=0.999, r=0.747, 109+1000
allots; alloys; 10000                   # p=0.999, r=0.779, 109+1000
allots; alloys; 1000                    # p=0.996, r=0.813, 109+1000
allots; alloys; 100                     # p=0.994, r=0.845, 109+1000
alluded; alludes; 1000000               # p=0.998, r=0.204, 1000+1000
alluded; alludes; 100000                # p=0.996, r=0.230, 1000+1000
allured; allures; 1000000               # p=1.000, r=0.116, 116+99
allured; allures; 100000                # p=1.000, r=0.130, 116+99
allured; allures; 10000                 # p=1.000, r=0.163, 116+99
allured; allures; 1000                  # p=1.000, r=0.200, 116+99
alphabetized; alphabetizes; 1000000     # p=0.998, r=0.564, 733+21
alphabetized; alphabetizes; 100000      # p=0.998, r=0.626, 733+21
alphabetized; alphabetizes; 10000       # p=0.998, r=0.679, 733+21
alphabetized; alphabetizes; 1000        # p=0.991, r=0.759, 733+21
alum; slum; 1000000                     # p=0.994, r=0.242, 1000+1000
alum; slum; 100000                      # p=0.993, r=0.275, 1000+1000
alum; slum; 10000                       # p=0.992, r=0.301, 1000+1000
amazed; amazes; 1000000                 # p=0.995, r=0.596, 1000+375
amazed; amazes; 100000                  # p=0.991, r=0.623, 1000+375
ameliorated; ameliorates; 1000000       # p=1.000, r=0.472, 375+49
ameliorated; ameliorates; 100000        # p=1.000, r=0.521, 375+49
ameliorated; ameliorates; 10000         # p=1.000, r=0.554, 375+49
ameliorated; ameliorates; 1000          # p=0.992, r=0.594, 375+49
amnestied; amnesties; 10000             # p=0.992, r=0.346, 188+167
amplified; amplifies; 1000000           # p=0.998, r=0.286, 1000+680
amputated; amputates; 1000000           # p=0.999, r=0.804, 1000+40
amputated; amputates; 100000            # p=0.999, r=0.845, 1000+40
amputated; amputates; 10000             # p=0.999, r=0.871, 1000+40
amputated; amputates; 1000              # p=0.993, r=0.882, 1000+40
amputated; amputates; 100               # p=0.991, r=0.904, 1000+40
amused; amuses; 1000000                 # p=0.994, r=0.538, 1000+280
amused; amuses; 100000                  # p=0.993, r=0.576, 1000+280
amuses; anuses; 1000000                 # p=0.995, r=0.525, 280+80
amuses; anuses; 100000                  # p=0.995, r=0.586, 280+80
amuses; anuses; 10000                   # p=0.991, r=0.636, 280+80
analogized; analogizes; 1000000         # p=1.000, r=0.210, 97+22
analogized; analogizes; 100000          # p=1.000, r=0.261, 97+22
analogized; analogizes; 10000           # p=1.000, r=0.269, 97+22
angled; angles; 1000000                 # p=0.997, r=0.343, 1000+1000
anglers; antlers; 1000000               # p=0.992, r=0.123, 1000+1000
anglers; antlers; 100000                # p=0.994, r=0.166, 1000+1000
anglers; antlers; 10000                 # p=0.994, r=0.234, 1000+1000
anguished; anguishes; 1000000           # p=1.000, r=0.297, 489+22
anguished; anguishes; 100000            # p=1.000, r=0.384, 489+22
anguished; anguishes; 10000             # p=0.996, r=0.460, 489+22
annihilated; annihilates; 1000000       # p=0.998, r=0.487, 1000+231
annihilated; annihilates; 100000        # p=0.997, r=0.531, 1000+231
annihilated; annihilates; 10000         # p=0.992, r=0.569, 1000+231
antedated; antedates; 1000000           # p=1.000, r=0.120, 113+95
antedated; antedates; 100000            # p=1.000, r=0.130, 113+95
antedated; antedates; 10000             # p=1.000, r=0.139, 113+95
antedated; antedates; 1000              # p=1.000, r=0.159, 113+95
antedated; antedates; 100               # p=1.000, r=0.197, 113+95
antipasti; antipasto; 100000            # p=1.000, r=0.136, 24+57
antipasti; antipasto; 10000             # p=1.000, r=0.185, 24+57
antipasti; antipasto; 1000              # p=1.000, r=0.284, 24+57
antipasti; antipasto; 100               # p=1.000, r=0.333, 24+57
antiqued; antiques; 1000000             # p=1.000, r=0.284, 34+1000
antiqued; antiques; 100000              # p=0.997, r=0.366, 34+1000
antiqued; antiques; 10000               # p=0.993, r=0.411, 34+1000
aorta; sorta; 1000000                   # p=0.993, r=0.537, 1000+805
aped; apes; 1000000                     # p=1.000, r=0.692, 66+1000
aped; apes; 100000                      # p=1.000, r=0.725, 66+1000
aped; apes; 10000                       # p=1.000, r=0.795, 66+1000
aped; apes; 1000                        # p=1.000, r=0.816, 66+1000
aped; apes; 100                         # p=1.000, r=0.846, 66+1000
apes; apex; 1000000                     # p=1.000, r=0.163, 1000+999
apes; apex; 100000                      # p=1.000, r=0.217, 1000+999
apes; apex; 10000                       # p=1.000, r=0.252, 1000+999
apes; apex; 1000                        # p=0.997, r=0.302, 1000+999
appeased; appeases; 1000000             # p=0.997, r=0.517, 505+50
appeased; appeases; 100000              # p=0.993, r=0.539, 505+50
appeased; appeases; 10000               # p=0.994, r=0.573, 505+50
appeased; appeases; 1000                # p=0.994, r=0.616, 505+50
applied; applies; 1000000               # p=0.991, r=0.164, 995+1000
appliqued; appliques; 10000             # p=1.000, r=0.135, 34+62
appraised; appraises; 1000000           # p=0.997, r=0.625, 1000+81
appraised; appraises; 100000            # p=0.997, r=0.663, 1000+81
appraised; appraises; 10000             # p=0.996, r=0.685, 1000+81
appraised; appraises; 1000              # p=0.996, r=0.706, 1000+81
appraised; appraises; 100               # p=0.991, r=0.744, 1000+81
apprenticed; apprentices; 1000000       # p=0.996, r=0.478, 1000+1000
apprenticed; apprentices; 100000        # p=0.995, r=0.550, 1000+1000
apprenticed; apprentices; 10000         # p=0.996, r=0.618, 1000+1000
apprenticed; apprentices; 1000          # p=0.996, r=0.669, 1000+1000
apprenticed; apprentices; 100           # p=0.990, r=0.725, 1000+1000
approached; approaches; 1000000         # p=0.997, r=0.471, 998+1000
approached; approaches; 100000          # p=0.997, r=0.519, 998+1000
approached; approaches; 10000           # p=0.995, r=0.575, 998+1000
approached; approaches; 1000            # p=0.991, r=0.630, 998+1000
approximated; approximates; 1000000     # p=0.995, r=0.375, 1000+1000
approximated; approximates; 100000      # p=0.990, r=0.405, 1000+1000
approximated; approximates; 10000       # p=0.990, r=0.452, 1000+1000
arbitrage; arbitrate; 1000000           # p=0.995, r=0.376, 1000+1000
arbitrage; arbitrate; 100000            # p=0.994, r=0.501, 1000+1000
arbitrage; arbitrate; 10000             # p=0.993, r=0.605, 1000+1000
arbitrage; arbitrate; 1000              # p=0.993, r=0.685, 1000+1000
arbitrage; arbitrate; 100               # p=0.991, r=0.753, 1000+1000
arbitrages; arbitrates; 1000000         # p=1.000, r=0.125, 20+60
arbitrages; arbitrates; 100000          # p=1.000, r=0.175, 20+60
arbitrages; arbitrates; 10000           # p=1.000, r=0.237, 20+60
arbitrages; arbitrates; 1000            # p=1.000, r=0.363, 20+60
arbitrages; arbitrates; 100             # p=1.000, r=0.400, 20+60
arbitrages; arbitrates; 10              # p=1.000, r=0.550, 20+60
arbitrated; arbitrates; 1000000         # p=0.991, r=0.263, 359+60
arbitrated; arbitrates; 100000          # p=0.992, r=0.289, 359+60
arbitrated; arbitrates; 10000           # p=0.994, r=0.368, 359+60
arched; arches; 1000000                 # p=1.000, r=0.393, 1000+1000
arched; arches; 100000                  # p=1.000, r=0.458, 1000+1000
arched; arches; 10000                   # p=0.998, r=0.541, 1000+1000
arched; arches; 1000                    # p=0.998, r=0.638, 1000+1000
arched; arches; 100                     # p=0.993, r=0.720, 1000+1000
areas; arras; 1000000                   # p=0.994, r=0.408, 988+1000
areas; arras; 100000                    # p=0.991, r=0.442, 988+1000
argued; argues; 1000000                 # p=0.997, r=0.180, 1000+1000
argued; argues; 100000                  # p=0.992, r=0.190, 1000+1000
arise; arose; 1000000                   # p=0.992, r=0.130, 1000+1000
arise; arose; 100000                    # p=0.991, r=0.158, 1000+1000
articulated; articulates; 1000000       # p=0.994, r=0.245, 1000+898
articulated; articulates; 100000        # p=0.993, r=0.297, 1000+898
ashed; ashes; 10000                     # p=0.991, r=0.563, 25+999
ashed; ashes; 1000                      # p=0.991, r=0.739, 25+999
ashed; ashes; 100                       # p=0.991, r=0.783, 25+999
asphyxiated; asphyxiates; 1000000       # p=1.000, r=0.376, 192+21
asphyxiated; asphyxiates; 100000        # p=0.990, r=0.484, 192+21
asphyxiated; asphyxiates; 10000         # p=0.992, r=0.563, 192+21
aspirated; aspirates; 1000000           # p=0.995, r=0.355, 1000+173
aspirated; aspirates; 100000            # p=0.995, r=0.469, 1000+173
aspirated; aspirates; 10000             # p=0.996, r=0.581, 1000+173
aspirated; aspirates; 1000              # p=0.993, r=0.631, 1000+173
aspirated; aspirates; 100               # p=0.990, r=0.707, 1000+173
assigned; assignee; 1000000             # p=0.997, r=0.548, 1000+363
assigned; assignee; 100000              # p=0.998, r=0.603, 1000+363
assigned; assignee; 10000               # p=0.993, r=0.683, 1000+363
associated; associates; 1000000         # p=0.997, r=0.311, 996+994
associated; associates; 100000          # p=0.995, r=0.330, 996+994
associated; associates; 10000           # p=0.996, r=0.425, 996+994
associated; associates; 1000            # p=0.995, r=0.518, 996+994
associated; associates; 100             # p=0.994, r=0.619, 996+994
assuaged; assuages; 100000              # p=0.991, r=0.455, 200+42
assuaged; assuages; 10000               # p=0.992, r=0.483, 200+42
astonished; astonishes; 1000000         # p=0.997, r=0.697, 1000+109
astonished; astonishes; 100000          # p=0.998, r=0.738, 1000+109
astonished; astonishes; 10000           # p=0.992, r=0.772, 1000+109
atoned; atones; 1000000                 # p=1.000, r=0.167, 200+69
atoned; atones; 100000                  # p=1.000, r=0.216, 200+69
atoned; stoned; 1000000                 # p=1.000, r=0.181, 198+1000
atoned; stoned; 100000                  # p=1.000, r=0.218, 198+1000
atoned; stoned; 10000                   # p=0.997, r=0.281, 198+1000
atoned; stoned; 1000                    # p=0.995, r=0.364, 198+1000
atones; stones; 1000000                 # p=0.994, r=0.457, 67+994
atones; stones; 100000                  # p=0.991, r=0.509, 67+994
atones; stones; 10000                   # p=0.992, r=0.557, 67+994
atones; stones; 1000                    # p=0.991, r=0.604, 67+994
atones; stones; 100                     # p=0.993, r=0.762, 67+994
atoning; stoning; 1000000               # p=0.994, r=0.265, 212+1000
atoning; stoning; 100000                # p=0.995, r=0.344, 212+1000
atoning; stoning; 10000                 # p=0.995, r=0.461, 212+1000
atoning; stoning; 1000                  # p=0.994, r=0.569, 212+1000
atoning; stoning; 100                   # p=0.990, r=0.673, 212+1000
atop; stop; 1000000                     # p=0.992, r=0.493, 1000+943
atria; stria; 1000000                   # p=0.996, r=0.213, 1000+157
atria; stria; 100000                    # p=0.997, r=0.253, 1000+157
atria; stria; 10000                     # p=0.997, r=0.313, 1000+157
atria; stria; 1000                      # p=0.995, r=0.355, 1000+157
atria; stria; 100                       # p=0.994, r=0.434, 1000+157
atrophied; atrophies; 1000000           # p=1.000, r=0.230, 235+100
atrophied; atrophies; 100000            # p=1.000, r=0.293, 235+100
atrophied; atrophies; 10000             # p=1.000, r=0.385, 235+100
atrophied; atrophies; 1000              # p=1.000, r=0.493, 235+100
atrophied; atrophies; 100               # p=0.995, r=0.558, 235+100
attenuated; attenuates; 1000000         # p=0.994, r=0.502, 1000+235
attenuated; attenuates; 100000          # p=0.991, r=0.560, 1000+235
attributed; attributes; 1000000         # p=0.998, r=0.526, 999+853
attributed; attributes; 100000          # p=0.996, r=0.584, 999+853
attributed; attributes; 10000           # p=0.992, r=0.637, 999+853
attributed; attributes; 1000            # p=0.992, r=0.681, 999+853
auctioned; suctioned; 1000000           # p=0.998, r=0.431, 1000+27
auctioned; suctioned; 100000            # p=0.996, r=0.506, 1000+27
auctioned; suctioned; 10000             # p=0.995, r=0.611, 1000+27
auctioned; suctioned; 1000              # p=0.993, r=0.715, 1000+27
auctioned; suctioned; 100               # p=0.994, r=0.768, 1000+27
auctioned; suctioned; 10                # p=0.992, r=0.850, 1000+27
auction; suction; 1000000               # p=0.998, r=0.319, 1000+1000
auction; suction; 100000                # p=0.997, r=0.375, 1000+1000
auction; suction; 10000                 # p=0.998, r=0.417, 1000+1000
auction; suction; 1000                  # p=0.995, r=0.481, 1000+1000
auspiciously; suspiciously; 1000000     # p=0.994, r=0.482, 87+1000
auspiciously; suspiciously; 100000      # p=0.995, r=0.534, 87+1000
auspiciously; suspiciously; 10000       # p=0.992, r=0.605, 87+1000
auspiciously; suspiciously; 1000        # p=0.992, r=0.680, 87+1000
auspiciously; suspiciously; 100         # p=0.993, r=0.740, 87+1000
auspicious; suspicious; 1000000         # p=0.994, r=0.254, 1000+1000
auspicious; suspicious; 100000          # p=0.993, r=0.304, 1000+1000
authenticated; authenticates; 1000000   # p=0.998, r=0.393, 1000+151
authenticated; authenticates; 100000    # p=0.996, r=0.453, 1000+151
authenticated; authenticates; 10000     # p=0.995, r=0.514, 1000+151
autopsied; autopsies; 1000000           # p=0.995, r=0.246, 101+695
autopsied; autopsies; 100000            # p=0.996, r=0.351, 101+695
autopsied; autopsies; 10000             # p=0.997, r=0.448, 101+695
autopsied; autopsies; 1000              # p=0.998, r=0.570, 101+695
autopsied; autopsies; 100               # p=0.996, r=0.692, 101+695
averred; averted; 1000000               # p=1.000, r=0.268, 217+1000
averred; averted; 100000                # p=0.998, r=0.364, 217+1000
averred; averted; 10000                 # p=0.994, r=0.509, 217+1000
averring; averting; 1000000             # p=1.000, r=0.362, 43+559
averring; averting; 100000              # p=1.000, r=0.425, 43+559
