# A part-of-speech dictionary that's used additionally to the binary dictionary (*.dict).
# This list is generated automatically from 'portuguese-pos-dict'. 
# If you need to add entries manually, do it after the comment at the bottom.
# This does not add words to the spell checker, see hunspell/spelling.txt for that.
# File Encoding: UTF-8
# Format: three tab-separated fields: fullform baseform postags
#
conosco	comigo	PP1CPO00
Dube	Dube	NPCSS00
embusen	embusen	NCMS000
empi	empi	NCMN000
Esposito	Esposito	NPCSS00
euromilhões	euromilhões	NCMN000
fartinha	fartinho	AQ0FS0
fartinhas	fartinho	AQ0FP0
fartinho	fartinho	AQ0MS0
fartinhos	fartinho	AQ0MP0
fingerprint	fingerprint	NCFS000
fingerprints	fingerprint	NCFP000
Fogg	Fogg	NPCSS00
Forst	Forst	NPCSS00
fotorrealista	fotorrealista	AQ0CS0
fotorrealista	fotorrealista	NCCS000
fotorrealistas	fotorrealista	AQ0CP0
fotorrealistas	fotorrealista	NCCP000
Fraser	Fraser	NPCSS00
Frieden	Frieden	NPCSS00
fukushin	fukushin	NCCS000
gedan	gedan	NCMN000
gedan-barai	gedan-barai	NCMN000
geri	geri	NCMN000
Gilani	Gilani	NPCSS00
ginessexuais	ginessexual	AQ0CP0
ginessexuais	ginessexual	NCCP000
ginessexual	ginessexual	AQ0CS0
ginessexual	ginessexual	NCCS000
Goju-ryu	Goju-ryu	NPMS000
googlar	googlar	VMN0000
googlar	googlar	VMN01S0
googlar	googlar	VMN03S0
googlar	googlar	VMSF1S0
googlar	googlar	VMSF3S0
Goretsky	Goretsky	NPCSS00
guest	guest	NCMS000
guests	guest	NCMP000
gyaku-tsuki	gyaku-tsuki	NCMN000
gyaku-zuki	gyaku-zuki	NCMN000
hachidan	hachidan	NCMS000
hachiji-dachi	hachiji-dachi	NCMN000
hachimaki	hachimaki	NCMS000
hachimakis	hachimaki	NCMP000
haishu	haishu	NCMN000
haito	haito	NCMN000
haito-uchi	haito-uchi	NCMN000
hajime	hajime	I
hanshi	hanshi	NCCS000
hanshis	hanshi	NCCP000
hansoku	hansoku	NCMS000
hansoku-chui	hansoku-chui	NCMS000
hantei	hantei	NCMS000
Harman	Harman	NPCSS00
heiko-dachi	heiko-dachi	NCMN000
heisoku-dachi	heisoku-dachi	NCMN000
hikiwake	hikiwake	NCMS000
holter	holter	NCMS000
honeynet	honeynet	NCFS000
honeynets	honeynet	NCFP000
honeypot	honeypot	NCMS000
honeypots	honeypot	NCMP000
inumada	inumado	AQ0FS0
inumadas	inumado	AQ0FP0
inumado	inumado	AQ0MS0
inumados	inumado	AQ0MP0
ippon	ippon	NCMS000
ippons	ippon	NCMP000
Jakob	Jakob	NPMSS00
Jock	Jock	NPMSS00
jodan	jodan	NCMN000
jogai	jogai	NCMS000
Josefino	Josefino	NPMS000
judan	judan	NCMS000
Jumarie	Jumarie	NPMS000
jun-zuki	jun-zuki	NCMN000
kamae	kamae	NCMS000
kansa	kansa	NCCS000
karaté	karaté	NCMS000
karate-do	karate-do	NCMS000
karateca	karateca	NCCS000
karatecas	karateca	NCCP000
karategi	karategi	NCMS000
karategis	karategi	NCMP000
Kersting	Kersting	NPCSS00
kiai	kiai	NCMS000
kiais	kiai	NCMP000
kiba-dachi	kiba-dachi	NCMN000
kihon	kihon	NCMS000
kiken	kiken	NCMS000
Kimberley	Kimberley	NPCSS00
kime	kime	NCMS000
kimono	kimono	NCMS000
kimonos	kimono	NCMP000
kizami-zuki	kizami-zuki	NCMN000
Knake	Knake	NPCSS00
Knop	Knop	NPCSS00
kohai	kohai	NCCS000
kohais	kohai	NCCP000
kokutsu-dachi	kokutsu-dachi	NCMN000
Koohang	Koohang	NPCSS00
kosa-dachi	kosa-dachi	NCMN000
Kristine	Kristine	NPFSS00
kudan	kudan	NCMS000
Kullback	Kullback	NPCSS00
kumite	kumite	NCMS000
kumites	kumite	NCMP000
Kyokushin	Kyokushin	NPMS000
Kyokushin-kai	Kyokushin-kai	NPMS000
kyoshi	kyoshi	NCCS000
kyoshis	kyoshi	NCCP000
kyu	kyu	NCMS000
kyus	kyu	NCMP000
lacração	lacração	NCFS000
lacrações	lacração	NCFP000
Larri	Larri	NPCSS00
Laudon	Laudon	NPCSS00
Laurent	Laurent	NPMSS00
Lebow	Lebow	NPCSS00
Lech	Lech	NPMSS00
Leigh	Leigh	NPCSS00
Lemmy	Lemmy	NPMS000
Lennon	Lennon	NPMSS00
Leson	Leson	NPCSS00
limpezazinha	limpezazinha	NCFS000
limpezazinhas	limpezazinha	NCFP000
Lindsay	Lindsay	NPCSS00
ma-ai	ma-ai	NCMS000
maai	maai	NCMS000
mae-ashi-geri	mae-ashi-geri	NCMN000
mae-geri	mae-geri	NCMN000
makiwara	makiwara	NCMS000
makiwaras	makiwara	NCMP000
mawashi-empi	mawashi-empi	NCMN000
mawashi-geri	mawashi-geri	NCMN000
mawashi-tsuki	mawashi-tsuki	NCMN000
mecanorrecetor	mecanorrecetor	NCMS000
mecanorrecetores	mecanorrecetor	NCMP000
Mia	Mia	NPCS000
microgestão	microgestão	NCFS000
microtom	microtom	NCMS000
microtons	microtom	NCMP000
mikazuki-geri	mikazuki-geri	NCMN000
Milda	Milda	NPFS000
mokuso	mokuso	NCMS000
Moltke	Moltke	NPCSS00
monossexuais	monossexual	AQ0CP0
monossexuais	monossexual	NCCP000
monossexual	monossexual	AQ0CS0
monossexual	monossexual	NCCS000
morote-tsuki	morote-tsuki	NCMN000
morote-uchi	morote-uchi	NCMN000
mubobi	mubobi	NCMS000
Murugiah	Murugiah	NPCSS00
musubi-dachi	musubi-dachi	NCMN000
Myung	Myung	NPCSS00
Nabeiro	Nabeiro	NPMS000
Nabeiro	Nabeiro	NPMSS00
Nagre	Nagre	NPCSS00
nanadan	nanadan	NCMS000
neko-ashi-dachi	neko-ashi-dachi	NCMN000
neuroatípica	neuroatípico	AQ0FS0
neuroatípicas	neuroatípico	AQ0FP0
neuroatípico	neuroatípico	AQ0MS0
neuroatípicos	neuroatípico	AQ0MP0
neurodivergente	neurodivergente	AQ0CS0
neurodivergente	neurodivergente	NCCS000
neurodivergentes	neurodivergente	AQ0CP0
neurodivergentes	neurodivergente	NCCP000
newsgroup	newsgroup	NCMS000
newsgroups	newsgroup	NCMP000
nidan	nidan	NCMS000
NISQ	NISQ	AQ0CN0
Nonaka	Nonaka	NPCSS00
Norman	Norman	NPMSS00
nukite	nukite	NCMN000
obi	obi	NCMS000
obis	obi	NCMP000
oi-tsuki	oi-tsuki	NCMN000
oi-zuki	oi-zuki	NCMN000
okuri-ashi	okuri-ashi	NCMN000
Ollmann	Ollmann	NPCSS00
omnissexuais	omnissexual	AQ0CP0
omnissexuais	omnissexual	NCCP000
omnissexual	omnissexual	AQ0CS0
omnissexual	omnissexual	NCCS000
oss	oss	I
osu	osu	I
Oudot	Oudot	NPCSS00
palavra-passe	palavra-passe	NCFS000
palavras-passe	palavra-passe	NCFP000
pansexuais	pansexual	AQ0CP0
pansexuais	pansexual	NCCP000
pansexual	pansexual	AQ0CS0
pansexual	pansexual	NCCS000
Papp	Papp	NPCSS00
Parodontax	Parodontax	NPCN000
Patriot	Patriot	NPMN000
payload	payload	NCMS000
payloads	payload	NCMP000
peer	peer	NCMS000
peers	peer	NCMP000
peixe-dourado	peixe-dourado	NCMS000
peixes-dourados	peixe-dourado	NCMP000
polissexuais	polissexual	AQ0CP0
polissexuais	polissexual	NCCP000
polissexual	polissexual	AQ0CS0
polissexual	polissexual	NCCS000
pop-up	pop-up	NCMS000
pop-ups	pop-up	NCMP000
prevalente	prevalente	AQ0CS0
prevalentes	prevalente	AQ0CP0
primeira-ministra	primeiro-ministro	NCFS000
primeiras-ministras	primeiro-ministro	NCFP000
primeiro-ministro	primeiro-ministro	NCMS000
primeiros-ministros	primeiro-ministro	NCMP000
Priyanka	Priyanka	NPFSS00
PureBasic	PureBasic	NPMS000
QAOA	QAOA	NCMS000
QEC	QEC	NCFS000
QFT	QFT	NCFS000
QKD	QKD	NCFS000
QPE	QPE	NCFS000
QPU	QPU	NCFS000
QPUs	QPU	NCFP000
QSP	QSP	NCMS000
QSVT	QSVT	NCFS000
Quade	Quade	NPCSS00
qubit	qubit	NCMS000
qubits	qubit	NCMP000
qudit	qudit	NCMS000
qudits	qudit	NCMP000
quimono	quimono	NCMS000
quimonos	quimono	NCMP000
Quinn	Quinn	NPCSS00
qutrit	qutrit	NCMS000
qutrits	qutrit	NCMP000
Radnofsky	Radnofsky	NPCSS00
Rainer	Rainer	NPMSS00
Ramneek	Ramneek	NPCSS00
Randall	Randall	NPMSS00
Randolph	Randolph	NPMSS00
Raymond	Raymond	NPMSS00
Raynal	Raynal	NPCSS00
recalculação	recalculação	NCFS000
renshi	renshi	NCCS000
renshis	renshi	NCCP000
rinossinusite	rinossinusite	NCFS000
rinossinusites	rinossinusite	NCFP000
ritsu-rei	ritsu-rei	NCMS000
Rocky	Rocky	NPMS000
Rogeiro	Rogeiro	NPMS000
Rogeiro	Rogeiro	NPMSS00
rokudan	rokudan	NCMS000
sanchin-dachi	sanchin-dachi	NCMN000
sandan	sandan	NCMS000
Saxton	Saxton	NPCSS00
Scarfone	Scarfone	NPCSS00
seiken	seiken	NCMN000
seiken-tsuki	seiken-tsuki	NCMN000
seiza	seiza	NCMS000
semi-imóveis	semi-imóvel	AQ0CP0
semi-imóveis	semi-imóvel	NCCP000
semi-imóvel	semi-imóvel	AQ0CS0
semi-imóvel	semi-imóvel	NCCS000
semiacabada	semiacabado	AQ0FS0
semiacabadas	semiacabado	AQ0FP0
semiacabado	semiacabado	AQ0MS0
semiacabados	semiacabado	AQ0MP0
senpai	senpai	NCCS000
senpais	senpai	NCCP000
sensei	sensei	NCCS000
senseis	sensei	NCCP000
senshu	senshu	NCMS000
Shafer	Shafer	NPCSS00
shihan	shihan	NCCS000
shihans	shihan	NCCP000
shikkaku	shikkaku	NCMS000
shiko-dachi	shiko-dachi	NCMN000
Shito-ryu	Shito-ryu	NPMS000
shodan	shodan	NCMS000
Shorin-ryu	Shorin-ryu	NPMS000
Shotokan	Shotokan	NPMS000
shushin	shushin	NCCS000
shuto	shuto	NCMN000
shuto-uchi	shuto-uchi	NCMN000
shuto-uke	shuto-uke	NCMN000
sistêmica	sistêmico	AQ0FS0
sistémica	sistémico	AQ0FS0
sistémicas	sistémico	AQ0FP0
sistêmicas	sistêmico	AQ0FP0
sistêmico	sistêmico	AQ0MS0
sistémico	sistémico	AQ0MS0
sistémicos	sistémico	AQ0MP0
sistêmicos	sistêmico	AQ0MP0
Skeffington	Skeffington	NPCSS00
Slade	Slade	NPCSS00
smoothie	smoothie	NCMS000
smoothies	smoothie	NCMP000
Snodgrass	Snodgrass	NPCSS00
SNS24	SNS24	NPMS000
soke	soke	NCCS000
sokes	soke	NCCP000
sossegadinha	sossegadinho	NCFS00D
sossegadinhas	sossegadinho	NCFP00D
sossegadinho	sossegadinho	NCMS00D
sossegadinhos	sossegadinho	NCMP00D
soto-uke	soto-uke	NCMN000
Sprague	Sprague	NPCSS00
Steiner	Steiner	NPCSS00
subníveis	subnível	NCMP000
subnível	subnível	NCMS000
subslide	subslide	NCMS000
subslides	subslide	NCMP000
suri-ashi	suri-ashi	NCMN000
Syed	Syed	NPCSS00
Takeuchi	Takeuchi	NPCSS00
tatami	tatami	NCMS000
tatâmi	tatâmi	NCMS000
tatâmis	tatâmi	NCMP000
tatamis	tatami	NCMP000
tate-tsuki	tate-tsuki	NCMN000
tate-zuki	tate-zuki	NCMN000
teisho	teisho	NCMN000
ténue	ténue	AQ0CS0
tênue	tênue	AQ0CS0
ténues	ténue	AQ0CP0
tênues	tênue	AQ0CP0
Terrence	Terrence	NPMSS00
tettsui	tettsui	NCMN000
tettsui-uchi	tettsui-uchi	NCMN000
Tolstoy	Tolstoy	NPMS000
Tolstoy	Tolstoy	NPMSS00
torimasen	torimasen	I
Torralva	Torralva	NPMSS00
transmon	transmon	NCMS000
transmons	transmon	NCMP000
Trapp	Trapp	NPCSS00
trojan	trojan	NCMS000
trojans	trojan	NCMP000
tsugi-ashi	tsugi-ashi	NCMN000
tsuki	tsuki	NCMN000
tsuzukete	tsuzukete	I
uchi	uchi	NCMN000
uchi-uke	uchi-uke	NCMN000
Uechi-ryu	Uechi-ryu	NPMS000
uke	uke	NCMN000
ura-mawashi-geri	ura-mawashi-geri	NCMN000
ura-zuki	ura-zuki	NCMN000
uraken	uraken	NCMN000
uraken-uchi	uraken-uchi	NCMN000
ushiro-geri	ushiro-geri	NCMN000
Vatis	Vatis	NPCSS00
videogravação	videogravação	NCFS000
videogravações	videogravação	NCFP000
vietcongue	vietcongue	AQ0CS0
vietcongue	vietcongue	NCCS000
vietcongues	vietcongue	AQ0CP0
vietcongues	vietcongue	NCCP000
VQE	VQE	NCMS000
Wacks	Wacks	NPCSS00
Wado-ryu	Wado-ryu	NPMS000
wakarete	wakarete	I
Warade	Warade	NPCSS00
waza	waza	NCMN000
waza-ari	waza-ari	NCMS000
Whirlpool	Whirlpool	NPFS000
Woodcock	Woodcock	NPMS000
worm	worm	NCMS000
worms	worm	NCMP000
WritingTool	WritingTool	NPMN000
Yager	Yager	NPCSS00
yame	yame	I
yoko-geri	yoko-geri	NCMN000
yoko-geri-keage	yoko-geri-keage	NCMN000
yoko-geri-kekomi	yoko-geri-kekomi	NCMN000
yondan	yondan	NCMS000
yori-ashi	yori-ashi	NCMN000
yuko	yuko	NCMS000
yukos	yuko	NCMP000
zanshin	zanshin	NCMS000
zenkutsu-dachi	zenkutsu-dachi	NCMN000
zuki	zuki	NCMN000
