# v_zna
#згідно v_rod
ангажувати v_zna:v_oru:v_dav
ангажуватися v_oru
англізувати v_zna:v_oru
англізуватися v_oru
анексувати v_zna:v_oru:v_dav
анексуватися v_oru
анестезувати v_zna:v_oru:v_dav
анестезуватися v_oru
анігілювати v_zna:v_oru:v_dav
анігілюватися v_oru
анімувати v_zna:v_oru:v_dav
анкетувати v_zna:v_oru:v_dav
анкетуватися v_oru
анодувати v_zna:v_oru:v_dav
анодуватися v_oru
анонімізувати v_zna:v_oru:v_dav
анонсити v_zna:v_oru:v_dav
анонсувати v_zna:v_oru:v_dav
анонсуватися v_oru
анотувати v_zna:v_oru:v_dav
анотуватися v_oru
антагонізувати v_zna
антидатувати v_zna:v_oru:v_dav
антипатичний v_dav
антропоморфізувати v_zna:v_oru:v_dav
антропоморфізуватися v_oru
анулювати v_zna:v_oru:v_dav
анулюватися v_oru
анульовувати v_zna:v_oru:v_dav
анульовуватися v_oru
анфоловити v_zna
анфоловнути v_zna
апгрейдити v_zna:v_oru:v_dav
апгрейдитися v_oru
апгрейднути v_zna:v_oru:v_dav
апгрейднутися v_oru
апдейтити v_zna:v_oru:v_dav
апелювати v_zna:v_oru:v_dav
апелюватися v_oru:v_dav
аплодувати v_dav
апологетизувати v_zna
апологізувати v_zna:v_oru:v_dav
апологізуватися v_oru
апостилювати v_zna:v_oru:v_dav
апотеозувати v_zna:v_oru:v_dav
апперципувати v_zna:v_oru:v_dav
апробовувати v_zna:v_oru:v_dav
апробовуватися v_oru
апробувати v_zna:v_oru
апробуватися v_oru
апроксимувати v_zna:v_oru:v_dav
апроксимуватися v_oru
апропріювати v_zna:v_oru
апрувити v_zna:v_oru:v_dav
аранжувати v_zna
аргументувати v_zna:v_oru:v_dav
аргументуватися v_oru
аретувати v_zna:v_oru:v_dav
арештовувати v_zna:v_oru:v_dav
арештовуватися v_oru
арештувати v_zna:v_oru:v_dav
арканити v_zna:v_oru:v_dav
арканитися v_oru
армувати v_zna:v_oru:v_dav
армуватися v_oru
ароматизовувати v_zna:v_oru:v_dav
ароматизовуватися v_oru
ароматизувати v_zna:v_oru:v_dav
ароматизуватися v_oru
артикулювати v_zna:v_oru:v_dav
артикулюватися v_oru
архаїзувати v_zna:v_oru
архаїзуватися v_oru
архіважливий v_oru:v_dav
архівувати v_zna:v_oru:v_dav
архівуватися v_oru
асекурувати v_zna:v_oru:v_dav
асекуруватися v_oru
асигнувати v_zna:v_oru:v_dav
асигнуватися v_oru
асиметризувати v_zna:v_oru:v_dav
асимілювати v_zna:v_oru:v_dav
асимілюватися v_oru
асимільовувати v_zna:v_oru:v_dav
асимільовуватися v_oru
асинхронізувати v_zna:v_oru:v_dav
асистувати v_oru:v_dav
асоційовувати v_zna:v_oru:v_dav
асоційовуватися v_oru
асоціювати v_zna:v_oru:v_dav
асоціюватися v_oru
аспектувати v_zna
аспектуватися v_oru
асфальтувати v_zna:v_oru:v_dav
асфальтуватися v_oru
атакувати v_zna:v_oru:v_dav
атакуватися v_oru
атенуювати v_zna:v_oru:v_dav
атенуюватися v_oru
атестовувати v_zna
атестовуватися v_oru
атестувати v_zna
атестуватися v_oru
атомізувати v_zna:v_oru:v_dav
атомізуватися v_oru
атрибувати v_zna:v_oru:v_dav
атрибутувати v_zna:v_oru:v_dav
атрибутуватися v_oru
атрофувати v_zna:v_oru:v_dav
атрофуватися v_oru
аудирувати v_zna
аудитувати v_zna:v_oru:v_dav
аудіювати v_zna
аукнутися v_oru
аутентифікувати v_zna:v_oru:v_dav
аутентифікуватися v_oru
афектувати v_zna:v_oru:v_dav
афектуватися v_oru
афішувати v_zna:v_oru:v_dav
афішуватися v_oru:v_dav
ацетилювати v_zna:v_oru:v_dav
ацилювати v_zna:v_oru:v_dav
баблятися v_oru
бавити v_zna:v_oru:v_dav
бавитися v_oru
багатий v_oru
багатіти v_oru
багатішати v_oru
багатіший v_oru
багатшати v_oru
багатший v_oru
найбагатший v_oru
багатющий v_oru
багнити v_zna:v_oru:v_dav
багнитися v_oru
багнути v_rod:v_oru
багрити v_zna:v_oru
багріти v_oru
багровіти v_oru
бадяжити v_zna:v_oru:v_dav
бадьорити v_zna:v_oru:v_dav
бадьоритися v_oru
бажаний v_dav
бажаніший v_dav
бажання v_inf
бажано v_dav
бажати v_inf:v_rod:v_oru:v_dav
бажатися v_inf
базифікувати v_zna:v_oru:v_dav
базифікуватися v_oru
базікати v_zna:v_oru:v_dav
базікнути v_zna:v_oru:v_dav
базувати v_zna
байдужий v_dav
байдужіший v_dav
бактеризувати v_zna:v_oru:v_dav
бактеризуватися v_oru
балакати v_oru
баламутити v_zna:v_oru:v_dav
балансувати v_zna:v_oru:v_dav
балансуватися v_oru
балканізуватися v_oru
балотувати v_zna:v_oru:v_dav
балотуватися v_oru
балувати v_zna:v_oru:v_dav
балуватися v_oru
бальзамувати v_zna:v_oru:v_dav
бальзамуватися v_oru
баналізувати v_zna
банити v_zna:v_oru:v_dav
банітувати v_zna:v_oru:v_dav
банкротити v_zna:v_oru:v_dav
банкрутити v_zna:v_oru:v_dav
барабанити v_zna:v_oru:v_dav
баражувати v_oru
барботувати v_zna:v_oru:v_dav
барботуватися v_oru
барвити v_zna:v_oru
барвитися v_oru
барижити v_oru
барикадувати v_zna:v_oru:v_dav
барикадуватися v_oru
бартеризувати v_zna:v_oru:v_dav
батожити v_zna:v_oru
батувати v_zna:v_oru:v_dav
батуватися v_oru
батькувати v_zna
бахати v_oru:v_dav
бахнути v_zna:v_oru:v_dav
бацати v_zna:v_oru:v_dav
бацнути v_zna
бачити v_zna:v_oru
бачитися v_oru:v_dav
баяти v_zna:v_oru:v_dav
бгати v_zna:v_oru:v_dav
бгатися v_oru
беатифікувати v_zna:v_oru
беатифікуватися v_oru
бебевхнути v_zna
без v_rod
безсилий v_inf
безчестити v_zna:v_oru
бекнути v_zna:v_oru:v_dav
белендіти v_zna:v_oru:v_dav
белетризувати v_zna:v_oru:v_dav
белетризуватися v_oru
белькотати v_zna:v_oru:v_dav
белькотіти v_zna:v_oru:v_dav
бентежити v_zna:v_oru:v_dav
бентежитися v_oru
берегти v_zna:v_oru
берегтися v_rod
бетонувати v_zna:v_oru:v_dav
бетонуватися v_oru
бешкетувати v_oru
бештати v_zna
бздіти v_oru
бинтувати v_zna
бити v_zna:v_oru:v_dav
битися v_oru
бичувати v_zna:v_oru:v_dav
бичуватися v_oru
бібліографувати v_zna:v_oru:v_dav
бібліографуватися v_oru
бігати v_zna:v_oru
бігти v_inf:v_zna:v_oru
бідкатися v_oru:v_dav
бідний v_oru
білдити v_zna:v_oru
білити v_zna:v_oru:v_dav
білитися v_oru
біліти v_oru
білітися v_oru
білувати v_zna:v_oru:v_dav
біля v_rod
більший v_oru
більшовизувати v_zna
бісирувати v_zna:v_oru:v_dav
бісити v_zna:v_oru
благати v_inf:v_zna:v_rod:v_oru
благовістити v_zna:v_oru:v_dav
благовіститися v_dav
благоволити v_inf:v_dav
благозволити v_inf
благословенний v_oru
благословити v_zna:v_oru:v_dav
благословитися v_oru
благословляти v_zna:v_oru:v_dav
благословлятися v_oru
благоустроїти v_zna:v_oru:v_dav
благоустроювати v_zna:v_oru:v_dav
бланширувати v_zna:v_dav
бланшувати v_zna:v_oru
бланшуватися v_oru
блеяти v_oru
ближчий v_dav
найближчий v_dav
близький v_dav
близько v_rod
бликати v_oru:v_dav
бликнути v_oru:v_dav
блимати v_oru:v_dav
блимнути v_oru:v_dav
блимотіти v_oru:v_dav
блискати v_oru
блисконути v_oru
блискотати v_oru
блискотіти v_oru
блиснути v_oru
блистіти v_oru:v_dav
блищати v_oru
бліндажувати v_zna:v_oru:v_dav
блокувати v_zna:v_oru:v_dav
блокуватися v_oru
блудити v_oru
блукати v_oru
блювати v_oru
бляхувати v_zna:v_oru:v_dav
бляхуватися v_oru
бовваніти v_oru
бовкати v_oru
бовкнути v_zna:v_dav
бовтати v_zna:v_oru:v_dav
бовтнути v_zna:v_oru
боготворити v_zna
бодишеймити v_zna
бодішеймити v_zna
бодяжити v_zna:v_oru:v_dav
бодяжитися v_oru
божествити v_zna
божитися v_oru:v_dav
бойкотувати v_zna
боксувати v_zna:v_oru
боліти v_oru
боліти v_oru:v_dav
бомбанути v_zna:v_oru:v_dav
бомбардувати v_zna:v_oru:v_dav
бомбардуватися v_oru
бомбити v_zna:v_oru:v_dav
бомбонути v_zna
бомбувати v_zna:v_oru:v_dav
бомбуватися v_oru
боргувати v_zna:v_dav
бормотати v_zna
бормотіти v_zna
бороздити v_zna:v_oru
борознити v_zna:v_oru:v_dav
борознувати v_zna:v_oru:v_dav
боронити v_zna:v_oru:v_dav
боронитися v_oru
боронувати v_zna:v_oru:v_dav
бороти v_zna:v_oru
боротися v_oru
бортанути v_zna:v_oru:v_dav
боючись v_rod
боятися v_inf:v_rod
бравірувати v_oru
бравувати v_oru
бракло v_rod
бракнути v_rod
бракувати v_zna:v_rod:v_dav
брати v_zna:v_oru:v_dav
братися v_inf:v_oru
брендувати v_zna:v_oru:v_dav
бреніти v_oru:v_dav
бренькати v_zna:v_oru:v_dav
бренькнути v_oru
бренькотіти v_oru
брести v_oru
брехати v_oru:v_dav
бридити v_oru:v_dav
бридитися v_oru
бризкати v_zna:v_oru:v_dav
бризкатися v_oru
бризнути v_oru:v_dav
бризнутися v_oru
брикатися v_oru
брикетувати v_zna:v_oru:v_dav
брикетуватися v_oru
брикнути v_zna:v_oru
бриніти v_oru:v_dav
бринькати v_oru
бринькнути v_oru
бринькотіти v_oru
бриньчати v_oru
брити v_zna:v_oru:v_dav
бритися v_oru
брифінгувати v_zna
бродити v_oru
бродяжити v_oru
бронзувати v_zna:v_oru:v_dav
бронювати v_zna:v_oru:v_dav
бронюватися v_oru
брошурувати v_zna
бруднити v_zna:v_oru:v_dav
бруднитися v_oru
брукувати v_zna:v_oru:v_dav
брукуватися v_oru
брусувати v_zna:v_oru:v_dav
брусуватися v_oru
бруталізувати v_zna:v_oru
бряжчати v_oru:v_dav
брязкати v_oru:v_dav
брязкнути v_oru:v_dav
брязкотати v_oru
брязкотіти v_oru
брязнути v_oru
брязчати v_oru
брьохати v_oru
бубнити v_zna:v_dav
бубоніти v_zna:v_oru:v_dav
бувати v_oru:v_rod
бувший v_oru
будити v_zna:v_oru
будоражити v_zna:v_oru:v_dav
будоражитися v_oru
будувати v_zna:v_oru:v_dav
будуватися v_oru
будучи v_oru
букетувати v_zna:v_oru:v_dav
буксирувати v_zna:v_oru:v_dav
буксируватися v_oru
булькати v_oru
бундючитися v_oru
бунтувати v_zna:v_oru
буравити v_zna:v_oru:v_dav
буравитися v_oru
бурити v_zna:v_oru:v_dav
буритися v_oru
буркати v_zna:v_dav
буркнути v_zna:v_dav
буркотати v_zna:v_dav:v_oru
буркотіти v_zna:v_dav:v_oru
буркотнути v_zna:v_dav:v_oru
бурлакувати v_oru
бурлити v_oru
бурмотати v_zna:v_oru:v_dav
бурмотіти v_zna:v_oru:v_dav
бурчати v_zna:v_dav
бути v_oru:v_dav
буферизувати v_zna:v_oru:v_dav
буферизуватися v_oru
бухати v_oru
бухкати v_oru:v_dav
бухкотіти v_oru
бухнути v_zna:v_oru:v_dav
бухнутися v_oru
бухтіти v_oru:v_dav
буцати v_zna:v_oru:v_dav
буцатися v_oru
буцкати v_oru
буцнути v_oru
буцнутися v_oru
бушувати v_oru
буянити v_oru
буяніти v_oru
буяти v_oru
бюрократизувати v_zna:v_oru:v_dav
бюрократизуватися v_oru
в'їдати v_zna:v_oru:v_dav
в'їдатися v_oru:v_dav
в'їжджати v_oru:v_dav
в'їздити v_oru:v_dav
в'їздити v_oru:v_dav
в'їстися v_oru:v_dav
в'їхати v_oru:v_dav
в'юнитися v_oru
в'ючити v_zna:v_oru:v_dav
в'ючитися v_oru
в'язати v_zna:v_oru:v_dav
в'язатися v_oru
в'язнути v_oru
в'ялити v_zna:v_oru:v_dav
в'ялитися v_oru
в'янути v_oru
в v_zna:v_mis:v_rod
вабити v_zna:v_oru
вагатися v_inf
вагітний v_oru
вагітніти v_oru
вадити v_dav
важити v_zna:v_oru:v_dav
важитися v_inf
важкий v_oru
важко v_dav
важкодоступний v_dav
важкозрозумілий v_dav
важливий v_oru:v_dav
важливіше v_dav
найважливіше v_dav
важливіший v_oru:v_dav
важливо v_dav
важче v_dav
найважче v_dav
ваксувати v_zna
вакуолізувати v_zna
вакуумувати v_zna:v_oru:v_dav
вакуумуватися v_oru
вакцинувати v_zna:v_oru
вакцинуватися v_oru
валасатися v_oru
валити v_zna:v_oru:v_dav
валитися v_dav
валувати v_oru
валчити v_zna:v_oru
валяти v_zna:v_oru:v_dav
валятися v_oru
валькувати v_zna:v_oru:v_dav
валькуватися v_oru
вальнути v_zna:v_oru:v_dav
вальцювати v_zna:v_oru:v_dav
вальцюватися v_oru
вангувати v_zna:v_dav
вандалізувати v_zna:v_oru:v_dav
вандрувати v_oru
вантажити v_zna:v_oru:v_dav
вантажитися v_oru
вапнувати v_zna:v_oru:v_dav
вапнуватися v_oru
вараскати v_zna:v_oru:v_dav
варити v_zna:v_oru:v_dav
варитися v_oru
варіювати v_zna:v_oru:v_dav
варіюватися v_oru
варнякати v_zna:v_oru:v_dav
варт v_inf:v_dav
вартий v_rod
варто v_inf:v_dav
вартувати v_zna:v_rod:v_oru:v_dav
варувати v_zna:v_oru:v_dav
варуватися v_oru
васкуляризувати v_zna:v_oru:v_dav
васкуляризуватися v_oru
вбабахати v_zna:v_dav
вбавити v_zna
вбавляти v_zna
вбагнути v_zna:v_oru
вбалакувати v_zna:v_oru
вбачати v_zna:v_oru
вбачатися v_oru:v_dav
вбачити v_zna
вбгати v_zna
вбезпечати v_zna:v_dav
вбезпечатися v_dav
вбезпечити v_zna:v_oru:v_dav
вбезпечитися v_oru
вбезпечувати v_zna:v_oru:v_dav
вбезпечуватися v_oru
вберегти v_zna:v_oru:v_dav
вберегтися v_oru
вберігати v_zna:v_oru:v_dav
вберігатися v_oru
вбивати v_zna:v_oru:v_dav
вбиватися v_oru
вбирати v_zna:v_oru:v_dav
вбиратися v_oru
вбирач v_oru
вбити v_zna:v_oru:v_dav
вбитися v_oru
вбігти v_oru
вбілити v_zna:v_oru:v_dav
вбілитися v_oru
вбілювати v_zna:v_oru:v_dav
вбілюватися v_oru
вбіляти v_zna:v_oru:v_dav
вбілятися v_oru
вблагати v_zna
вболівати v_oru
вборонити v_zna:v_oru:v_dav
вборонитися v_oru
вбоятися v_rod
вбрати v_zna:v_oru:v_dav
вбратися v_oru
вбризкати v_zna:v_oru:v_dav
вбризкатися v_oru
вбризнути v_zna:v_oru:v_dav
вбризнутий v_oru
вбрукувати v_zna:v_oru:v_dav
вбудовувати v_zna
вбудувати v_zna:v_oru:v_dav
вбухати v_zna
вбухнути v_zna
вбухувати v_zna:v_oru:v_dav
вв'язати v_zna:v_oru:v_dav
вв'язатися v_oru
вв'язувати v_zna:v_oru:v_dav
вв'язуватися v_oru
вважати v_zna:v_oru
вважатися v_oru:v_dav
ввалити v_zna:v_oru:v_dav
ввалитися v_oru
ввалювати v_zna:v_oru:v_dav
ввалюватися v_oru
вваляти v_zna:v_oru:v_dav
вварити v_zna:v_oru
вваритися v_oru
вварювати v_zna
введений v_dav
ввезти v_zna:v_oru:v_dav
ввергати v_zna
ввергнути v_zna
ввергти v_zna
ввернути v_zna:v_oru:v_dav
вверстати v_zna:v_oru:v_dav
вверстатися v_oru
ввертати v_zna:v_oru:v_dav
ввертатися v_oru
ввертіти v_zna:v_oru:v_dav
ввести v_zna:v_oru:v_dav
ввестися v_oru:v_dav
ввижатися v_oru:v_dav
ввити v_zna
вві v_zna:v_mis:v_rod
ввібгати v_zna:v_oru:v_dav
ввібрати v_zna
ввігнати v_zna
ввігнути v_zna:v_oru:v_dav
ввійти v_oru:v_dav
ввілляти v_zna
ввільнити v_zna:v_oru:v_dav
ввільнитися v_oru
ввільняти v_zna:v_oru:v_dav
ввільнятися v_oru
ввімкнути v_zna:v_dav
ввіпхати v_zna:v_oru:v_dav
ввіпхнути v_zna:v_oru:v_dav
ввірвати v_zna:v_oru:v_dav
ввірений v_dav
ввірити v_zna:v_dav
ввіритися v_dav
ввірувати v_dav
ввірчувати v_zna:v_oru:v_dav
ввіряти v_zna:v_dav
ввірятися v_dav
ввіссати v_zna:v_oru
ввіссатися v_oru
ввіткати v_zna:v_oru:v_dav
ввіткнути v_zna:v_dav
ввічнити v_zna:v_oru
ввічнювати v_zna:v_oru
ввічнюватися v_oru
вводити v_zna:v_oru:v_dav
вводитися v_oru:v_dav
ввозити v_zna:v_oru:v_dav
ввозитися v_oru
вволити v_zna
вволокти v_zna
вволювати v_zna:v_oru:v_dav
вволяти v_zna:v_oru:v_dav
вгадати v_zna
вгадувати v_zna
вгадуватися v_oru
вгамовувати v_zna:v_oru:v_dav
вгамовуватися v_oru
вгамувати v_zna:v_oru:v_dav
вгамуватися v_oru
вганяти v_zna:v_oru:v_dav
вганятися v_oru
вгатити v_zna:v_oru:v_dav
вгахати v_zna:v_oru:v_dav
вгачувати v_zna:v_oru:v_dav
вгаювати v_zna:v_oru:v_dav
вгаяний v_zna:v_oru:v_dav
вгаяти v_zna:v_oru:v_dav
вгвинтити v_zna:v_oru:v_dav
вгвинчувати v_zna:v_oru:v_dav
вгепати v_zna:v_oru:v_dav
вгинати v_zna:v_oru:v_dav
вгледіти v_zna
вглиб v_rod
вглиблювати v_zna:v_oru:v_dav
вглибляти v_zna:v_oru:v_dav
вглядіти v_zna
вгнати v_zna:v_oru:v_dav
вгнівити v_zna:v_oru:v_dav
вгніздити v_zna:v_oru:v_dav
вгноїти v_zna
вгноювати v_zna
вгнути v_zna:v_oru:v_dav
вговкати v_zna:v_oru:v_dav
вговорити v_zna:v_oru
вговорювати v_zna:v_oru
вговоряти v_zna:v_oru
вгоджати v_oru:v_dav
вгодити v_oru:v_dav
вгодовувати v_zna:v_oru:v_dav
вгодовуватися v_oru
вгодувати v_zna:v_oru:v_dav
вгодуватися v_oru
вголити v_zna:v_oru:v_dav
вгомонити v_zna:v_oru:v_dav
вгомонитися v_oru
вгомонювати v_zna:v_oru:v_dav
вгомонюватися v_oru
вгомоняти v_zna:v_oru:v_dav
вгомонятися v_oru
вгонобити v_zna:v_oru:v_dav
вгонобляти v_zna:v_oru:v_dav
вгорі v_rod
вгорнути v_zna:v_oru:v_dav
вгорнутися v_oru
вгороджувати v_zna:v_oru:v_dav
вгороджуватися v_oru
вгородити v_zna:v_oru:v_dav
вгородитися v_oru
вгортати v_zna:v_oru:v_dav
вгортатися v_oru
вгостити v_zna:v_oru
вгоститися v_oru
вготовити v_zna:v_oru:v_dav
вготовляти v_zna:v_oru:v_dav
вготувати v_zna:v_oru:v_dav
вгощати v_zna:v_oru
вгощатися v_oru
вгощувати v_zna:v_oru
вграти v_zna
вгребти v_zna:v_oru
вгризати v_zna:v_oru
вгризатися v_oru:v_dav
вгризнути v_zna:v_oru
вгризнутися v_oru
вгризти v_zna:v_oru:v_dav
вгризтися v_oru
вгріти v_zna:v_oru:v_dav
вгрітися v_oru
вгробити v_zna:v_oru:v_dav
вгрузати v_oru
вгрузнути v_oru
вгрузти v_oru
вдавати v_zna
вдаватися v_inf:v_oru:v_dav
вдавити v_zna:v_oru:v_dav
вдавитися v_oru
вдавлювати v_zna:v_oru:v_dav
вдавлюватися v_oru
вдарити v_zna:v_oru:v_dav
вдаритися v_oru
вдарувати v_zna:v_oru:v_dav
вдаряти v_zna:v_oru:v_dav
вдарятися v_oru
вдати v_zna
вдатися v_inf:v_dav:v_oru
вдатний v_inf
вдекорувати v_zna:v_oru:v_dav
вдержати v_zna:v_oru:v_dav
вдержувати v_zna:v_oru:v_dav
вдерти v_zna:v_oru:v_dav
вдивлюватися v_oru
вдивлятися v_oru
вдиратися v_oru
вдихати v_zna:v_oru
вдихатися v_oru
вдихнути v_zna:v_rod:v_oru
вдихувати v_zna:v_oru
вдівати v_zna
вділити v_zna:v_oru:v_dav
вділитися v_oru
вділяти v_zna:v_oru:v_dav
вділятися v_oru
вдіти v_zna:v_dav
вдіяти v_zna:v_dav
вдмухати v_zna:v_oru:v_dav
вдмухнути v_zna:v_oru:v_dav
вдмухувати v_zna:v_oru:v_dav
вдобрити v_zna:v_oru:v_dav
вдобритися v_oru
вдобрювати v_zna:v_oru:v_dav
вдобрюватися v_oru
вдобряти v_zna:v_oru:v_dav
вдовбати v_zna:v_oru:v_dav
вдовбатися v_oru
вдовбувати v_zna:v_oru:v_dav
вдовж v_rod
вдовільняти v_zna:v_oru:v_dav
вдовільнятися v_oru
вдоволити v_zna:v_oru:v_dav
вдоволитися v_oru
вдоволяти v_zna:v_oru
вдоволятися v_oru
вдовольнити v_zna:v_oru:v_dav
вдовольнитися v_oru
вдовольняти v_zna:v_oru:v_dav
вдовольнятися v_oru
вдоїти v_zna
вдосконалити v_zna:v_oru:v_dav
вдосконалитися v_oru
вдосконалювати v_zna:v_oru:v_dav
вдосконалюватися v_oru
вдосталь v_rod
вдостоїти v_zna:v_oru:v_dav
вдостоїтися v_oru
вдостоювати v_zna:v_oru
вдостоюватися v_oru
вдочерити v_zna
вдочеряти v_zna
вдоювати v_zna
вдрати v_zna:v_oru:v_dav
вдруковувати v_zna
вдрукувати v_zna:v_oru:v_dav
вдрукуватися v_oru
вдряпнути v_zna:v_oru:v_dav
вдувати v_zna:v_oru
вдудлити v_zna:v_oru
вдунути v_zna:v_oru
вдути v_zna:v_oru
вдушити v_zna:v_oru:v_dav
вдушитися v_oru
вдягати v_zna:v_oru:v_dav
вдягатися v_oru
вдягнути v_zna:v_dav
вдягнутися v_oru
вдягти v_zna:v_dav
вдягтися v_oru
вдячний v_dav
везти v_zna:v_oru:v_dav
везтися v_oru
вейпити v_zna
векторизувати v_zna:v_oru:v_dav
векторизуватися v_oru
великий v_oru
величати v_zna:v_oru
величатися v_oru
веліти v_inf:v_zna:v_dav
вельмишановний v_oru
вентилювати v_zna:v_oru:v_dav
вентилюватися v_oru
вербалізовувати v_zna:v_oru:v_dav
вербалізовуватися v_oru
вербалізувати v_zna:v_oru:v_dav
вербалізуватися v_oru
вербувати v_zna:v_oru:v_dav
вербуватися v_oru
вергати v_zna:v_oru
вергатися v_oru
вергнути v_zna:v_oru
вергнутися v_oru
верескнути v_oru
вереснути v_oru
верещати v_oru
верзти v_zna
верзтися v_dav
верифікувати v_zna:v_oru:v_dav
верифікуватися v_oru
вернути v_zna:v_oru:v_dav
вернутися v_inf:v_oru
версифікувати v_zna:v_oru:v_dav
версифікуватися v_oru
верстати v_zna:v_oru:v_dav
вертати v_zna:v_oru:v_dav
вертатися v_oru:v_dav
вертикалізувати v_zna:v_oru:v_dav
вертикалізуватися v_oru
вертіти v_zna:v_oru:v_dav
вертітися v_oru
верховодити v_oru
вершити v_zna:v_oru:v_dav
вершитися v_oru
веселити v_zna:v_oru
веселитися v_oru
вестернізувати v_zna:v_oru:v_dav
вестернізуватися v_oru
вести v_zna:v_oru:v_dav
вестися v_oru:v_dav
ветувати v_zna:v_oru:v_dav
ветуватися v_oru
вечеряти v_oru
вештатися v_oru
вжалити v_zna:v_oru:v_dav
вжалитися v_oru
вжарити v_zna
