# General replacement rules, used by org.languagetool.rules.de.SimpleReplaceRule
# Format: UTF-8, one entry per line in format: <phrase>=<replacement>\t[message]
# <phrase> is what the text is searched for. <replacement> is the suggestion shown to the user.
# [message] is an optional message shown to the user (optional).
# Ensure the message (if applicable) is separated by a tab from the last suggestion.
# NOTE: Do not use for words that users might have added to their spelling dictionary,
#       as this rule would then still be triggered.
# <phrase> is searched for case-insensitively.
# Both <phrase> and <replacement> can contain more than one value when separated by '|'.
# Example:
# incorrect=suggestion one|suggestion two
El Clasico=El Clásico
Santiago Bernabeu=Santiago Bernabéu
Julian Castro=Julián Castro
Shinzo Abe=Shinzō Abe
Atletico Madrid=Atlético Madrid
Ile-de-France=Île-de-France
Ile de France=Île-de-France
Xavier Hernandez=Xavier Hernández
Eric Zemmour=Éric Zemmour
Jose Carreras=José Carreras
Lea Seydoux=Léa Seydoux
Vina del Mar=Viña del Mar
Aleksander Ceferin=Aleksander Čeferin
Equipe Tricolore=Équipe Tricolore
Eugene Delacroix=Eugène Delacroix
Edouard Manet=Édouard Manet
Michael Pena=Michael Peña
Vendee Globe=Vendée Globe
Paul Erdos=Paul Erdős
Jose Marti=José Martí
Khloe Kardashian=Khloé Kardashian
Padme Amidala=Padmé Amidala
Champs Elysees=Champs Élysées
Conde Nast=Condé Nast
Dail Eireann=Dáil Éireann
Alexander Kekule=Alexander Kekulé
Alexander Kekules=Alexander Kekulés
Desiree Nick=Désirée Nick
Desiree Nicks=Désirée Nicks
Brad Pit=Brad Pitt
Brad Pits=Brad Pitts
Valteri Bottas=Valtteri Bottas
Silvester Stallone=Sylvester Stallone
Silvester Stallones=Sylvester Stallones
Renault Scenic=Renault Scénic
Renault Grand Scenic=Renault Grand Scénic
Francois Fillon=François Fillon
Francois Hollande=François Hollande
Francois Mitterrand=François Mitterrand
Bulls Eye=Bull’s Eye
Bulls Eyes=Bull’s Eyes
Squeeze Out=Squeeze-out
Squeeze Outs=Squeeze-outs
Neu Deli=Neu-Delhi
Neu Delis=Neu-Delhis
Duty Free Shop=Duty-free-Shop
Duty Free Shops=Duty-free-Shops
Duty Free Shopping=Duty-free-Shopping
Selma Hayek=Salma Hayek
Selma Hayeks=Salma Hayeks
Micky Krause=Mickie Krause
Micky Krauses=Mickie Krauses
Micki Krause=Mickie Krause
Micki Krauses=Mickie Krauses
Micki Maus=Micky Maus
Matthias Schweighofer=Matthias Schweighöfer
Matthias Schweighofers=Matthias Schweighöfers
Vladimir Putin=Wladimir Putin
Vladimir Putins=Wladimir Putins
Berthold Brecht=Bertolt Brecht
Berthold Brechts=Bertolt Brechts
Emmanuel Kant=Immanuel Kant
Emmanuel Kants=Immanuel Kants
Emanuel Kant=Immanuel Kant
Emanuel Kants=Immanuel Kants
Porfirio Diaz=Porfirio Díaz
Wu Tang Clan=Wu-Tang Clan
Wu Tang Clans=Wu-Tang Clans
Katharina Witt=Katarina Witt
Katharina Witts=Katarina Witts
Christine Lamprecht=Christine Lambrecht
Christine Lamprechts=Christine Lambrechts
Cindy Lauper=Cyndi Lauper
Cindy Laupers=Cyndi Laupers
Lindsay Graham=Lindsey Graham
Lindsay Grahams=Lindsey Grahams
Arsene Wenger=Arsène Wenger
Arsene Wengers=Arsène Wengers
Queen Elisabeth=Queen Elizabeth
Queen Elisabeths=Queen Elizabeths
Cap Cod=Cape Cod
Cap Cods=Cape Cods
Cap Coral=Cape Coral
Cap Corals=Cape Corals
Cap Canaveral=Cape Canaveral
Cap Canaverals=Cape Canaverals
3D-Secure=3-D Secure
Rene Benko=René Benko
Rene Benkos=René Benkos
Batida de Coco=Batida de Côco
Kremlin=Kreml
Kremlins=Kremls
Uncle Cracker=Uncle Kracker
Vladimir Klitschko=Wladimir Klitschko
Vladimir Klitschkos=Wladimir Klitschkos
Sergej Schoigu=Sergei Schoigu
Sergej Schoigus=Sergei Schoigus
Zoe Kravitz=Zoë Kravitz
Thiago Alcantara=Thiago Alcântara
Ingrida Simonyte=Ingrida Šimonytė
Krisjanis Karins=Krišjānis Kariņš
Volodymyr Zelenskyy=Wolodymyr Selenskyj
Don Quixote=Don Quijote
Zuzana Caputova=Zuzana Čaputová
Janez Jansa=Janez Janša
Mevlut Cavusoglu=Mevlüt Çavuşoğlu
Real Betis Balompie=Real Betis Balompié
Primera Division=Primera División
Charlene von Monaco=Charlène von Monaco
Vladimir Klitschko=Wladimir Klitschko
Vladimir Klitschkos=Wladimir Klitschkos
Toto Wolf=Toto Wolff
Toto Wolfs=Toto Wolffs
Chloe Zhao=Chloé Zhao
Chloe Zhaos=Chloé Zhaos
Dom Perignon=Dom Pérignon
Beyonce=Beyoncé
J.P. Morgan Chase=JPMorgan Chase
JP Morgan Chase=JPMorgan Chase
JP Morgan=J.P. Morgan
Jean-Luc Melenchon=Jean-Luc Mélenchon
Antoni Gaudi=Antoni Gaudí
Antoni Gaudis=Antoni Gaudís
Jump and Run=Jump & Run
Jack and Jones=Jack & Jones
Filip Kostic=Filip Kostić
Marc-Andre ter Stegen=Marc-André ter Stegen
Karl Benz=Carl Benz
Phillips Airfryer=Philips Airfryer
Phillips Hue=Philips Hue
Phillips Senseo=Philips Senseo
Avant Garte=Avantgarde
Karine Jean Pierre=Karine Jean-Pierre
Rot Grün Schwäche=Rot-Grün-Schwäche
Fullstack Entwicklerin=Full-Stack-Entwicklerin
Fullstack Entwicklerinnen=Full-Stack-Entwicklerinnen
Fullstack Entwickler=Full-Stack-Entwickler
Fullstack Entwicklers=Full-Stack-Entwicklers
Fullstack Entwicklern=Full-Stack-Entwicklern
Jochen Schweitzer=Jochen Schweizer
Jochen Schweitzers=Jochen Schweizers
de Maiziere=de Maizière
Totes Kreuz=Rotes Kreuz
Toten Kreuz=Roten Kreuz
Toten Kreuzes=Roten Kreuzes
Sadio Mane=Sadio Mané
Jean-Pierre Leaud=Jean-Pierre Léaud
National Institut=National Institute
Privat Family Office=Private Family Office
Air Kairo=Air Cairo
IG-Metall=IG Metall
im anschloss=im Anschluss
Credit Card=Kreditkarte
PSG Eindhoven=PSV Eindhoven
Junior Suit=Junior Suite
Junior Suits=Junior Suites
Estee Lauder=Estée Lauder
Jump Suite=Jumpsuit
Jump Suites=Jumpsuits
Track Suite=Tracksuit
Track Suites=Tracksuits
Hoi An=Hội An
Hartz VI=Hartz IV
Artwort=Antwort
Artworten=Antworten
Lisandro Martinez=Lisandro Martínez
GAP-Deckelung=GAP-Deckung
Ferenc Puskas=Ferenc Puskás
Darkwin Duck=Darkwing Duck
Darkwin Ducks=Darkwing Ducks
Mickey Mouse=Micky Maus
Micky Mouse=Micky Maus
Mickey Maus=Micky Maus
Minnie Mouse=Minnie Maus
Matthis de Ligt=Matthijs de Ligt
Randinfo=Randnotiz
Randinfos=Randnotizen
Petshop Boys=Pet Shop Boys
Preis/Leistungs Verhältnis=Preis-Leistungs-Verhältnis
Preis/Leistungs Verhältnisse=Preis-Leistungs-Verhältnisse
Preis/Leistungs Verhältnisses=Preis-Leistungs-Verhältnisses
Preis/Leistungsverhältnis=Preis-Leistungs-Verhältnis
Preis/Leistungsverhältnisse=Preis-Leistungs-Verhältnisse
Preis/Leistungsverhältnisses=Preis-Leistungs-Verhältnisses
Helmut Karasek=Hellmuth Karasek
Helmut Karaseks=Hellmuth Karaseks
Terrence Hill=Terence Hill
Darwin Nunez=Darwin Núñez
JK Rowling=J. K. Rowling
JK Rowlings=J. K. Rowlings
Harald Glöckler=Harald Glööckler
Rudolf Hess=Rudolf Heß
Dusan Tadic=Dušan Tadić
Gorch Fuck=Gorch Fock
Moskau Mule=Moscow Mule
Moskau Mules=Moscow Mules
North Stream=Nord Stream
North Streams=Nord Streams
Rita Süßmuth=Rita Süssmuth	Meinten Sie die deutsche CDU-Politikerin?
Rita Süßmuths=Rita Süssmuths	Meinten Sie die deutsche CDU-Politikerin?
Anton Piech=Anton Piëch
Anton Piechs=Anton Piëchs
Ferdinand Piech=Ferdinand Piëch
Ferdinand Piechs=Ferdinand Piëchs
Chrystal Meth=Crystal Meth
Mathias Dopfner=Mathias Döpfner
Mathias Dopfners=Mathias Döpfners
Matthias Döpfner=Mathias Döpfner
Matthias Döpfners=Mathias Döpfners
Remmington Steele=Remington Steele
Remmington Steel=Remington Steele
Remington Steel=Remington Steele
Herschel Grünspan=Herschel Grynszpan
Herschel Grünspans=Herschel Grynszpans
Jojo Effekt=Jo-Jo-Effekt
Jojo Effekts=Jo-Jo-Effekts
Jojo Effektes=Jo-Jo-Effektes
Jojo Effekte=Jo-Jo-Effekte
Jojo Effekten=Jo-Jo-Effekten
Edin Terzic=Edin Terzić
Philip Plein=Philipp Plein
Philip Pleins=Philipp Pleins
Phillip Plein=Philipp Plein
Phillip Pleins=Philipp Pleins
Hernan Crespo=Hernán Crespo
Britney Griner=Brittney Griner
Inglourious Bastards=Inglourious Basterds	Der Titel dieses Films von 2009 ist absichtlich falsch geschrieben.
Inglorious Bastards=Inglourious Basterds	Der Titel dieses Films von 2009 ist absichtlich falsch geschrieben.
Inglorious Basterds=Inglourious Basterds	Der Titel dieses Films von 2009 ist absichtlich falsch geschrieben.
Björn Gulden=Bjørn Gulden
Björn Guldens=Bjørn Guldens
Chichen Itza=Chichén Itzá
Chichen Itzas=Chichén Itzás
Niklas Füllkrug=Niclas Füllkrug
Niklas Füllkrugs=Niclas Füllkrugs
Niclas Süle=Niklas Süle
Niclas Süles=Niklas Süles
Rene Casselly=René Casselly
Rene Cassellys=René Cassellys
catch all E-Mail=Catch-All-E-Mail
catch all E-Mails=Catch-All-E-Mails
catch all Postfach=Catch-All-Postfach
catch all Postfachs=Catch-All-Postfachs
catch all Mail=Catch-All-Mail
catch all Mails=Catch-All-Mails
Luka Doncic=Luka Dončić
Telefonica Deutschland=Telefónica Deutschland
Telefonica Germany=Telefónica Germany
o2 Telefonica=o2 Telefónica
Tingel Tangel Bob=Tingeltangel-Bob
Tingel Tangel Bobs=Tingeltangel-Bobs
heilige Kral=heilige Gral
heiliger Kral=heiliger Gral
heiligem Kral=heiligem Gral
heiligen Kral=heiligen Gral
heiligen Krals=heiligen Grals
Oliver Giroud=Olivier Giroud	Meinten Sie Olivier Giroud, den französischen Fußballspieler?
Oliver Girouds=Olivier Girouds	Meinten Sie Olivier Giroud, den französischen Fußballspieler?
Dynamo Zagreb=Dinamo Zagreb
Dynamo Zagrebs=Dinamo Zagrebs
Exxon Mobile=ExxonMobil
Academie des sciences=Académie des sciences
Akademie des sciences=Académie des sciences
Böse Onkelz=Böhse Onkelz
Bösen Onkelz=Böhsen Onkelz
Böhse Onkels=Böhse Onkelz
Böhsen Onkels=Böhsen Onkelz
Böse Onkels=Böhse Onkelz
Bösen Onkels=Böhsen Onkelz
Ethan Hawk=Ethan Hawke
Axel Rose=Axl Rose	Meinten Sie den Sänger der Band Guns N'Roses?
Sebastian Puffpaff=Sebastian Pufpaff
Sebastian Puffpaffs=Sebastian Pufpaffs
Absolut Wodka=Absolut Vodka
Absolut Wodkas=Absolut Vodkas
Angel Di Maria=Ángel Di María
Emiliano Martinez=Emiliano Martínez
Marcos Acuna=Marcos Acuña
Züricher Geschnetzeltes=Zürcher Geschnetzeltes
Michael Buble=Michael Bublé
Desiree Nosbusch=Désirée Nosbusch
Allianz Direkt=Allianz Direct
Andre Rieu=André Rieu
Andre Rieus=André Rieus
Roland Schill=Ronald Schill
Roland Schills=Ronald Schills
Silvester Stallone=Sylvester Stallone
Silvester Stallones=Sylvester Stallones
#Permanent Make Up=Permanent Make-up
#Permanent Make-Up=Permanent Make-up
#Permanent Make Ups=Permanent Make-ups
#Permanent Make-Ups=Permanent Make-ups
Münchner Rück=Münchener Rück
Münchner Rückversicherung=Münchener Rückversicherung
Nuri Sahin=Nuri Şahin
El Nino=El Niño
El Ninos=El Niños
Ovidio Guzman=Ovidio Guzmán
Ovidio Guzman Lopez=Ovidio Guzmán López
Palacio do Planalto=Palácio do Planalto
Bayrische Motoren Werke=Bayerische Motoren Werke
Bayrischen Motoren Werke=Bayerischen Motoren Werke
Jill Sander=Jil Sander
Jill Sanders=Jil Sanders
Bernie Maddoff=Bernie Madoff
Bernie Maddoffs=Bernie Madoffs
Etienne Davignon=Étienne Davignon
Vereinigten Amerikanischen Staaten=Vereinigten Staaten von Amerika
Enzo Fernandez=Enzo Fernández
Segunda Division=Segunda División
Joao Cancelo=João Cancelo
Ruben Dias=Rúben Dias
Joao Felix=João Félix
Piotr Zielinski=Piotr Zieliński
Unique Selling Preposition=Unique Selling Proposition
Sigur Ros=Sigur Rós
Luiz Inacio Lula=Luiz Inácio Lula
Sillicon Valley=Silicon Valley
Lipp Gloss=Lipgloss
Joan Miro=Joan Miró
Maria Dolors Miro=Maria Dolors Miró
Germanys Next Topmodel=Germany’s Next Topmodel
Credit Mutuel=Crédit Mutuel
Credit Mutuel Arkea=Crédit Mutuel Arkéa
Honore de Balzac=Honoré de Balzac
en detail=en détail
Grand Elysee=Grand Elysée
Julie Chavez Rodriguez=Julie Chávez Rodríguez
Cannstatter Vasen=Cannstatter Wasen
Touring-Test=Turing-Test
Touring-Tests=Turing-Tests
Alan Touring=Alan Turing
Karl-Theodor zu Gutenberg=Karl-Theodor zu Guttenberg
Karl Theodor zu Gutenberg=Karl-Theodor zu Guttenberg
Karl Theodor zu Guttenberg=Karl-Theodor zu Guttenberg
Karl-Theodor zu Gutenbergs=Karl-Theodor zu Guttenbergs
Karl Theodor zu Gutenbergs=Karl-Theodor zu Guttenbergs
Karl Theodor zu Guttenbergs=Karl-Theodor zu Guttenbergs
Steve Carrell=Steve Carell
B52 Bomber=B-52-Bomber
B52 Bombers=B-52-Bombers
B52 Bombern=B-52-Bombern
B52-Bomber=B-52-Bomber
B52-Bombers=B-52-Bombers
B52-Bombern=B-52-Bombern
Sao Nicolau=São Nicolau
Kemal Kilicdaroglu=Kemal Kılıçdaroğlu
Kilicdaroglu=Kılıçdaroğlu
Kilicdaroglus=Kılıçdaroğlus
Sao Tome und Principe=São Tomé und Príncipe
Sao Tome und Principes=São Tomé und Príncipes
Isabel Diaz Ayuso=Isabel Díaz Ayuso
Diaz Ayuso=Díaz Ayuso
Cesc Fabregas=Cesc Fàbregas
Andres Iniesta=Andrés Iniesta
Dassault Systemes=Dassault Systèmes
Guantanamo=Guantánamo
Guantanamo Bay=Guantánamo Bay
Westbam=WestBam
Melitta Benz=Melitta Bentz
Lech Walesa=Lech Wałęsa
Tomb Rider=Tomb Raider
Tomb Riders=Tomb Raiders
Anze Kopitar=Anže Kopitar
Dusan Vlahovic=Dušan Vlahović
Lech Kaczynski=Lech Kaczyński
FreeTV=Free-TV
Chisinau=Chișinău
Chisinaus=Chișinăus
Barnes & Nobles=Barnes & Noble
Barnes and Nobles=Barnes & Noble
DFBTeam=DFB-Team
DHBTeam=DHB-Team
MLBTeam=MLB-Team
Naby Keita=Naby Keïta
Naby Keitas=Naby Keïtas
Nikola Jokic=Nikola Jokić
Suarez=Suárez
Email-Verkehr=E-Mail-Verkehr
Email-Verkehrs=E-Mail-Verkehrs
Blut-Probe=Blutprobe
Blut-Proben=Blutproben
Europa Park Rust=Europa-Park Rust
Thich Quang Duc=Thích Quảng Đức
Quang Duc=Quảng Đức
heise-online=heise online	Meinten Sie "heise online", die Nachrichten-Website?
Daniel Kretinsky=Daniel Křetínský
Puy de Dome=Puy de Dôme
Communitiy=Community
Communitiys=Communitys
Communities=Communitys	Im Deutschen verwendet man meist die Pluralform "Communitys".
Eignungsübungengesetz=Eignungsübungsgesetz
Schwieger-Oma=Schwiegeroma
Itau BBA=Itaú BBA
Moet Hennessy Louis Vuitton=Moët Hennessy Louis Vuitton
Louis Vuitton Moet Hennessy=Louis Vuitton Moët Hennessy
Moet & Chandon=Moët & Chandon
Yevgeny Prigozhin=Jewgeni Prigoschin
Yevgeny Prigozhins=Jewgeni Prigoschins
Isabel Peron=Isabel Perón
Isabel Martinez de Peron=Isabel Martínez de Perón
Jose Lopez Rega=José López Rega
Alberto Nunez Feijoo=Alberto Núñez Feijóo
Nunez Feijoo=Núñez Feijóo
Leo Szilard=Leó Szilárd
Reisenrad=Riesenrad
Reisenrads=Riesenrads
Reisenräder=Riesenräder
Reisenrädern=Riesenrädern
Neviim=Nevi'im	Meinten Sie "Nevi'im", einen der Hauptteile des Tanach?
gestriffen=gestreift	Meinten Sie "gestreift", das Partizip des Verbs "streifen"?
Romeo Lavia=Roméo Lavia
freigeschalten=freigeschaltet	Meinten Sie "freigeschaltet", das Partizip des Verbs "freischalten"?
Gerald Darmanin=Gérald Darmanin
Hugo Ekitike=Hugo Ekitiké
Goncalo Ramos=Gonçalo Ramos
Ousmane Dembele=Ousmane Dembélé
Luka Jovic=Luka Jović
Türkisch Airline=Turkish Airlines
Türkisch Airlines=Turkish Airlines
St Germain=St. Germain
Hauck Aufhauser Lampe=Hauck Aufhäuser Lampe
F35 Kampfjet=F-35-Kampfjet
F35 Kampfjets=F-35-Kampfjets
F35-Kampfjet=F-35-Kampfjet
F35-Kampfjets=F-35-Kampfjets
Por Larranaga Montecarlos=Por Larrañaga Montecarlos
Fruit Loops=Froot Loops	Meinten Sie das Frühstücksmüsli von Kellogg's?
Sylvie van der Vaart=Sylvie Meis
Sylvie van der Vaarts=Sylvie Meis
Svetislav Pesic=Svetislav Pešić
Bogdan Bogdanovic=Bogdan Bogdanović
Stefan Jovic=Stefan Jović
Leonardo Di Caprio=Leonardo DiCaprio	Der Nachname dieses Schauspielers wird als ein Wort geschrieben.
Leonardo Di Caprios=Leonardo DiCaprios	Der Nachname dieses Schauspielers wird als ein Wort geschrieben.
Di Caprio=DiCaprio	Der Nachname dieses Schauspielers wird als ein Wort geschrieben.
Byronscher Held=Byron'scher Held
Byronschen Helden=Byron'schen Helden
Byronsche Helden=Byron'sche Helden
Verständlichkeitsfrage=Verständnisfrage
Verständlichkeitsfragen=Verständnisfragen
Emmanuel Carrere=Emmanuel Carrère
Kurs/Gewinn Verhältnis=Kurs-Gewinn-Verhältnis
Kurs/Gewinn-Verhältnis=Kurs-Gewinn-Verhältnis
Julian Nagelsman=Julian Nagelsmann
Gordon Ramsey=Gordon Ramsay
Engelbert & Strauss=Engelbert Strauss	Der Names dieser Marke wird ohne "&" geschrieben.
Bar Mitzvah=Bar Mizwa
Bar Mitzvahs=Bar Mizwas
Bar-Mitzvah=Bar Mizwa
Bar-Mitzvahs=Bar Mizwas
Bar Mitzva=Bar Mizwa
Bar Mitzvas=Bar Mizwas
Bar-Mitzva=Bar Mizwa
Bar-Mitzvas=Bar Mizwas
Bar Mitzwah=Bar Mizwa
Bar Mitzwahs=Bar Mizwas
Bar-Mitzwah=Bar Mizwa
Bar-Mitzwahs=Bar Mizwas
Bar Mitzwa=Bar Mizwa
Bar Mitzwas=Bar Mizwas
Bar-Mitzwa=Bar Mizwa
Bar-Mitzwas=Bar Mizwas
Bat Mitzvah=Bat Mizwa
Bat Mitzvahs=Bat Mizwas
Bat-Mitzvah=Bat Mizwa
Bat-Mitzvahs=Bat Mizwas
Bat Mitzva=Bat Mizwa
Bat Mitzvas=Bat Mizwas
Bat-Mitzva=Bat Mizwa
Bat-Mitzvas=Bat Mizwas
Bat Mitzwah=Bat Mizwa
Bat Mitzwahs=Bat Mizwas
Bat-Mitzwah=Bat Mizwa
Bat-Mitzwahs=Bat Mizwas
Bat Mitzwa=Bat Mizwa
Bat Mitzwas=Bat Mizwas
Bat-Mitzwa=Bat Mizwa
Bat-Mitzwas=Bat Mizwas
Anders Aslund=Anders Åslund
Königstuhl=Königsstuhl	Meinten Sie 'Königsstuhl' (Kreidefelsen auf Rügen)? Der 'Königstuhl' ist ein Berg in Heidelberg.
Königstuhls=Königsstuhl	Meinten Sie 'Königsstuhls' (Kreidefelsen auf Rügen)? Der 'Königstuhl' ist ein Berg in Heidelberg.
Mehmet Ali Agca=Mehmet Ali Ağca
Ali Agca=Ali Ağca
Yoav Gallant=Joaw Galant	Meinten Sie den Verteidigungsminister von Israel?
Yoav Gallants=Joaw Galants	Meinten Sie den Verteidigungsminister von Israel?
Aqua Planning=Aquaplaning
Aqua-Planning=Aquaplaning
Aqua Plannings=Aquaplanings
Aqua-Plannings=Aquaplanings
Lois Openda=Loïs Openda
Motivaton=Motivation
Leserhose=Lederhose
Leserhosen=Lederhosen
Gefahrdung=Gefährdung
Aitana Bonmati=Aitana Bonmatí
50 plus 1 Regelung=50+1-Regelung
50 + 1 Regelung=50+1-Regelung
50+1 Regelung=50+1-Regelung
50 plus 1 Regel=50+1-Regel
50 + 1 Regel=50+1-Regel
50+1 Regel=50+1-Regel
Subdivisions=Subdivisionen	Meinten Sie den deutschen Plural von 'Subdivision'? 'Subdivisions' ist die englische Pluralform.
Itau Unibanco=Itaú Unibanco
Ernst Hemingway=Ernest Hemingway
Ernst Hemingways=Ernest Hemingways
Ernest & Young=Ernst & Young
Stadt Land Fluss=Stadt, Land, Fluss
Alex Grimaldo=Álex Grimaldo
Alex Grimaldos=Álex Grimaldos
Joko Winterscheid=Joko Winterscheidt
Joachim Winterscheid=Joachim Winterscheidt
Joko Winterscheids=Joko Winterscheidts
Joachim Winterscheids=Joachim Winterscheidts
Sociedad Quimica=Sociedad Química
best möglichst=bestmöglich
nächst möglichst=nächstmöglich
Rafael Borre=Rafael Borré
Rafael Borres=Rafael Borrés
Hanna Montana=Hannah Montana
Sour Creme=Sour Cream
Edvard Munk=Edvard Munch
Edvard Munks=Edvard Munchs
Edward Munch=Edvard Munch
Edward Munchs=Edvard Munchs
Giro dItalia=Giro d'Italia
Mailingerstraße=Maillingerstraße	Meinten Sie die Straße in Maxvorstadt und Neuhausen (München)?
Ana Ivanovic=Ana Ivanović
Jamon Serrano=Jamón Serrano
Niki Haley=Nikki Haley
Niki Haleys=Nikki Haleys
Sancho Pansa=Sancho Panza
Nadia Calvino Santamaria=Nadia Calviño Santamaría
Nadia Calvino=Nadia Calviño
Ketschup=Ketchup	Meinten Sie 'Ketchup'? Die Schreibweise 'Ketschup' ist veraltet.
Ketschups=Ketchups	Meinten Sie 'Ketchups'? Die Schreibweise 'Ketschups' ist veraltet.
acapella=a cappella
acapela=a cappella
acappela=a cappella
acappella=a cappella
a capela=a cappella
a cappela=a cappella
Bestof=Best-of
Benoit Mandelbrot=Benoît Mandelbrot	Meinten Sie den Mathematiker?
Benoit Mandelbrots=Benoît Mandelbrots	Meinten Sie den Mathematiker?
Benoit B. Mandelbrot=Benoît B. Mandelbrot	Meinten Sie den Mathematiker?
Benoit B. Mandelbrots=Benoît B. Mandelbrots	Meinten Sie den Mathematiker?
Belen Garijo=Belén Garijo
Michael Jaffe=Michael Jaffé
Phillip Morris=Philip Morris
Katalin Kariko=Katalin Karikó
Francoise Bettencourt=Françoise Bettencourt
Francoise Bettencourt Meyers=Françoise Bettencourt Meyers
4 Schanzen Tournee=Vierschanzentournee	Meinten Sie die Ski-Weltcupveranstaltung?
Überredungsmaßname=Überredungsmaßnahme
Überredungsmaßnamen=Überredungsmaßnahmen
Qi Gong=Qigong
Stephane Sejourne=Stéphane Séjourné
Peter Altmeyer=Peter Altmaier
Peter Altmayer=Peter Altmaier
Peter Altmeier=Peter Altmaier
Robert Oppenheim=Robert Oppenheimer
Atlanta Flacons=Atlanta Falcons
Checkpoint Charly=Checkpoint Charlie
Lorenzo de Medicis=Lorenzo de’ Medici
Giorgos Papandreou=Georgios Papandreou
Bernardo Arevalo=Bernardo Arévalo
Edouard Schure=Édouard Schuré
Sim City=SimCity
SinCity=Sin City
Apple Care=AppleCare
Herb Albert=Herb Alpert
Americas Cup=America’s Cup
Americas Cups=America’s Cups
Active-Directory=Active Directory
Active-Directorys=Active Directorys
Texas Holdem=Texas Hold’em
Applestore=Apple Store
AuPair=Au-pair
AuPairs=Au-pairs
Best-Practices=Best Practices
Best-Practice=Best Practice
Cordon Blue=Cordon Bleu
Open AI=OpenAI
DeGruyter=De Gruyter
DeGruyters=De Gruyters
Scharm el Scheich=Scharm El-Scheich
Scharm el Scheichs=Scharm El-Scheichs
Time Square=Times Square
Time Squares=Times Squares
Sogo Shosha=Sōgō Shōsha
Sogo Shoshas=Sōgō Shōshas
Iga Swiatek=Iga Świątek
ex freund=Ex-Freund|Exfreund
ex freundin=Ex-Freundin|Exfreundin
Pricewaterhouse Coopers=PricewaterhouseCoopers
Price Waterhouse Coopers=PricewaterhouseCoopers
Price WaterhouseCoopers=PricewaterhouseCoopers
# Whitehouse=White House -- could be a name
Sebastien Lecornu=Sébastien Lecornu
Bader Meinhoff=Baader-Meinhof
Bader Meinhoffs=Baader-Meinhofs
Luis Montenegro=Luís Montenegro
Alfred Gislason=Alfreð Gíslason
Qarabag=Qarabağ
Qarabags=Qarabağs
Qarabag Agdam=Qarabağ Ağdam
Qarabag Agdams=Qarabağ Ağdams
Adam Hlozek=Adam Hložek
Adam Hlozeks=Adam Hložeks
fadenscheinlich=fadenscheinig
fadenscheinliche=fadenscheinige
fadenscheinlichen=fadenscheinigen
fadenscheinlicher=fadenscheiniger
fadenscheinliches=fadenscheiniges
Eifersüchtigkeit=Eifersucht
Fernanda Brandao=Fernanda Brandão
Fernanda Brandaos=Fernanda Brandãos
Tadej Pogacar=Tadej Pogačar
Tadej Pogacars=Tadej Pogačars
Sascha Baron Cohen=Sacha Baron Cohen
MaxSchmelingHalle=Max-Schmeling-Halle
