# Mapping en-US <-> en-GB. The spell checker will *not* use this file to decide
# which words are correct, but only to display a more specific error message in case
# a user writing an en-US text uses a en-GB word and vice versa.
absolutize;absolutise
alienizes;alienises
alienizing;alienising
alkalinization;alkalinisation
alkalinize;alkalinise
alkalinized;alkalinised
alkalinizes;alkalinises
alkalinizing;alkalinising
alkalize;alkalise
alkalized;alkalised
alkalizes;alkalises
alkalizing;alkalising
allatectomize;allatectomise
allatectomized;allatectomised
allatectomizes;allatectomises
allatectomizing;allatectomising
allegorize;allegorise
allegorized;allegorised
allegorizes;allegorises
allegorizing;allegorising
alphabetization;alphabetisation
alphabetizations;alphabetisations
alphabetize;alphabetise
alphabetized;alphabetised
alphabetizer;alphabetiser
alphabetizers;alphabetisers
alphabetizes;alphabetises
alphabetizing;alphabetising
aluminize;aluminise
aluminized;aluminised
aluminizes;aluminises
aluminizing;aluminising
aluminum;aluminium
amenorrhea;amenorrhoea
Americanization;Americanisation
Americanizations;Americanisations
Americanize;Americanise
Americanized;Americanised
Americanizer;Americaniser
Americanizers;Americanisers
Americanizes;Americanises
Americanizing;Americanising
amortizable;amortisable
amortization;amortisation
amortizations;amortisations
amortize;amortise
amortized;amortised
amortizes;amortises
amortizing;amortising
amphitheater;amphitheatre
amphitheaters;amphitheatres
anagrammatize;anagrammatise
anagrammatized;anagrammatised
anagrammatizes;anagrammatises
anagrammatizing;anagrammatising
analog;analogue
analogize;analogise
analogized;analogised
analogizes;analogises
analogizing;analogising
analogs;analogues
analyze;analyse
analyzed;analysed
analyzer;analyser
analyzers;analysers
#analyzes;analyses # analyses is the plural form of analysis
analyzing;analysing
anathematize;anathematise
anathematized;anathematised
anathematizes;anathematises
anathematizing;anathematising
anatomize;anatomise
anatomized;anatomised
anatomizes;anatomises
anatomizing;anatomising
androgenization;androgenisation
androgenize;androgenise
androgenized;androgenised
androgenizes;androgenises
androgenizing;androgenising
anesthesia;anaesthesia
anesthesias;anaesthesias
anesthetist;anaesthetist
anesthetists;anaesthetists
anesthetic;anaesthetic
anesthetically;anaesthetically
anesthetics;anaesthetics
anesthetization;anaesthetisation
anesthetizations;anaesthetisations
anesthetize;anaesthetise
anesthetized;anaesthetised
anesthetizes;anaesthetises
anesthetizing;anaesthetising
anglicize;anglicise
anglicized;anglicised
anglicizes;anglicises
anglicizing;anglicising
animalize;animalise
animalized;animalised
animalizes;animalises
animalizing;animalising
annuitize;annuitise
annuitized;annuitised
annuitizes;annuitises
annuitizing;annuitising
anodization;anodisation
anodize;anodise
anodized;anodised
anodizes;anodises
anodizing;anodising
anonymization;anonymisation
anonymize;anonymise
anonymized;anonymised
anonymizes;anonymises
anonymizing;anonymising
antagonize;antagonise
antagonized;antagonised
antagonizes;antagonises
antagonizing;antagonising
anthologize;anthologise
anthologized;anthologised
anthologizes;anthologises
anthologizing;anthologising
anthropomorphize;anthropomorphise
anthropomorphized;anthropomorphised
anthropomorphizes;anthropomorphises
anthropomorphizing;anthropomorphising
aphetize;aphetise
aphetized;aphetised
aphetizes;aphetises
aphetizing;aphetising
aphorize;aphorise
aphorized;aphorised
aphorizes;aphorises
aphorizing;aphorising
apologize;apologise
apologized;apologised
apologizes;apologises
apologizing;apologising
apostatize;apostatise
apostatized;apostatised
apostatizes;apostatises
apostatizing;apostatising
apostolize;apostolise
apostolized;apostolised
apostolizes;apostolises
apostolizing;apostolising
apostrophize;apostrophise
apostrophized;apostrophised
apostrophizes;apostrophises
apostrophizing;apostrophising
apotheosize;apotheosise
apotheosized;apotheosised
apotheosizes;apotheosises
apotheosizing;apotheosising
appetizer;appetiser
appetizers;appetisers
appetizing;appetising
arabicize;arabicise
arabicized;arabicised
arabicizes;arabicises
arabicizing;arabicising
arabization;arabisation
Arabize;Arabise
Arabized;Arabised
Arabizes;Arabises
Arabizing;Arabising
arborize;arborise
arborized;arborised
arborizes;arborises
arborizing;arborising
archaize;archaise
archaized;archaised
archaizes;archaises
archaizing;archaising
archeological;archaeological
archeologically;archaeologically
archeologies;archaeologies
archeology;archaeology
armor;armour
armored;armoured
armoring;armouring
armorless;armourless
armors;armours
aromatize;aromatise
aromatized;aromatised
aromatizes;aromatises
aromatizing;aromatising
ass;arse
asses;arses
asshole;arsehole
assholes;arseholes
arterialization;arterialisation
arterialize;arterialise
arterialized;arterialised
arterializes;arterialises
arterializing;arterialising
artifact;artefact
artifacts;artefacts
artificialize;artificialise
artificialized;artificialised
artificializes;artificialises
artificializing;artificialising
Aryanize;Aryanise
Aryanized;Aryanised
Aryanizes;Aryanises
Aryanizing;Aryanising
astrologize;astrologise
astrologized;astrologised
astrologizes;astrologises
astrologizing;astrologising
atomization;atomisation
atomize;atomise
atomized;atomised
atomizer;atomiser
atomizers;atomisers
atomizes;atomises
atomizing;atomising
atticize;atticise
atticized;atticised
atticizes;atticises
atticizing;atticising
attitudinize;attitudinise
attitudinized;attitudinised
attitudinizes;attitudinises
attitudinizing;attitudinising
attogram;attogramme
attograms;attogrammes
attoliter;attolitre
attoliters;attolitres
attometer;attometre
attometers;attometres
Australianize;Australianise
Australianized;Australianised
Australianizes;Australianises
Australianizing;Australianising
Austroasiatic;Austro-Asiatic
authorization;authorisation
authorizations;authorisations
authorize;authorise
authorized;authorised
authorizer;authoriser
authorizers;authorisers
authorizes;authorises
authorizing;authorising
automatize;automatise
automatized;automatised
automatizes;automatises
automatizing;automatising
automize;automise
automized;automised
automizes;automises
automizing;automising
autotomize;autotomise
autotomized;autotomised
autotomizes;autotomises
autotomizing;autotomising
autoxidizable;autoxidisable
avianize;avianise
avianized;avianised
avianizes;avianises
avianizing;avianising
ax;axe
axiomatization;axiomatisation
axiomatize;axiomatise
axiomatized;axiomatised
axiomatizes;axiomatises
axiomatizing;axiomatising
backdraft;backdraught
bacterization;bacterisation
bacterize;bacterise
bacterized;bacterised
bacterizes;bacterises
bacterizing;bacterising
Balkanization;Balkanisation
banalize;banalise
banalized;banalised
banalizes;banalises
banalizing;banalising
baptize;baptise
baptized;baptised
baptizes;baptises
baptizing;baptising
barbarize;barbarise
barbarized;barbarised
barbarizes;barbarises
barbarizing;barbarising
bastardization;bastardisation
bastardizations;bastardisations
bastardize;bastardise
bastardized;bastardised
bastardizes;bastardises
bastardizing;bastardising
battleax;battleaxe
battle-ax;battleaxe
behavior;behaviour
behavioral;behavioural
behaviorally;behaviourally
behaviors;behaviours
bestialize;bestialise
bestialized;bestialised
bestializes;bestialises
bestializing;bestialising
biosynthesize;biosynthesise
biosynthesized;biosynthesised
biosynthesizes;biosynthesises
biosynthesizing;biosynthesising
bipolarize;bipolarise
bipolarized;bipolarised
bipolarizes;bipolarises
bipolarizing;bipolarising
bituminize;bituminise
bituminized;bituminised
bituminizes;bituminises
bituminizing;bituminising
bolshevize;bolshevise
bolshevized;bolshevised
bolshevizes;bolshevises
bolshevizing;bolshevising
bookstore;bookshop
bookstores;bookshops
botanize;botanise
botanized;botanised
botanizes;botanises
botanizing;botanising
botrytized;botrytised
bowdlerization;bowdlerisation
bowdlerizations;bowdlerisations
bowdlerize;bowdlerise
bowdlerized;bowdlerised
bowdlerizer;bowdleriser
bowdlerizers;bowdlerisers
bowdlerizes;bowdlerises
bowdlerizing;bowdlerising
breathalyze;breathalyse
breathalyzed;breathalysed
breathalyzes;breathalyses
breathalyzing;breathalysing
brutalization;brutalisation
brutalize;brutalise
brutalized;brutalised
brutalizes;brutalises
brutalizing;brutalising
bureaucratize;bureaucratise
bureaucratized;bureaucratised
bureaucratizes;bureaucratises
bureaucratizing;bureaucratising
burglarize;burgle
burglarized;burgled
burglarizes;burgles
burglarizing;burgling
burned;burnt
burnettize;burnettise
burnettized;burnettised
burnettizes;burnettises
burnettizing;burnettising
caliber;calibre
calibers;calibres
calipers;callipers
calisthenics;callisthenics
calorize;calorise
calorized;calorised
calorizes;calorises
calorizing;calorising
Canadianize;Canadianise
Canadianized;Canadianised
Canadianizes;Canadianises
Canadianizing;Canadianising
canalization;canalisation
canalize;canalise
canalized;canalised
canalizes;canalises
canalizing;canalising
canceled;cancelled
canceling;cancelling
cannibalization;cannibalisation
cannibalize;cannibalise
cannibalized;cannibalised
cannibalizes;cannibalises
cannibalizing;cannibalising
canonization;canonisation
canonizations;canonisations
canonize;canonise
canonized;canonised
canonizes;canonises
canonizing;canonising
cantonize;cantonise
cantonized;cantonised
cantonizes;cantonises
cantonizing;cantonising
capitalization;capitalisation
capitalize;capitalise
capitalized;capitalised
capitalizes;capitalises
capitalizing;capitalising
caponize;caponise
caponized;caponised
caponizes;caponises
caponizing;caponising
capsulize;capsulise
capsulized;capsulised
capsulizes;capsulises
capsulizing;capsulising
caramelization;caramelisation
caramelizations;caramelisations
caramelize;caramelise
caramelized;caramelised
caramelizes;caramelises
caramelizing;caramelising
carbolize;carbolise
carbolized;carbolised
carbolizes;carbolises
carbolizing;carbolising
carbonization;carbonisation
carbonize;carbonise
carbonized;carbonised
carbonizes;carbonises
carbonizing;carbonising
carburize;carburise
carburized;carburised
carburizes;carburises
carburizing;carburising
carnalize;carnalise
carnalized;carnalised
carnalizes;carnalises
carnalizing;carnalising
cartelize;cartelise
cartelized;cartelised
cartelizes;cartelises
cartelizing;cartelising
catabolize;catabolise
catabolized;catabolised
catabolizes;catabolises
catabolizing;catabolising
catalog;catalogue
cataloged;catalogued
cataloging;cataloguing
catalogize;catalogise
catalogized;catalogised
catalogizes;catalogises
catalogizing;catalogising
catalogs;catalogues
catalyze;catalyse
catalyzed;catalysed
catalyzes;catalyses
catalyzing;catalysing
catastrophize;catastrophise
catastrophized;catastrophised
catastrophizes;catastrophises
catastrophizing;catastrophising
catechization;catechisation
catechize;catechise
catechized;catechised
catechizer;catechiser
catechizers;catechisers
catechizes;catechises
catechizing;catechising
categorization;categorisation
categorizations;categorisations
categorize;categorise
categorized;categorised
categorizes;categorises
categorizing;categorising
catheterization;catheterisation
catheterize;catheterise
catheterized;catheterised
catheterizes;catheterises
catheterizing;catheterising
Catholicization;Catholicisation
catholicize;catholicise
catholicized;catholicised
catholicizes;catholicises
catholicizing;catholicising
cauterization;cauterisation
cauterize;cauterise
cauterized;cauterised
cauterizes;cauterises
cauterizing;cauterising
center;centre
centerpiece;centrepiece
centerpieces;centrepieces
centeredness;centredness
centered;centred
centers;centres
center-right;centre-right
center-left;centre-left
centigram;centigramme
centigrams;centigrammes
centiliter;centilitre
centiliters;centilitres
centimeter;centimetre
centimeters;centimetres
centralization;centralisation
centralize;centralise
centralized;centralised
centralizer;centraliser
centralizers;centralisers
centralizes;centralises
centralizing;centralising
cesium;caesium
channeler;channeller
channelers;channellers
channeled;channelled
channeling;channelling
channelize;channelise
channelized;channelised
channelizes;channelises
channelizing;channelising
chaptalize;chaptalise
chaptalized;chaptalised
chaptalizes;chaptalises
chaptalizing;chaptalising
characterization;characterisation
characterizations;characterisations
characterize;characterise
characterized;characterised
characterizes;characterises
characterizing;characterising
check;cheque
checks;cheques
checkbook;chequebook
checkbooks;chequebooks
checkerboard;chequerboard
checkerboards;chequerboards
chemicalize;chemicalise
chemicalized;chemicalised
chemicalizes;chemicalises
chemicalizing;chemicalising
chili;chilli
chilies;chillies
chilis;chillis
Christianize;Christianise
Christianized;Christianised
Christianizer;Christianiser
Christianizers;Christianisers
Christianizes;Christianises
Christianizing;Christianising
chromize;chromise
chromized;chromised
chromizes;chromises
chromizing;chromising
chronologize;chronologise
chronologized;chronologised
chronologizes;chronologises
chronologizing;chronologising
cicatrizant;cicatrisant
cicatrize;cicatrise
cicatrized;cicatrised
cicatrizes;cicatrises
cicatrizing;cicatrising
cinchonize;cinchonise
cinchonized;cinchonised
cinchonizes;cinchonises
cinchonizing;cinchonising
circularize;circularise
circularized;circularised
circularizes;circularises
circularizing;circularising
civilianize;civilianise
civilianized;civilianised
civilianizes;civilianises
civilianizing;civilianising
civilizable;civilisable
civilization;civilisation
civilizational;civilisational
civilizations;civilisations
civilize;civilise
civilized;civilised
civilizer;civiliser
civilizers;civilisers
civilizes;civilises
civilizing;civilising
classicize;classicise
classicized;classicised
classicizes;classicises
classicizing;classicising
cocainization;cocainisation
cocainize;cocainise
cocainized;cocainised
cocainizes;cocainises
cocainizing;cocainising
cognizable;cognisable
cognizably;cognisably
cognizance;cognisance
cognizant;cognisant
cognize;cognise
cognized;cognised
cognizes;cognises
cognizing;cognising
collateralize;collateralise
collateralized;collateralised
collateralizes;collateralises
collateralizing;collateralising
collectivization;collectivisation
collectivize;collectivise
collectivized;collectivised
collectivizes;collectivises
collectivizing;collectivising
colloquize;colloquise
colloquized;colloquised
colloquizes;colloquises
colloquizing;colloquising
colonialize;colonialise
colonialized;colonialised
colonializes;colonialises
colonializing;colonialising
colonization;colonisation
colonizationist;colonisationist
colonizationists;colonisationists
colonize;colonise
colonized;colonised
colonizer;coloniser
colonizers;colonisers
colonizes;colonises
colonizing;colonising
color;colour
colorant;colourant
colorable;colourable
colorants;colourants
coloration;colouration
color-blind;colour-blind
colored;coloured
coloreds;coloureds
colorful;colourful
colorfully;colourfully
colorfulness;colourfulness
colorism;colourism
colorization;colourization
colorize;colourize
colorized;colourized
colorizes;colourizes
colorizing;colourizing
colors;colours
colorway;colourway
colorways;colourways
colorless;colourless
commentor;commenter
commentors;commenters
commercialization;commercialisation
commercialize;commercialise
commercialized;commercialised
commercializes;commercialises
commercializing;commercialising
commoditization;commoditisation
commoditize;commoditise
commoditized;commoditised
commoditizes;commoditises
commoditizing;commoditising
communalize;communalise
communalized;communalised
communalizes;communalises
communalizing;communalising
communize;communise
communized;communised
communizes;communises
communizing;communising
compartmentalization;compartmentalisation
compartmentalize;compartmentalise
compartmentalized;compartmentalised
compartmentalizes;compartmentalises
compartmentalizing;compartmentalising
componentization;componentisation
computerizable;computerisable
computerization;computerisation
computerize;computerise
computerized;computerised
computerizes;computerises
computerizing;computerising
conceptualization;conceptualisation
conceptualizations;conceptualisations
conceptualize;conceptualise
conceptualized;conceptualised
conceptualizer;conceptualiser
conceptualizers;conceptualisers
conceptualizes;conceptualises
concertize;concertise
concertized;concertised
concertizes;concertises
concertizing;concertising
concretization;concretisation
concretize;concretise
concretized;concretised
concretizes;concretises
concretizing;concretising
conscientize;conscientise
conscientized;conscientised
conscientizes;conscientises
conscientizing;conscientising
conservatize;conservatise
conservatized;conservatised
conservatizes;conservatises
conservatizing;conservatising
constitutionalize;constitutionalise
constitutionalized;constitutionalised
constitutionalizes;constitutionalises
constitutionalizing;constitutionalising
containerization;containerisation
containerize;containerise
containerized;containerised
containerizes;containerises
containerizing;containerising
contemporize;contemporise
contemporized;contemporised
contemporizes;contemporises
contemporizing;contemporising
contextualization;contextualisation
contextualize;contextualise
contextualized;contextualised
contextualizes;contextualises
contextualizing;contextualising
conventionalize;conventionalise
conventionalized;conventionalised
conventionalizes;conventionalises
conventionalizing;conventionalising
conveyorization;conveyorisation
conveyorize;conveyorise
conveyorized;conveyorised
conveyorizes;conveyorises
conveyorizing;conveyorising
copolymerization;copolymerisation
copolymerizations;copolymerisations
copolymerize;copolymerise
copolymerized;copolymerised
copolymerizes;copolymerises
copolymerizing;copolymerising
corporatize;corporatise
corporatized;corporatised
corporatizes;corporatises
corporatizing;corporatising
corporealize;corporealise
corporealized;corporealised
corporealizes;corporealises
corporealizing;corporealising
cosmeticize;cosmeticise
cosmeticized;cosmeticised
cosmeticizes;cosmeticises
cosmeticizing;cosmeticising
councilor;councillor
councilors;councillors
councilorship;councillorship
councilorships;councillorships
counselor;counsellor
counselors;counsellors
cozier;cosier
cozies;cosies
coziest;cosiest
coziness;cosiness
cozy;cosy
creolize;creolise
creolized;creolised
creolizes;creolises
creolizing;creolising
cretinize;cretinise
cretinized;cretinised
cretinizes;cretinises
cretinizing;cretinising
criminalization;criminalisation
criminalize;criminalise
criminalized;criminalised
criminalizes;criminalises
criminalizing;criminalising
criticizable;criticisable
criticize;criticise
criticized;criticised
criticizes;criticises
criticizing;criticising
crystallizable;crystallisable
crystallization;crystallisation
crystallize;crystallise
crystallized;crystallised
crystallizes;crystallises
crystallizing;crystallising
curarize;curarise
curarized;curarised
curarizes;curarises
curarizing;curarising
curb;kerb
curbs;kerbs
customizable;customisable
customization;customisation
customizations;customisations
customize;customise
customized;customised
customizes;customises
customizing;customising
cyanize;cyanise
cyanized;cyanised
cyanizes;cyanises
cyanizing;cyanising
bright-colored;bright-coloured
dark-colored;dark-coloured
deaminize;deaminise
deaminized;deaminised
deaminizes;deaminises
deaminizing;deaminising
deboard;disembark
deboards;disembarks
deboarded;disembarked
deboarding;disembarking
decapitalize;decapitalise
decapitalized;decapitalised
decapitalizes;decapitalises
decapitalizing;decapitalising
decarbonization;decarbonisation
decarbonize;decarbonise
decarbonized;decarbonised
decarbonizes;decarbonises
decarbonizing;decarbonising
decarburize;decarburise
decarburized;decarburised
decarburizes;decarburises
decarburizing;decarburising
decartelize;decartelise
decartelized;decartelised
decartelizes;decartelises
decartelizing;decartelising
decasualize;decasualise
decasualized;decasualised
decasualizes;decasualises
decasualizing;decasualising
decentralization;decentralisation
decentralize;decentralise
decentralized;decentralised
decentralizes;decentralises
decentralizing;decentralising
dechristianize;dechristianise
dechristianized;dechristianised
dechristianizes;dechristianises
dechristianizing;dechristianising
decigram;decigramme
decigrams;decigrammes
deciliter;decilitre
deciliters;decilitres
decimalization;decimalisation
decimeter;decimetre
decimeters;decimetres
decolonization;decolonisation
decolonize;decolonise
decolonized;decolonised
decolonizes;decolonises
decolonizing;decolonising
decolorize;decolorise
decolorized;decolorised
decolorizes;decolorises
decolorizing;decolorising
decontextualize;decontextualise
decontextualized;decontextualised
decontextualizes;decontextualises
decontextualizing;decontextualising
decriminalization;decriminalisation
decriminalize;decriminalise
decriminalized;decriminalised
decriminalizes;decriminalises
decriminalizing;decriminalising
de-emphasize;de-emphasise
de-emphasized;de-emphasised
de-emphasizes;de-emphasises
de-emphasizing;de-emphasising
de-energize;de-energise
de-energized;de-energised
de-energizes;de-energises
de-energizing;de-energising
defamiliarize;defamiliarise
defamiliarized;defamiliarised
defamiliarizes;defamiliarises
defamiliarizing;defamiliarising
defeminization;defeminisation
defense;defence
defenses;defences
defenseless;defenceless
definitize;definitise
definitized;definitised
definitizes;definitises
definitizing;definitising
deformalize;deformalise
deformalized;deformalised
deformalizes;deformalises
deformalizing;deformalising
defueled;defuelled
defueling;defuelling
defuelings;defuellings
deglamorize;deglamorise
deglamorized;deglamorised
deglamorizes;deglamorises
deglamorizing;deglamorising
dehumanization;dehumanisation
dehumanize;dehumanise
dehumanized;dehumanised
dehumanizes;dehumanises
dehumanizing;dehumanising
dehypnotize;dehypnotise
dehypnotized;dehypnotised
dehypnotizes;dehypnotises
dehypnotizing;dehypnotising
deindustrialize;deindustrialise
deindustrialized;deindustrialised
deindustrializes;deindustrialises
deindustrializing;deindustrialising
deinstitutionalize;deinstitutionalise
deinstitutionalized;deinstitutionalised
deinstitutionalizes;deinstitutionalises
deinstitutionalizing;deinstitutionalising
deionization;deionisation
deionize;deionise
deionized;deionised
deionizer;deioniser
deionizers;deionisers
deionizes;deionises
deionizing;deionising
dekaampere;decaampere
dekaamperes;decaamperes
dekabecquerel;decabecquerel
dekabecquerels;decabecquerels
dekacandela;decacandela
dekacandelas;decacandelas
dekacoulomb;decacoulomb
dekacoulombs;decacoulombs
dekafarad;decafarad
dekafarads;decafarads
dekagram;decagram
dekagrams;decagrams
dekagray;decagray
dekagrays;decagrays
dekahenries;decahenries
dekahenry;decahenry
dekahertz;decahertz
dekajoule;decajoule
dekajoules;decajoules
dekakatal;decakatal
dekakatals;decakatals
dekakelvin;decakelvin
dekakelvins;decakelvins
dekaliter;decalitre
dekaliters;decalitres
dekalumen;decalumen
dekalumens;decalumens
dekalux;decalux
dekameter;decametre
dekameters;decametres
dekamole;decamole
dekamoles;decamoles
dekanewton;decanewton
dekanewtons;decanewtons
dekaohm;decaohm
dekaohms;decaohms
dekapascal;decapascal
dekapascals;decapascals
dekaradian;decaradian
dekaradians;decaradians
dekasiemens;decasiemens
dekasievert;decasievert
dekasieverts;decasieverts
dekasteradian;decasteradian
dekasteradians;decasteradians
dekatesla;decatesla
dekateslas;decateslas
dekavolt;decavolt
dekavolts;decavolts
dekawatt;decawatt
dekawatts;decawatts
dekaweber;decaweber
dekawebers;decawebers
delegitimization;delegitimisation
delegitimize;delegitimise
delegitimized;delegitimised
delegitimizes;delegitimises
delegitimizing;delegitimising
delocalization;delocalisation
delocalize;delocalise
delocalized;delocalised
delocalizes;delocalises
delocalizing;delocalising
demagnetizable;demagnetisable
demagnetization;demagnetisation
demagnetize;demagnetise
demagnetized;demagnetised
demagnetizer;demagnetiser
demagnetizers;demagnetisers
demagnetizes;demagnetises
demagnetizing;demagnetising
dematerialization;dematerialisation
dematerialize;dematerialise
dematerialized;dematerialised
dematerializes;dematerialises
dematerializing;dematerialising
demilitarization;demilitarisation
demilitarize;demilitarise
demilitarized;demilitarised
demilitarizes;demilitarises
demilitarizing;demilitarising
demineralization;demineralisation
demineralize;demineralise
demineralized;demineralised
demineralizer;demineraliser
demineralizers;demineralisers
demineralizes;demineralises
demineralizing;demineralising
demobilization;demobilisation
demobilize;demobilise
demobilized;demobilised
demobilizes;demobilises
demobilizing;demobilising
democratization;democratisation
democratize;democratise
democratized;democratised
democratizes;democratises
democratizing;democratising
demonetization;demonetisation
demonetize;demonetise
demonetized;demonetised
demonetizes;demonetises
demonetizing;demonetising
demonize;demonise
demonized;demonised
demonizes;demonises
demonizing;demonising
demoralization;demoralisation
demoralize;demoralise
demoralized;demoralised
demoralizes;demoralises
demoralizing;demoralising
demythologize;demythologise
demythologized;demythologised
demythologizes;demythologises
demythologizing;demythologising
denationalization;denationalisation
denationalize;denationalise
denationalized;denationalised
denationalizes;denationalises
denationalizing;denationalising
denaturalize;denaturalise
denaturalized;denaturalised
denaturalizes;denaturalises
denaturalizing;denaturalising
denaturize;denaturise
denaturized;denaturised
denaturizes;denaturises
denaturizing;denaturising
denormalization;denormalisation
denormalize;denormalise
denormalized;denormalised
denormalizes;denormalises
denormalizing;denormalising
dentalize;dentalise
dentalized;dentalised
dentalizes;dentalises
dentalizing;dentalising
denuclearize;denuclearise
denuclearized;denuclearised
denuclearizes;denuclearises
denuclearizing;denuclearising
deodorization;deodorisation
deodorize;deodorise
deodorized;deodorised
deodorizer;deodoriser
deodorizers;deodorisers
deodorizes;deodorises
deodorizing;deodorising
deoxidize;deoxidise
deoxidized;deoxidised
deoxidizer;deoxidiser
deoxidizers;deoxidisers
deoxidizes;deoxidises
deoxidizing;deoxidising
departmentalization;departmentalisation
departmentalize;departmentalise
departmentalized;departmentalised
departmentalizes;departmentalises
departmentalizing;departmentalising
depauperize;depauperise
depauperized;depauperised
depauperizes;depauperises
depauperizing;depauperising
depersonalization;depersonalisation
depersonalize;depersonalise
depersonalized;depersonalised
depersonalizes;depersonalises
depersonalizing;depersonalising
depolarization;depolarisation
depolarize;depolarise
depolarized;depolarised
depolarizes;depolarises
depolarizing;depolarising
depoliticization;depoliticisation
depoliticize;depoliticise
depoliticized;depoliticised
depoliticizes;depoliticises
depoliticizing;depoliticising
depolymerization;depolymerisation
depolymerize;depolymerise
depolymerized;depolymerised
depolymerizes;depolymerises
depolymerizing;depolymerising
depressurization;depressurisation
depressurize;depressurise
depressurized;depressurised
depressurizes;depressurises
depressurizing;depressurising
deproteinize;deproteinise
deproteinized;deproteinised
deproteinizes;deproteinises
deproteinizing;deproteinising
deputization;deputisation
deputizations;deputisations
deputize;deputise
deputized;deputised
deputizes;deputises
deputizing;deputising
deracialize;deracialise
deracialized;deracialised
deracializes;deracialises
deracializing;deracialising
derivatize;derivatise
derivatized;derivatised
derivatizes;derivatises
derivatizing;derivatising
desacralize;desacralise
desacralized;desacralised
desacralizes;desacralises
desacralizing;desacralising
desalinization;desalinisation
desensitization;desensitisation
desensitize;desensitise
desensitized;desensitised
desensitizer;desensitiser
desensitizers;desensitisers
desensitizes;desensitises
desensitizing;desensitising
desexualize;desexualise
desexualized;desexualised
desexualizes;desexualises
desexualizing;desexualising
despiritualize;despiritualise
despiritualized;despiritualised
despiritualizes;despiritualises
despiritualizing;despiritualising
destabilization;destabilisation
destabilize;destabilise
destabilized;destabilised
destabilizes;destabilises
destabilizing;destabilising
destigmatize;destigmatise
destigmatized;destigmatised
destigmatizes;destigmatises
destigmatizing;destigmatising
desynchronization;desynchronisation
desynchronize;desynchronise
desynchronized;desynchronised
desynchronizes;desynchronises
desynchronizing;desynchronising
detribalization;detribalisation
detribalize;detribalise
detribalized;detribalised
detribalizes;detribalises
detribalizing;detribalising
devalorization;devalorisation
devitalize;devitalise
devitalized;devitalised
devitalizes;devitalises
devitalizing;devitalising
devocalize;devocalise
devocalized;devocalised
devocalizes;devocalises
devocalizing;devocalising
diabolize;diabolise
diabolized;diabolised
diabolizes;diabolises
diabolizing;diabolising
diagonalizable;diagonalisable
diagonalization;diagonalisation
dialer;dialler
dialers;diallers
dialing;dialling
dialed;dialled
dialog;dialogue
dialogize;dialogise
dialogized;dialogised
dialogizes;dialogises
dialogizing;dialogising
dialogs;dialogues
dialyzable;dialysable
dialyze;dialyse
dialyzed;dialysed
dialyzes;dialyses
dialyzing;dialysing
diarize;diarise
diarized;diarised
diarizes;diarises
diarizing;diarising
diarrhea;diarrhoea
diarrheal;diarrhoeal
diazotization;diazotisation
diazotize;diazotise
diazotized;diazotised
diazotizes;diazotises
diazotizing;diazotising
dichotomize;dichotomise
dichotomized;dichotomised
dichotomizes;dichotomises
dichotomizing;dichotomising
dieselize;dieselise
dieselized;dieselised
dieselizes;dieselises
dieselizing;dieselising
digitalization;digitalisation
digitalize;digitalise
digitalized;digitalised
digitalizes;digitalises
