yon	yon	DT
animalised	animalise	VBN
animalised	animalise	VBD
animalises	animalise	VBZ
animalising	animalise	VBG
antagoniser	antagoniser	NN
antagonisers	antagoniser	NNS
antagonizer	antagonizer	NN
antagonizers	antagonizer	NNS
anthologise	anthologise	VBP
anthologise	anthologise	VB
anthologised	anthologise	VBN
anthologised	anthologise	VBD
anthologises	anthologise	VBZ
anthologising	anthologise	VBG
anti-abortion	anti-abortion	JJ
anti-nuclear	anti-nuclear	JJ
anti-racist	anti-racist	JJ
antihistorical	antihistorical	JJ
apostrophise	apostrophise	VBP
apostrophise	apostrophise	VB
apostrophised	apostrophise	VBN
apostrophised	apostrophise	VBD
apostrophises	apostrophise	VBZ
apostrophising	apostrophise	VBG
archaicness	archaicness	NN:UN
archaise	archaise	VBP
archaise	archaise	VB
archaised	archaise	VBN
archaised	archaise	VBD
archaisers	archaiser	NNS
archaises	archaise	VBZ
archaising	archaise	VBG
archfool	archfool	NN
arch-enemy	arch-enemy	NN
arclike	arclike	JJ
arithmetise	arithmetise	VBP
arithmetise	arithmetise	VB
arithmetised	arithmetise	VBN
arithmetised	arithmetise	VBD
arithmetises	arithmetise	VBZ
arithmetising	arithmetise	VBG
arithmetize	arithmetize	VBP
arithmetize	arithmetize	VB
arithmetized	arithmetize	VBN
arithmetized	arithmetize	VBD
arithmetizes	arithmetize	VBZ
arithmetizing	arithmetize	VBG
armatured	armatured	JJ
armatured	armature	VBN
armatured	armature	VBD
armaturing	armaturing	NN
armaturing	armaturing	JJ
armaturing	armature	VBG
aspirationally	aspirationally	RB
assaultively	assaultively	RB
assertionally	assertionally	RB
associationally	associationally	RB
atemporal	atemporal	JJ
atomise	atomise	VBP
atomise	atomise	VB
atomised	atomise	VBN
atomised	atomise	VBD
atomises	atomise	VBZ
atomising	atomise	VBG
attitudinally	attitudinally	RB
attributional	attributional	JJ
attributionally	attributionally	RB
avocationally	avocationally	RB
awe-inspiringly	awe-inspiringly	RB
bacilluses	bacillus	NNS
balkanise	balkanise	VBP
balkanise	balkanise	VB
balkanised	balkanise	VBN
balkanised	balkanise	VBD
balkanises	balkanise	VBZ
balkanising	balkanise	VBG
barbedwire	barbedwire	NN:UN
bare-foot	bare-foot	JJ
bare-foot	bare-foot	RB
bare-footed	bare-footed	JJ
bare-footed	bare-footed	RB
barbedwires	barbedwire	NNS
behaviourally	behaviourally	RB
biblical	biblical	JJ
biblically	biblically	RB
bidiagonal	bidiagonal	JJ
bijective	bijective	JJ
biharmonic	biharmonic	JJ
bijectively	bijectively	RB
canonicalise	canonicalise	VBP
canonicalise	canonicalise	VB
canonicalised	canonicalise	VBN
canonicalised	canonicalise	VBD
canonicalises	canonicalise	VBZ
canonicalising	canonicalise	VBG
canonicalize	canonicalize	VBP
canonicalize	canonicalize	VB
canonicalized	canonicalize	VBN
canonicalized	canonicalize	VBD
canonicalizes	canonicalize	VBZ
canonicalizing	canonicalize	VBG
canonise	canonise	VBP
canonise	canonise	VB
canonised	canonise	VBN
canonised	canonise	VBD
canonises	canonise	VBZ
canonising	canonise	VBG
car-sick	car-sick	JJ
car-sickness	car-sickness	NN:UN
consommé	consommé	NN:U
consommés	consommé	NNS
criminalise	criminalise	VBP
criminalise	criminalise	VB
criminalised	criminalise	VBN
criminalised	criminalise	VBD
criminalises	criminalise	VBZ
criminalising	criminalise	VBG
cryptological	cryptological	JJ
diem	diem	FW
vitro	vitro	FW
dysfunctionally	dysfunctionally	RB
dyslexically	dyslexically	RB
démodé	démodé	JJ
e-mail	e-mail	NN
e-mail	e-mail	JJ
e-mail	e-mail	VB
e-mail	e-mail	VBP
e-mailed	e-mailed	JJ
e-mailed	e-mail	VBN
e-mailed	e-mail	VBD
e-mailing	e-mailing	NN
e-mailing	e-mail	VBG
e-mails	e-mail	VBZ
e-mails	e-mail	NNS
eighteenfold	eighteenfold	RB
eighteenfold	eighteenfold	JJ
eighty-eightfold	eighty-eightfold	RB
eighty-eightfold	eighty-eightfold	JJ
eightyfold	eightyfold	RB
eightyfold	eightyfold	JJ
ex-wife	ex-wife	NN
ex-wives	ex-wife	NNS
ex-partners	ex-partner	NNS
ex-students	ex-student	NNS
ex-communists	ex-communist	NN
exeunt	exeunt	FW
fifty-threefold	fifty-threefold	RB
fifty-threefold	fifty-threefold	JJ
fifty-twofold	fifty-twofold	RB
fifty-twofold	fifty-twofold	JJ
fiftyfold	fiftyfold	RB
fiftyfold	fiftyfold	JJ
fifteenfold	fifteenfold	RB
fifteenfold	fifteenfold	JJ
fortiori	fortiori	FW
forty-five	forty-five	CD
head-hunter	head-hunter	NN
head-hunters	head-hunter	NNS
italicise	italicise	VBP
italicise	italicise	VB
italicised	italicise	VBN
italicised	italicise	VBD
italicises	italicise	VBZ
italicising	italicise	VBG
jalapeño	jalapeño	NN
jalapeños	jalapeño	NNS
jet-lag	jet-lag	NN:UN
must-have	must-have	JJ
naturalise	naturalise	VBP
naturalise	naturalise	VB
naturalised	naturalise	VBN
naturalised	naturalise	VBD
naturalises	naturalise	VBZ
naturalising	naturalise	VBG
non-cancerous	non-cancerous	JJ
non-chargeable	non-chargeable	JJ
non-clerical	non-clerical	JJ
non-clericals	non-clerical	NNS
non-clinical	non-clinical	JJ
non-committal	non-committal	JJ
non-committally	non-committally	RB
non-communicable	non-communicable	JJ
non-competing	non-competing	JJ
non-democratic	non-democratic	JJ
non-deterministic	non-deterministic	JJ
non-deterministically	non-deterministically	RB
non-durable	non-durable	JJ
non-economic	non-economic	JJ
non-educational	non-educational	JJ
non-educationally	non-educationally	RB
non-military	non-military	JJ
non-moral	non-moral	JJ
over-anxious	over-anxious	JJ
pan-European	pan-European	JJ
post-natal	post-natal	JJ
post-nuptial	post-nuptial	JJ
post-structuralism	post-structuralism	NN:UN
post-impressionism	post-impressionism	NN:UN
post-impressionistic	post-impressionistic	JJ
post-feminism	post-feminism	NN:UN
rain-maker	rain-maker	NN
rain-makers	rain-makers	NN
tender-heartedness	tender-heartedness	NN:UN
tenderise	tenderise	VBP
tenderise	tenderise	VB
tenderised	tenderise	VBN
tenderised	tenderise	VBD
tenderises	tenderise	VBZ
tenderising	tenderise	VBG
tensionally	tensionally	RB
tell-tale	tell-tale	NN
tell-tale	tell-tale	JJ
tell-tales	tell-tale	NNS
third-class	third-class	JJ
third-party	third-party	JJ
thirteenfold	thirteenfold	RB
thirteenfold	thirteenfold	JJ
thirty-onefold	thirty-onefold	RB
thirty-onefold	thirty-onefold	JJ
thirty-eightfold	thirty-eightfold	RB
thirty-eightfold	thirty-eightfold	JJ
thirty-fivefold	thirty-fivefold	RB
thirty-fivefold	thirty-fivefold	JJ
thirty-fourfold	thirty-fourfold	RB
thirty-fourfold	thirty-fourfold	JJ
thirty-ninefold	thirty-ninefold	RB
thirty-ninefold	thirty-ninefold	JJ
thirty-sixfold	thirty-sixfold	RB
thirty-sixfold	thirty-sixfold	JJ
thirty-sevenfold	thirty-sevenfold	RB
thirty-sevenfold	thirty-sevenfold	JJ
thirty-threefold	thirty-threefold	RB
thirty-threefold	thirty-threefold	JJ
thirty-twofold	thirty-twofold	RB
thirty-twofold	thirty-twofold	JJ
thirtyfold	thirtyfold	RB
thirtyfold	thirtyfold	JJ
thirty-five	thirty-five	CD
thirty-sixth	thirty-sixth	JJ
tranquillise	tranquillise	VBP
tranquillise	tranquillise	VB
tranquillised	tranquillise	VBN
tranquillised	tranquillise	VBD
tranquillises	tranquillise	VBZ
tranquillising	tranquillise	VBG
traumatise	traumatise	VBP
traumatise	traumatise	VB
traumatised	traumatise	VBN
traumatised	traumatise	VBD
traumatises	traumatise	VBZ
traumatising	traumatise	VBG
trivialise	trivialise	VBP
trivialise	trivialise	VB
trivialised	trivialise	VBN
trivialised	trivialise	VBD
trivialises	trivialise	VBZ
trivialising	trivialise	VBG
twice-married	twice-married	JJ
vulgarise	vulgarise	VBP
vulgarise	vulgarise	VB
vulgarised	vulgarise	VBN
vulgarised	vulgarise	VBD
vulgarises	vulgarise	VBZ
vulgarising	vulgarise	VBG
warm-heartedly	warm-heartedly	RB
warm-heartedness	warm-heartedness	NN:UN
waste-basket	waste-basket	NN
week-long	week-long	JJ
well-structured	well-structured	JJ
whistle-blower	whistle-blower	NN
whistle-blowers	whistle-blower	NNS
wholegrain	wholegrain	JJ
wish-list	wish-list	NN
womanise	womanise	VBP
womanise	womanise	VB
womanised	womanise	VBN
womanised	womanise	VBD
womanises	womanise	VBZ
womanising	womanise	VBG
world-famous	world-famous	JJ
writeable	writeable	JJ
wrong-foot	wrong-foot	VB
wrong-foot	wrong-foot	JJ
wrong-footed	wrong-footed	JJ
yobbism	yobbism	NN:UN
earnest	earnest	JJ
data	data	NN:UN
dang	dang	UH
Blvd	boulevard	NNP
broke	broke	JJ
Fiat	Fiat	NNP
alternate	alternate	JJ
separate	separate	JJ
elaborate	elaborate	JJ
series	series	NNS
series	series	NN
crossroads	crossroads	NNS
crossroads	crossroads	NN
vis-a-vis	vis-a-vis	IN
nothings	nothings	NNS
black-eyed	black-eyed	JJ
semi-serious	semi-serious	JJ
levis	levis	NNS
winding-clothes	winding-clothes	NNS
Papa	Papa	NNP
Mom	Mom	NNP
Grandma	Grandma	NNP
cattle	cattle	NNS
federal	federal	JJ
don	do	VBP
independent	independent	JJ
all	all	JJ
mat	mat	JJ
matt	matt	JJ
Cisco	Cisco	NNP
overall	overall	JJ
antisemitic	antisemitic	JJ
Speer	Speer	NNP
several	several	JJ
various	various	JJ
s	s	POS
,	,	,
#	#	#
$	$	$
.	.	.
:	:	:
;	;	:
"	"	``
"	"	''
five-year-old	five-year-old	JJ
rattle-like	rattle-like	JJ
HTTP	HTTP	NNP
superior	superior	JJ
mid-to-late	mid-to-late	JJ
one-third	one-third	NN:UN
international	international	JJ
unrealised	unrealised	JJ
unrealized	unrealized	JJ
unreceived	unreceived	JJ
unrecognised	unrecognised	JJ
unshelled	unshelled	JJ
unsold	unsold	JJ
unspanned	unspanned	JJ
surrealistic	surrealistic	JJ
tokenize	tokenize	VB
tokenize	tokenize	VBP
tokenized	tokenize	VBD
tokenized	tokenize	VBN
tokenizes	tokenize	VBZ
national	national	JJ
up	up	VB
up	up	VBP
upped	up	VBD
upped	up	VBN
upping	up	VBG
ups	up	VBZ
tokenizing	tokenize	VBG
unsubsidised	unsubsidised	JJ
vice-president	vice-president	NN
vice-presidents	vice-president	NNS
vice-Chancellor	vice-Chancellor	NN
vice-Chancellors	vice-Chancellor	NNS
vice-Chancellorship	vice-Chancellorship	NN
vice-Chancellorships	vice-Chancellorship	NNS
water-bed	water-bed	NN
