# List of intransitive verbs with wrong preposition to be corrected into another preposition
# الأفعال المتعدية بحرف، الخاطئة في حرف التعدية، واستبداله بحرف آخر
# like تردّد على  =>تردد إلى
# verbs must be written with tashkeel
# نضع هنا الأفعال التي تكتب متعدية بحرف والصحيح أن تكون متعدية بحرف آخر
# نكتبها بالشكل:
#تَرَدَّدَ على=إلى
# الجزء الأول هو الفعل بصيغته المشكولة مع حرف التعدية، تحقق من تشكيل الأصل في قاموس البرنامج، استعمل في الواجهة ctl+t كي ترى توسيم الكلمات وأصولها
# في حالة تعدد حرف التعدية، يضاف مدخل آخر
# الجزء الثاني علامة المساواة
#الجزء الثالث: حرف التعدي الصحيح، يمكن تعدد الحروف، والفصل بينها بالعمود
#الجزء الرابع: رسالة الخطأ المرفقة
#مثال:
#تَرَدَّدَ على=إلى	لأن الفعل "تردد" يتعدّى بـ"إلى"
تَرَدَّدَ على=إلى	لأن الفعل "تردد" يتعدّى بـ"إلى"
اِعْتَذَرَ من=إلى|عن	الفعل "اِعْتَذَرَ مِن" متعد بحرف الجر"إلى|عن|من"، مثلا "اعْتَذَرَ مِن فلان"، والصواب:"اعتذر إلى فلان"
أَغْرَى على=ب	الفعل "أَغْرَى على" متعد بحرف الجر"ب"، مثلا "أَغْراهُ على البيع"، والصواب:"أغراه بالبيع"
بَادَرَ ل=إلى	الفعل "بَادَرَ ل" متعد بحرف الجر"إلى"، مثلا "بادَرَ لفِعلِ / بفعلِ الشيء"، والصواب:"بادرت إلى الصدقة"
بَادَرَ ب=إلى	الفعل "بَادَرَ ب" متعد بحرف الجر"إلى"، مثلا "بادَرَ لفِعلِ / بفعلِ الشيء"، والصواب:"بادرت إلى الصدقة"
تَحَكَّمَ ب=في	الفعل "تَحَكَّمَ ب" متعد بحرف الجر"في"، مثلا "تَحَكَّمَ بالشيءِ"، والصواب:"تحكم في الطائرة"
تَرَبَّصَ ل=ب	الفعل "تَرَبَّصَ ل" متعد بحرف الجر"ب"، مثلا "تَرَبَّصَ لفلان"، والصواب:"تربصنا باللص"
تَعَرَّفَ على=إلى|ل	الفعل "تَعَرَّفَ على" متعد بحرف الجر"إلى|ل"، مثلا "تَعَرَّفَ الموظف على المدير"، والصواب:"تعرفت إلى الصديق الجديد"
تَعَرَّفَ على=ب	الفعل "تَعَرَّفَ على" متعد بحرف الجر"ب"، مثلا "تَعَرَّفَ فلانٌ على صاحبه"، والصواب:"تعرفت بالصديق النعسان"
تَقَاعَسَ في=عن	الفعل "تَقَاعَسَ في" متعد بحرف الجر"عن"، مثلا "تَقَاعَسَ في أداء واجبه"، والصواب:"قد يتقاعس عن النهوض"
تَمَرَّسَ على=ب	الفعل "تَمَرَّسَ على" متعد بحرف الجر"ب"، مثلا "تمرَّس على الأعمال الدقيقة"، والصواب:"تمرّس بالأعمال المكتبية"
تَنَافَسَ على=في	الفعل "تَنافَسَ على" متعد بحرف الجر"في"، مثلا "تَنافَسُوا على الأمرِ"، والصواب:"تنافسوا في حفظ القرآن"
تَهَافَتَ إلى=على	الفعل "تَهَافَتَ إلى" متعد بحرف الجر"على"، مثلا "تَهَافَتَ الفراش إلى النور"، والصواب:"تهافت الفراش على النور"
تَهَكَّمَ على=ب	الفعل "تَهَكَّمَ على" متعد بحرف الجر"ب"، مثلا "تَهَكَّمَ على فلان"، والصواب:"تهكّم بالرجل"
حَلَّ في=ب|	الفعل "حَلَّ في" متعد بحرف الجر"ب" او بنفسه، مثلا "حَلَّ في منْزلنا"، والصواب:"حلّ بمنزلنا"
زَحَفَ على=إلى	الفعل "زَحَفَ على" متعد بحرف الجر"إلى"، مثلا "زَحَفَ الجيشُ على المدينة"، والصواب:"زحف الجيش إلى المدينة"
#زَعَمَ بـأن=أن	الفعل "#زَعَمَ بـأن" متعد بحرف الجر"أن"، مثلا "زعم بـأنه صادق"، والصواب:"زعم أنه صادق"
زَفَّ على=إلى	الفعل "زَفَّ على" متعد بحرف الجر"إلى"، مثلا "زُفَّتْ العروسُ على زوجها"، والصواب:"زفت العروس إلى بيت زوجها"
زَهِدَ ب=في	الفعل "زَهِدَ ب" متعد بحرف الجر"في"، مثلا "زَهِدَ بالشيء"، والصواب:"لقد زهد في النقود"
شَرَعَ ب=في	الفعل "شَرَعَ ب" متعد بحرف الجر"في"، مثلا "شَرَعَ بالأمر"، والصواب:"يشرع في القضية"
شـَكَّ ب=في	الفعل "شـَكَّ ب" متعد بحرف الجر"في"، مثلا "شـَكَّ بأمانتِه"، والصواب:"لا يشك في أمانته"
طَمَحَ ب=إلى	الفعل "طَمَحَ ب" متعد بحرف الجر"إلى"، مثلا "طَمَحَ بالزواج منها"، والصواب:"يطمح الشاب إلى الزواج منها"
ظَهَرَ ب=أن	الفعل "ظَهَرَ ب" متعد بحرف الجر"أن"، مثلا "ظَهَرَ بأنـّه مريض"، والصواب:"ظَهَرَ أنـّه مريض"
عَارَضَ على=ب	الفعل "عَارَضَ على" متعد بحرف الجر"ب"، مثلا "عارضَ الكتابَ على أصلِه المخطوط"، والصواب:"عارضَ الكتابَ بأصلِه المخطوط"
عَزَا ل=إلى	الفعل "عَزَا لِ" متعد بحرف الجر"إلى"، مثلا "عَزَا الخبَرَ لِصاحبه"، والصواب:"عَزَا الخبَرَ إلى صاحبه"
عَزَّى ب=عن	الفعل "عَزَّى ب" متعد بحرف الجر"عن"، مثلا "عَزَّيْتُه بولده"، والصواب:"عَزَّيْتُه عن ولده"
فَتَّشَ على=عن	الفعل "فَتَّشَ على" متعد بحرف الجر"عن"، مثلا "فَتَّشَ عليه"، والصواب:"فتش عنه"
قَابَلَ على=ب	الفعل "قَابَلَ على " متعد بحرف الجر"ب"، مثلا "قابَلَ الكتابَ على أصله المخطوط"، والصواب:"قابل الكتاب بأصله"
قَذَفَ على=ب	الفعل "قَذَفَ  على" متعد بحرف الجر"ب"، مثلا "قذف الحجارةَ على القلعة"، والصواب:"قذف بالحجارة"
اِكْتَرَثَ ب=له	الفعل "اِكْتَرَثَ ب" متعد بحرف الجر"له"، مثلا "لا يُكْتَرَثُ به"، والصواب:"لا يكترث له"
لَجَأَ ل=إلى	الفعل "لَجَأَ ل" متعد بحرف الجر"إلى"، مثلا "لَجَأَ له"، والصواب:"لجأ إليه"
أَحْوَجَ ل=إلى	الفعل "أَحْوَجَ ل" متعد بحرف الجر"إلى"، مثلا "ما أَحْوَجَنا له"، والصواب:"ما أحوجنا إليه"
#نـَبَّهَ عمّا=على	الفعل "#نـَبَّهَ عمّا" متعد بحرف الجر"على"، مثلا "نـَبَّهَ الطلابَ عمّا ارتكبوه من أخطاءٍ"، والصواب:"نبّه الطلاب على ما ارتكبوه من أخطاء"
نـَزَلَ عند=على	الفعل "نـَزَلَ عند" متعد بحرف الجر"على"، مثلا "نـَزَلَ عند إرادتِه"، والصواب:"نزل على إرادته"
نـَزَّهَ من=عن	الفعل "نـَزَّهَ  مِن " متعد بحرف الجر"عن"، مثلا "نـَزَّهَهُ مِن الخطأِ"، والصواب:"نزهه عن الخطأ"
نـَفَخَ ب=في	الفعل "نـَفَخَ ب" متعد بحرف الجر"في"، مثلا "نـَفَخَ بالنـَّاي"، والصواب:"نفخ في الناي"
تَرَتَّبَ عن=على	الفعل "تَرَتَّبَ عن" متعد بحرف الجر"على"، مثلا "يَتَرَتّب عن اجتهاد الطالب نجاحُه"، والصواب:"يَتَرَتّب على اجتهاد الطالب نجاحُه"
نَمَّ عن=على	الفعل "نَمَّ عن" متعد بحرف الجر"على"، مثلا "ينمّ حديثه عن علمه وذكائه"، والصواب:""
أَسْنَدَ على=إلى	لأن الإسناد والاستناد يقعان على الشيء الثابت من إحدى الجهات، لا من جهة الغلو، فتُستعمل "إلى" وتُترك "على" التي تفيد الاستعلاء
اِسْتَنَدَ على=إلى	لأن الإسناد والاستناد يقعان على الشيء الثابت من إحدى الجهات، لا من جهة الغلو، فتُستعمل "إلى" وتُترك "على" التي تفيد الاستعلاء
