# List of intransitive verbs to be corrected into transitive
# الأفعال المتعدية بحرف، الخاطئة وتصحيحها التعدي بنفسها
# like استأذن منه => استأذنه
# verbs must be written with tashkeel
# نضع هنا الأفعال التي تكتب متعدية بحرف والصحيح أن تكون متعدية بنفسها
# نكتبها بالشكل:
#اِسْتَأْذَنَ=من
# الجزء الأول هو الفعل بصيغته المشكولة، تحقق من تشكيل الأصل في قاموس البرنامج، استعمل في الواجهة ctl+t كي ترى توسيم الكلمات وأصولها
# الجزء الثاني علامة المساواة
#الجزء الثالث: حرف التعدي الخاطئ، يمكن تعدد الحروف، والفصل بينها بالعمود
#الجزء الرابع: رسالة الخطأ المرفقة
اِسْتَأْذَنَ=من
اِنْتَقَصَ=من
#أَفَاضَ=في	مؤقتا للتجارب فقط
اِعْتَادَ=على	الفعل "اِعْتَادَ" متعد بنفسه، مثلا "اعْتَادَ على الأمر"، والصواب:"اعتاد الأمر"
أَعْلَنَ=عن	الفعل "أَعْلَنَ" متعد بنفسه، مثلا "أَعْلَنَ عن افتتاحِ الدورة"، والصواب:"أعلن افتتاح الدورة"
تَبِعَ=ل	الفعل "تَبِعَ" متعد بنفسه، مثلا "هذه الإدارةُ تَتْبَعُ لـوزارة كذا"، والصواب:"هذه الإدارة تتبع وزارة الصناعة"
تَحَقَّقَ=من	الفعل "تَحَقَّقَ" متعد بنفسه، مثلا "تَحَقَّقَ فلانٌ من الخبرِ"، والصواب:"تحقّقت الخبر"
تَدَاوَلَ=في	الفعل "تَدَاوَلَ" متعد بنفسه، مثلا "تداول القومُ في الشيء"، والصواب:"تداولنا القضية"
رَاقَ= 	الفعل "رَاقَ" متعد بنفسه، مثلا "كُـتُبٌ تَرُوقُ للقارئ"، والصواب:"راقت القصة الطفل"
تَعَوَّدَ=على	الفعل "تَعَوَّدَ" متعد بنفسه، مثلا "تَعَوَّدَ على القراءة"، والصواب:"تعوّدت البنت القراءة"
تَقَصَّى=عن	الفعل "تَقَصَّى" متعد بنفسه، مثلا "تَقَصَّى / اسْتَقْصَى عن الأمر"، والصواب:"تقصّيت الحقيقة"
اِسْتَقْصَى=عن	الفعل "اِسْتَقْصَى" متعد بنفسه، مثلا "تَقَصَّى / اسْتَقْصَى عن الأمر"، والصواب:"تقصّيت الحقيقة"
تَوَطَّنَ=في	الفعل "تَوَطَّنَ" متعد بنفسه، مثلا "حَلّ خالد بحمص وتوطَّن فيها"، والصواب:"توطّن المدينة"
حَازَ=على	الفعل "حَازَ" متعد بنفسه، مثلا "حَازَ على جوائز كثيرة"، والصواب:"حازت البنت الجوائر"
حَوَى=على	الفعل "حَوَى" متعد بنفسه، مثلا "حَوَى على قطعٍ أثرية"، والصواب:"حوى البيت قطعا فنية"
خَوَّلَ=إلى	الفعل "خَوَّلَ" متعد بنفسه، مثلا "خَوَّلَ إليه الأمرَ"، والصواب:"خوّل الشعب الرئيس"
دَاسَ=على	الفعل "دَاسَ" متعد بنفسه، مثلا "داس عليه"، والصواب:"دست الورقة"
دَعَسَ=على	الفعل "دَعَسَ" متعد بنفسه، مثلا "دَعَسَ عليه"، والصواب:"دعست البطيخة"
دَقَّ=على	الفعل "دَقَّ" متعد بنفسه، مثلا "دقَّ على الباب"، والصواب:"دققت الباب"
رَبَّتَ=على	الفعل "رَبَّتَ" متعد بنفسه، مثلا "رَبَّتَ على ظَهْره"، والصواب:"ربتت ظهره"
سَادَ=على	الفعل "سَادَ" متعد بنفسه، مثلا "سَادَ على قومِه"، والصواب:"يسود الشجاع قومه"
فَاقَ=على	الفعل "فَاقَ" متعد بنفسه، مثلا "فَاقَ على أقرانِه"، والصواب:"فاق أقرانه"
قَارَبَ=على	الفعل "قَارَبَ" متعد بنفسه، مثلا "قاربَ الأمرُ على الانتهاء"، والصواب:"قارب الأمر الانتهاء"
قَاسَى=من	الفعل "قَاسَى" متعد بنفسه، مثلا "قَاسَى من ألـمٍ شديد"، والصواب:"قاسى آلاما مبرحة"
قَبِلَ=ب	الفعل "قَبِلَ" متعد بنفسه، مثلا "قَبلتُ بـالأمر / بـالقليل"، والصواب:"قبلت الأمر"
هَابَ=من	الفعل "هَابَ" متعد بنفسه، مثلا "هَابَ من فلان"، والصواب:"هاب فلانا"
رَوَّجَ=ل	الفعل "رَوَّجَ" متعد بنفسه، مثلا "جعل فلانٌ يُرَوِّجُ لأفكاره"، والصواب:"جعل فلانٌ يُرَوِّجُ أفكاره"
عَانَى=من	الفعل "عَانَى" متعد بنفسه، مثلا "يُعَانِي فلانٌ من المرض"، والصواب:"يُعَانِي فلانٌ المرض"
نَاضَلَ=ضد	الفعل "نَاضَلَ" متعد بنفسه، مثلا "يناضلُ ضدَّ الاستعمار"، والصواب:"يناضلُ الاستعمار"
تَعَارَفَ=على	الفعل "تَعَارَفَ" متعد بنفسه، مثلا "تعارفوا على الأمر"، والصواب:"تعارفوا الأمر"
أمَلَ=ب	الفعل "أمَلَ" متعد بنفسه، مثلا "أمَلَ بفلان / في فلان"، والصواب:"أمل فلانا"
شارف=على	الفعل "شارف" متعد بنفسه، مثلا "شـَارَفَ على الانتهاءِ"، والصواب:"شارف البناء الانتهاء"
اِمْتَثَلَ=ل	الفعل (امتثل) يتعدّى بنفس، مثلا "امتثل للأمر"، والصواب:"امتثل الأمر"
