# The opposite of added.txt: these readings will be removed.
# Useful to remove incorrect readings from the binary dictionary without rebuilding it.
# File Encoding: UTF-8
# Format: fullform baseform postags (tab separated)
j	je	R pers suj 1 s
téramètres	mètre	N m p
yoctomètres	mètre	N m p
yottamètres	mètre	N m p
zeptomètres	mètre	N m p
zettamètres	mètre	N m p
attogramme	gramme	N m s
centigramme	gramme	N m s
décagramme	gramme	N m s
décigramme	gramme	N m s
exagramme	gramme	N m s
femtogramme	gramme	N m s
gigagramme	gramme	N m s
hectogramme	gramme	N m s
kilogramme	gramme	N m s
microgramme	gramme	N m s
milligramme	gramme	N m s
mégagramme	gramme	N m s
nanogramme	gramme	N m s
petagramme	gramme	N m s
picogramme	gramme	N m s
pétagramme	gramme	N m s
téragramme	gramme	N m s
yoctogramme	gramme	N m s
yottagramme	gramme	N m s
zeptogramme	gramme	N m s
zettagramme	gramme	N m s
attogrammes	gramme	N m p
centigrammes	gramme	N m p
décagrammes	gramme	N m p
décigrammes	gramme	N m p
exagrammes	gramme	N m p
femtogrammes	gramme	N m p
gigagrammes	gramme	N m p
hectogrammes	gramme	N m p
kilogrammes	gramme	N m p
microgrammes	gramme	N m p
milligrammes	gramme	N m p
mégagrammes	gramme	N m p
nanogrammes	gramme	N m p
petagrammes	gramme	N m p
picogrammes	gramme	N m p
pétagrammes	gramme	N m p
téragrammes	gramme	N m p
yoctogrammes	gramme	N m p
yottagrammes	gramme	N m p
zeptogrammes	gramme	N m p
zettagrammes	gramme	N m p
attowatt	watt	N m s
centiwatt	watt	N m s
décawatt	watt	N m s
déciwatt	watt	N m s
exawatt	watt	N m s
femtowatt	watt	N m s
gigawatt	watt	N m s
hectowatt	watt	N m s
kilowatt	watt	N m s
microwatt	watt	N m s
milliwatt	watt	N m s
mégawatt	watt	N m s
nanowatt	watt	N m s
petawatt	watt	N m s
picowatt	watt	N m s
pétawatt	watt	N m s
térawatt	watt	N m s
yoctowatt	watt	N m s
yottawatt	watt	N m s
zeptowatt	watt	N m s
zettawatt	watt	N m s
attowatts	watt	N m p
centiwatts	watt	N m p
décawatts	watt	N m p
déciwatts	watt	N m p
exawatts	watt	N m p
femtowatts	watt	N m p
gigawatts	watt	N m p
hectowatts	watt	N m p
kilowatts	watt	N m p
microwatts	watt	N m p
milliwatts	watt	N m p
mégawatts	watt	N m p
nanowatts	watt	N m p
petawatts	watt	N m p
picowatts	watt	N m p
pétawatts	watt	N m p
térawatts	watt	N m p
yoctowatts	watt	N m p
yottawatts	watt	N m p
zeptowatts	watt	N m p
zettawatts	watt	N m p
attolitre	litre	N m s
centilitre	litre	N m s
décalitre	litre	N m s
décilitre	litre	N m s
exalitre	litre	N m s
femtolitre	litre	N m s
gigalitre	litre	N m s
hectolitre	litre	N m s
kilolitre	litre	N m s
microlitre	litre	N m s
millilitre	litre	N m s
mégalitre	litre	N m s
nanolitre	litre	N m s
petalitre	litre	N m s
picolitre	litre	N m s
pétalitre	litre	N m s
téralitre	litre	N m s
yoctolitre	litre	N m s
yottalitre	litre	N m s
zeptolitre	litre	N m s
zettalitre	litre	N m s
attolitres	litre	N m p
centilitres	litre	N m p
décalitres	litre	N m p
décilitres	litre	N m p
exalitres	litre	N m p
femtolitres	litre	N m p
gigalitres	litre	N m p
hectolitres	litre	N m p
kilolitres	litre	N m p
microlitres	litre	N m p
millilitres	litre	N m p
mégalitres	litre	N m p
nanolitres	litre	N m p
petalitres	litre	N m p
picolitres	litre	N m p
pétalitres	litre	N m p
téralitres	litre	N m p
yoctolitres	litre	N m p
yottalitres	litre	N m p
zeptolitres	litre	N m p
zettalitres	litre	N m p
Guyana	Guyana	N m sp
Otan	Otan	N f sp
vingt-et-un	vingt-et-un	D e p
trente-et-un	trente-et-un	D e p
quatre-vingt-un	quatre-vingt-un	D e p
quarante-et-un	quarante-et-un	D e p
cinquante-et-un	cinquante-et-un	D e p
soixante-et-un	soixante-et-un	D e p
nonante-et-un	nonante-et-un	D e p
septante-et-un	septante-et-un	D e p
huitante-et-un	huitante-et-un	D e p
octante-et-un	octante-et-un	D e p
elle	elle	R pers obj 3 f s
elles	elle	R pers obj 3 f p
CSS	CSS	N f sp
MA	MA	N m sp
chauves-souris	chauves-souris	N f p
offshore	offshore	J e s
ultra	ultra	J e s
rétro	rétro	J e s
mai	mai	N m p
offrant	offrant	J m s
porno	porno	J e s
Base	Base	Z m sp
Galilée	Galilée	Z m sp
#un	un	N m s
#une	un	N f s
aux	au	P
aux	au	D e p
nos	nos	D e p
bretzel	bretzel	N m s
bretzels	bretzel	N m p
soul	soul	N f s
pluviôse	pluviôse	N m s
alter	alter	J m sp
porte-couteau	porte-couteau	N m sp
photos	photo	J e p
photo	photo	J e s
#pros	pro	J e p
#pro	pro	J e s
cd	cd	N f sp
URL	URL	N f sp
latina	latina	J f s
latinas	latina	J f p
latino	latino	J e s
latinos	latino	J e p
marché	marcher	V ppa e sp
casse-croûte	casse-croûte	N m sp
Île-de-France	Île-de-France	N f sp
France	France	N f sp
media	medium	N m p
n	ne	A
s	se	R pers obj 3 e sp
s	s’	C sub
l	le	R pers obj 3 e s
m	me	R pers obj 1 s
d	de	D e sp
d	de	P
t	te	R pers obj 2 s
fuissaient	fuir	V ind impa 3 p
fuissais	fuir	V ind impa 1 s
fuissais	fuir	V ind impa 2 s
fuissait	fuir	V ind impa 3 s
fuissant	fuir	V ppr
fuisse	fuir	V sub pres 1 s
fuisse	fuir	V sub pres 3 s
fuissent	fuir	V ind pres 3 p
fuisses	fuir	V sub pres 2 s
fuissez	fuir	V imp pres 2 p
fuissez	fuir	V ind pres 2 p
fuissiez	fuir	V ind impa 2 p
fuissiez	fuir	V sub pres 2 p
fuissions	fuir	V ind impa 1 p
fuissions	fuir	V sub pres 1 p
fuissons	fuir	V imp pres 1 p
fuissons	fuir	V ind pres 1 p
frustre	frustre	J e s
frustre	frustre	N e s
frustres	frustre	J e p
frustres	frustre	N e p
Aïd	Aïd	N f sp
