# Verificação de coerência para palavras com dupla grafia
# (c) 2017 Tiago F. Santos
# Licensed under LGPL
#
abantesma;avantesma
nascedoirãos;nascedourãos
nascedoirinho;nascedourinho
nascedoirinhos;nascedourinhos
nascedoiro;nascedouro
nascedoiros;nascedouros
nascedoirozão;nascedourozão
nascedoirozãos;nascedourozãos
omelete;omeleta
omeletes;omeletas
organograma;organigrama
organogramas;organigramas
oiro;ouro
oiros;ouros
oira;oura
oirar;ourar
oiras;ouras
paradoirão;paradourão
paradoirãos;paradourãos
paradoirinho;paradourinho
paradoirinhos;paradourinhos
paradoiro;paradouro
paradoiros;paradouros
paradoirozão;paradourozão
paradoirozãos;paradourozãos
piaçaba;piaçá
piaçabas;piaçás
poedoirão;poedourão
poedoirãos;poedourãos
poedoirinho;poedourinho
poedoirinhos;poedourinhos
poedoiro;poedouro
poedoiros;poedouros
poedoirozão;poedourozão
poedoirozãos;poedourozãos
potra;poldra
potras;poldras
potro;poldro
potros;poldros
reclame;reclamo
reclames;reclamos
repertório;reportório
repertórios;reportórios
rescrever;reescrever
rescreveres;reescreveres
respigadoira;respigadoura
respigadoiras;respigadouras
respigadoirazona;respigadourazona
respigadoirazonas;respigadourazonas
respigadoirinha;respigadourinha
respigadoirinhas;respigadourinhas
respigadoirona;respigadourona
respigadoironas;respigadouronas
restruturar;reestruturar
restruturares;reestruturares
rotura;ruptura
roturas;rupturas
síndrome;síndroma
síndromes;síndromas
sorvedoirão;sorvedourão
sorvedoirãos;sorvedourãos
sorvedoirinho;sorvedourinho
sorvedoirinhos;sorvedourinhos
sorvedoiro;sorvedouro
sorvedoiros;sorvedouros
sorvedoirozão;sorvedourozão
sorvedoirozãos;sorvedourozãos
suadoirão;suadourão
suadoirãos;suadourãos
suadoirinho;suadourinho
suadoirinhos;suadourinhos
suadoiro;suadouro
suadoiros;suadouros
suadoirozão;suadourozão
suadoirozãos;suadourozãos
taberna;taverna
tabernas;tavernas
talhadoirão;talhadourão
talhadoirãos;talhadourãos
talhadoirinho;talhadourinho
talhadoirinhos;talhadourinhos
talhadoiro;talhadouro
talhadoiros;talhadouros
talhadoirozão;talhadourozão
talhadoirozãos;talhadourozãos
temedoira;temedoura
temedoiras;temedouras
temedoiro;temedouro
temedoiros;temedouros
toiro;touro
toiros;touros
toira;toura
toiras;touras
toxicidade;toxidade
toxicidades;toxidades
tremedoirão;tremedourão
tremedoirãos;tremedourãos
tremedoirinho;tremedourinho
tremedoirinhos;tremedourinhos
tremedoiro;tremedouro
tremedoiros;tremedouros
tremedoirozão;tremedourozão
tremedoirozãos;tremedourozãos
urtiga;ortiga
urtigas;ortigas
varadoirão;varadourão
varadoirãos;varadourãos
varadoirinho;varadourinho
varadoirinhos;varadourinhos
varadoiro;varadouro
varadoiros;varadouros
varadoirozão;varadourozão
varadoirozãos;varadourozãos
vendedoirão;vendedourão
vendedoirãos;vendedourãos
vendedoirinho;vendedourinho
vendedoirinhos;vendedourinhos
vendedoiro;vendedouro
vendedoiros;vendedouros
vendedoirozão;vendedourozão
vendedoirozãos;vendedourozãos
vindoira;vindoura
vindoiras;vindouras
vindoiro;vindouro
vindoiros;vindouros

