# Quelle: Julian von Heyl, extrahiert mit diesem Kommando:
# SELECT * FROM `alt_neu` WHERE `alt_empfohlen` IS NULL AND `neu_empfohlen` IS NULL
# Solange die Flexionsdaten noch die alte Schreibweise kennen und als alte Schreibweise hier
# eine Grundform steht, werden auch die Vollformen gefunden.
läßt;lässt
Erdgeschoße;Erdgeschosse
Erdnuß;Erdnuss
Erfaßte;Erfasste
Erpreßte;Erpresste
Expreßgut;Expressgut
Eßbare;Essbare
Eßbarere;Essbarere
Eßbarkeit;Essbarkeit
Eßbarste;Essbarkeit
Eßgeschirr;Essgeschirr
Eßgestörte;Essgestörte
Eßgestörtere;Essgestörtere
Eßgestörteste;Essgestörteste
Eßkohle;Esskohle
Eßproblem;Essproblem
Eßstörung;Essstörung
Eßsüchtige;Esssüchtige
Eßsüchtigere;Esssüchtigere
Eßsüchtigste;Esssüchtigste
Eßverhalten;Essverhalten
Eßzimmer;Esszimmer
Faß;Fass
Faßbare;Fassbare
Faßbarere;Fassbarere
Faßbarste;Fassbarste
Finanzausschuß;Finanzausschuss
Fluß;Fluss
Freigepreßte;Freigepresste
Freßgier;Fressgier
Freßkorb;Fresskorb
Freßlust;Fresslust
Freßsucht;Fresssucht
Freßsüchtige;Fresssüchtige
Freßsüchtigere;Fresssüchtigere
Freßsüchtigste;Fresssüchtigste
Fäßchen;Fässchen
Gebiß;Gebiss
Geblaßte;Geblasste
Gefaßte;Gefasste
Gefaßtere;Gefasstere
Gefaßteste;Gefassteste
Gefaßtheit;Gefasstheit
Gehaßte;Gehasste
Gehaßtere;Gehasstere
Gehaßteste;Gehassteste
Geküßte;Geküsste
Gemißte;Gemisste
Genuß;Genuss
Genußreiche;Genussreiche
Genußreichere;Genussreichere
Genußreichste;Genussreichste
Genäßte;Genässte
Genüßliche;Genüssliche
Genüßlichere;Genüsslichere
Genüßlichste;Genüsslichste
Gepaßte;Gepasste
Gepißte;Gepisste
Gepreßte;Gepresste
Gestreßte;Gestresste
Gestreßtere;Gestresstere
Gestreßteste;Gestressteste
Gewißheit;Gewissheit
Gewußte;Gewusste
Grundhäßliche;Grundhässliche
Gräßliche;Grässliche
Gräßlichere;Grässlichere
Gräßlichste;Grässlichste
Guß;Guss
Gußeiserne;Gusseiserne
Haselnuß;Haselnuss
Haß;Hass
Haßerfüllte;Hasserfüllte
Haßerfülltere;Hasserfülltere
Haßerfüllteste;Hasserfüllteste
Haßliebe;Hassliebe
Hineingepaßte;Hineingepasste
Hineingepaßtere;Hineingepasstere
Hineingepaßteste;Hineingepassteste
Holzmeßkunde;Holzmesskunde
Häßliche;Hässliche
Häßlichere;Hässlichere
Häßlichkeit;Hässlichkeit
Häßlichste;Hässlichste
Imbiß;Imbiss
Kalorienbewußte;Kalorienbewusste
Kalorienbewußtere;Kalorienbewusstere
Kalorienbewußteste;Kalorienbewussteste
Kaltgepreßte;Kaltgepresste
Kaltgepreßtere;Kaltgepresstere
Kaltgepreßteste;Kaltgepressteste
Kokosnuß;Kokosnuss
Kompromiß;Kompromiss
Kompromißbereite;Kompromissbereite
Kompromißbereitere;Kompromissbereitere
Kompromißbereiteste;Kompromissbereiteste
Kompromißlose;Kompromisslose
Kompromißlosere;Kompromisslosere
Kompromißloseste;Kompromissloseste
Kongreß;Kongress
Kostenbewußte;Kostenbewusste
Kostenbewußtere;Kostenbewusstere
Kostenbewußteste;Kostenbewussteste
Kraßheit;Krassheit
# Kreß;Kress -- eher Nachname
Kuß;Kuss
Kußechte;Kussechte
Kußfeste;Kussfeste
Kußhändchen;Kusshändchen
Küßchen;Küsschen
Küßlein;Küsslein
Lernprozeß;Lernprozess
Meßband;Messband
Meßbare;Messbare
Meßbarkeit;Messbarkeit
Meßbecher;Messbecher
Meßdiener;Messdiener
Meßfehler;Messfehler
Meßfühler;Messfühler
Meßgerät;Messgerät
Meßgewand;Messgewand
Meßgröße;Messgröße
Meßgrößen;Messgrößen
Meßtechnik;Messtechnik
Meßuhr;Messuhr
Meßwagen;Messwagen
Meßwandler;Messwandler
Meßwein;Messwein
Meßwerk;Messwerk
Meßwert;Messwert
Meßwesen;Messwesen
Meßwiderstand;Messwiderstand
Meßzahl;Messzahl
Mißachten;Missachten
Mißachtende;Missachtende
Mißachtendere;Missachtendere
Mißachtendste;Missachtendste
Mißachtete;Missachtete
Mißachtetere;Missachtetere
Mißachteteste;Missachteteste
Mißachtung;Missachtung
Mißbehagen;Missbehagen
Mißbilden;Missbilden
Mißbildende;Missbildende
Mißbildendere;Missbildendere
Mißbildendste;Missbildendste
Mißbildete;Missbildete
Mißbildetere;Missbildetere
Mißbildeteste;Missbildeteste
Mißbildung;Missbildung
Mißbilligen;Missbilligen
Mißbilligende;Missbilligende
Mißbilligte;Missbilligte
Mißbilligung;Missbilligung
Mißbrauch;Missbrauch
Mißbrauchen;Missbrauchen
Mißbrauchende;Missbrauchende
Mißbrauchte;Missbrauchte
Mißbrauchtere;Missbrauchtere
Mißbrauchteste;Missbrauchteste
Mißbringen;Missbringen
Mißbräuchliche;Missbräuchliche
Mißdeutung;Missdeutung
Mißerfolg;Misserfolg
Mißernte;Missernte
Mißfallen;Missfallen
Mißfallende;Missfallende
Mißfallene;Missfallene
Mißfallenere;Missfallenere
Mißfallenste;Missfallenste
Mißform;Missform
Mißgebildete;Missgebildete
Mißgeschick;Missgeschick
Mißgestalt;Missgestalt
Mißgestimmte;Missgestimmte
Mißgestimmtere;Missgestimmtere
Mißgestimmteste;Missgestimmteste
Mißglücken;Missglücken
Mißglückende;Missglückende
Mißglückendere;Missglückendere
Mißglückendste;Missglückendste
Mißglückte;Missglückte
Mißglücktere;Missglücktere
Mißglückteste;Missglückteste
Mißgriff;Missgriff
Mißhandeln;Misshandeln
Mißhandelnde;Misshandelnde
Mißhandelte;Misshandelte
Mißhandeltere;Misshandeltere
Mißhandelteste;Misshandelteste
Mißhandlung;Misshandlung
Mißheirat;Missheirat
Mißinterpretieren;Missinterpretieren
Mißinterpretierende;Missinterpretierende
Mißinterpretierte;Missinterpretierte
Mißklang;Missklang
Mißliche;Missliche
Mißlingen;Misslingen
Mißlingende;Misslingende
Mißlungene;Misslungene
Mißlungenere;Misslungenere
Mißlungenste;Misslungenste
Mißmutige;Missmutige
Mißmutigere;Missmutigere
Mißmutigste;Missmutigste
Mißraten;Missraten
Mißratende;Missratende
Mißratene;Missratene
Mißratenere;Missratenere
Mißratenste;Missratenste
Mißstand;Missstand
Mißton;Misston
Mißtrauen;Misstrauen
Mißtrauende;Misstrauende
Mißtrauendere;Misstrauendere
Mißtrauendste;Misstrauendste
Mißtrauische;Misstrauische
Mißtrauischere;Misstrauischere
Mißtrauischste;Misstrauischste
Mißtraute;Misstraute
Mißverstandene;Missverstandene
Mißverstandenere;Missverstandenere
Mißverstandenste;Missverstandenste
Mißverstehen;Missverstehen
Mißverstehende;Missverstehende
Mißverständliche;Missverständliche
Mißverständnis;Missverständnis
Mißwirtschaft;Misswirtschaft
Mißwirtschaften;Misswirtschaften
Mißwirtschaftende;Misswirtschaftende
Mißwirtschaftete;Misswirtschaftete
Modebewußte;Modebewusste
Modebewußtere;Modebewusstere
Modebewußteste;Modebewussteste
Muß;Muss
muß;muss
mußt;musst
mußte;musste
mußtet;musstet
mußtest;musstest
mußten;mussten
müßte;müsste
müßtest;müsstest
müßtet;müsstet
müßten;müssten
gemußt;gemusst
wußte;wusste
wußtet;wusstet
wußtest;wusstest
wußten;wussten
wüßte;wüsste
wüßtest;wüsstest
wüßtet;wüsstet
wüßten;wüssten
Nachgefaßte;Nachgefasste
Nachlaß;Nachlass
Narzißmus;Narzissmus
Nationalbewußte;Nationalbewusste
Nationalbewußtere;Nationalbewusstere
Nationalbewußteste;Nationalbewussteste
Naß;Nass
Naßkalte;Nasskalte
Naßwäsche;Nasswäsche
Nichtseßhafte;Nichtsesshafte
Nuß;Nuss
Nußbraune;Nussbraune
Nüßchen;Nüsschen
Paß;Pass
Paßwort;Passwort
Pflichtbewußte;Pflichtbewusste
Pflichtbewußtere;Pflichtbewusstere
Pflichtbewußteste;Pflichtbewussteste
Potthäßliche;Potthässliche
Preßkuchen;Presskuchen
Preßluft;Pressluft
Preßlufthammer;Presslufthammer
Preßpappe;Presspappe
Preßwurst;Presswurst
Prozeß;Prozess
Prozeßfähige;Prozessfähige
Riß;Riss
Rohguß;Rohguss
Rußland;Russland
Rößchen;Rösschen
Schloß;Schloss
Schluß;Schluss
Schlußkette;Schlusskette
Schlußverkauf;Schlussverkauf
Schlößlein;Schlösslein
Schuldbewußte;Schuldbewusste
Schuldbewußtere;Schuldbewusstere
Schuldbewußteste;Schuldbewussteste
Schulstreß;Schulstress
Schuß;Schuss
Schußbereite;Schussbereite
Schußdichte;Schussdichte
Schußfeste;Schussfeste
Schußfestere;Schussfestere
Schußfesteste;Schussfesteste
Schußsichere;Schusssichere
Schußsicherere;Schusssicherere
Schußsicherste;Schusssicherste
Schußwaffe;Schusswaffe
Schußweite;Schussweite
Selbstbewußte;Selbstbewusste
Selbstbewußtere;Selbstbewusstere
Selbstbewußteste;Selbstbewussteste
Selbstbewußtsein;Selbstbewusstsein
Selbsthaß;Selbsthass
Seßhafte;Sesshafte
Seßhaftigkeit;Sesshaftigkeit
Sicherheitsbewußte;Sicherheitsbewusste
Sicherheitsbewußtere;Sicherheitsbewusstere
Sommerschlußverkauf;Sommerschlussverkauf
Sprößchen;Sprösschen
Standesbewußte;Standesbewusste
Standesbewußtere;Standesbewusstere
Standesbewußteste;Standesbewussteste
Streß;Stress
Traditionsbewußte;Traditionsbewusste
Traditionsbewußtere;Traditionsbewusstere
Traditionsbewußteste;Traditionsbewussteste
Täßchen;Tässchen
Umfaßte;Umfasste
Umriß;Umriss
Umweltbewußte;Umweltbewusste
Umweltbewußtere;Umweltbewusstere
Umweltbewußteste;Umweltbewussteste
Unbewußte;Unbewusste
Unbewußtere;Unbewusstere
Unbewußteste;Unbewussteste
Unerläßliche;Unerlässliche
Unermeßliche;Unermessliche
Unmißverständliche;Unmissverständliche
Unpäßliche;Unpässliche
Unpäßlichkeit;Unpässlichkeit
Unterbewußte;Unterbewusste
Unterbewußtsein;Unterbewusstsein
Untergefaßte;Untergefasste
Unverläßliche;Unverlässliche
Unverläßlichere;Unverlässlichere
Unverläßlichste;Unverlässlichste
Veranlaßte;Veranlasste
Verantwortungsbewußte;Verantwortungsbewusste
Verantwortungsbewußtere;Verantwortungsbewusstere
Verblaßte;Verblasste
Verblaßtere;Verblasstere
Verblaßteste;Verblassteste
Verfaßte;Verfasste
Vergeßliche;Vergessliche
Vergeßlichere;Vergesslichere
Vergeßlichkeit;Vergesslichkeit
Vergeßlichste;Vergesslichste
Verläßliche;Verlässliche
Verläßlichere;Verlässlichere
Verläßlichkeit;Verlässlichkeit
Verläßlichste;Verlässlichste
Vermißte;Vermisste
Verpaßte;Verpasste
Verpißte;Verpisste
Verpraßte;Verprasste
Verpraßtere;Verprasstere
Verpraßteste;Verprassteste
Verschluß;Verschluss
Vorschlußrunde;Vorschlussrunde
Wißbegier;Wissbegier
Wißbegierige;Wissbegierige
Wißbegierigere;Wissbegierigere
Wißbegierigste;Wissbegierigste
Wäßrige;Wässrige
Wäßrigere;Wässrigere
Wäßrigste;Wässrigste
Zerpreßte;Zerpresste
Zugefaßte;Zugefasste
Zusammengefaßte;Zusammengefasste
Zusammengepaßte;Zusammengepasste
Zusammengepaßtere;Zusammengepasstere
Zusammengepaßteste;Zusammengepassteste
Zusammengepreßte;Zusammengepresste
Zusammengepreßtere;Zusammengepresstere
Zusammengepreßteste;Zusammengepressteste
Zusammenschluß;Zusammenschluss
Zuschuß;Zuschuss
mißachten;missachten
mißbilden;missbilden
mißbilligen;missbilligen
mißbrauchen;missbrauchen
mißfallen;missfallen
mißglücken;missglücken
mißhandeln;misshandeln
mißinterpretieren;missinterpretieren
mißraten;missraten
mißtrauen;misstrauen
mißverstehen;missverstehen
mißwirtschaften;misswirtschaften
abgeblaßt;abgeblasst
abgefaßt;abgefasst
abgeküßt;abgeküsst
abgepaßt;abgepasst
abgepreßt;abgepresst
angefaßt;angefasst
angepaßt;angepasst
angepreßt;angepresst
aufgefaßt;aufgefasst
aufgepaßt;aufgepasst
aufschlußreich;aufschlussreich
ausgepreßt;ausgepresst
beeinflußt;beeinflusst
befaßt;befasst
bepißt;bepisst
beschlußfähig;beschlussfähig
beschlußreif;beschlussreif
bewußt;bewusst
bewußtlos;bewusstlos
bezuschußt;bezuschusst
blaß;blass
durchgepreßt;durchgepresst
einflußreich;einflussreich
eingefaßt;eingefasst
eingenäßt;eingenässt
eingepaßt;eingepasst
eingepreßt;eingepresst
entnäßt;entnässt
erblaßt;erblasst
erfaßt;erfasst
erpreßt;erpresst
eßbar;essbar
eßgestört;essgestört
eßsüchtig;esssüchtig
faßbar;fassbar
freigepreßt;freigepresst
freßsüchtig;fresssüchtig
geblaßt;geblasst
gefaßt;gefasst
gehaßt;gehasst
geküßt;geküsst
gemißt;gemisst
genußreich;genussreich
genäßt;genässt
genüßlich;genüsslich
gepaßt;gepasst
gepißt;gepisst
gepreßt;gepresst
gestreßt;gestresst
gewiß;gewiss
gewußt;gewusst
grundhäßlich;grundhässlich
gräßlich;grässlich
gußeisern;gusseisern
haßerfüllt;hasserfüllt
hineingepaßt;hineingepasst
häßlich;hässlich
kalorienbewußt;kalorienbewusst
kaltgepreßt;kaltgepresst
keß;kess
klatschnaß;klatschnass
klitschnaß;klitschnass
kompromißbereit;kompromissbereit
kompromißlos;kompromisslos
kostenbewußt;kostenbewusst
kraß;krass
kußecht;kussecht
kußfest;kussfest
leichenblaß;leichenblass
meßbar;messbar
mißachtend;missachtend
mißachtet;missachtet
mißbildend;missbildend
mißbildet;missbildet
mißbilligend;missbilligend
mißbilligt;missbilligt
mißbrauchend;missbrauchend
mißbraucht;missbraucht
mißbräuchlich;missbräuchlich
mißfallen;missfallen
mißfallend;missfallend
mißgebildet;missgebildet
mißgestimmt;missgestimmt
mißglückend;missglückend
mißglückt;missglückt
mißhandelnd;misshandelnd
mißhandelt;misshandelt
mißinterpretierend;missinterpretierend
mißinterpretiert;missinterpretiert
mißlich;misslich
mißlingen;misslingen
mißlingend;misslingend
mißlungen;misslungen
mißmutig;missmutig
Känguruh;Känguru
Känguruhs;Kängurus
mißratend;missratend
mißtrauend;misstrauend
mißtrauisch;misstrauisch
mißtraut;misstraut
mißverstanden;missverstanden
mißverstehend;missverstehend
mißverständlich;missverständlich
mißwirtschaftend;misswirtschaftend
mißwirtschaftet;misswirtschaftet
modebewußt;modebewusst
nachgefaßt;nachgefasst
nationalbewußt;nationalbewusst
naß;nass
naßkalt;nasskalt
nußbraun;nussbraun
patschenaß;patschenass
patschnaß;patschnass
pflichtbewußt;pflichtbewusst
potthäßlich;potthässlich
prozeßfähig;prozessfähig
pudelnaß;pudelnass
schuldbewußt;schuldbewusst
schußbereit;schussbereit
schußfest;schussfest
schußsicher;schusssicher
selbstbewußt;selbstbewusst
seßhaft;sesshaft
sicherheitsbewußt;sicherheitsbewusst
siegesgewiß;siegesgewiss
standesbewußt;standesbewusst
totenblaß;totenblass
traditionsbewußt;traditionsbewusst
umfaßt;umfasst
umweltbewußt;umweltbewusst
unbewußt;unbewusst
unerläßlich;unerlässlich
unermeßlich;unermesslich
ungewiß;ungewiss
unmißverständlich;unmissverständlich
unpäßlich;unpässlich
unterbewußt;unterbewusst
untergefaßt;untergefasst
unverläßlich;unverlässlich
veranlaßt;veranlasst
verantwortungsbewußt;verantwortungsbewusst
verblaßt;verblasst
verfaßt;verfasst
vergeßlich;vergesslich
verläßlich;verlässlich
vermißt;vermisst
verpaßt;verpasst
verpißt;verpisst
verpraßt;verprasst
wißbegierig;wissbegierig
wäßrig;wässrig
zerpreßt;zerpresst
zugefaßt;zugefasst
zusammengefaßt;zusammengefasst
zusammengepaßt;zusammengepasst
zusammengepreßt;zusammengepresst
Überangepaßtheit;Überangepasstheit
Überfluß;Überfluss
Überschuß;Überschuss
Tolpatsch;Tollpatsch
Tolpatsche;Tollpatsche
Tolpatsches;Tollpatsches
Tolpatschs;Tollpatschs
Tolpatschen;Tollpatschen
Platitüde;Plattitüde
Platitüden;Plattitüden
Gemse;Gämse
Gemsen;Gämsen
Rauhhaardackel;Rauhaardackel
Rauhhaardackels;Rauhaardackels
Rauhhaardackeln;Rauhaardackeln
Zierat;Zierrat
Zierats;Zierrats
Busineß;Business
Fitneß;Fitness
Telephon;Telefon
Telephone;Telefone
Telephonen;Telefonen
Telephons;Telefons
kremig;cremig
kremige;cremige
kremiger;cremiger
kremigere;cremigere
kremigeres;cremigeres
kremigeren;cremigeren
kremigerem;cremigerem
kremiges;cremiges
kremigen;cremigen
#As;Ass
aufrauhen;aufrauen
aufrauhe;aufraue
aufrauhte;aufraute
aufrauhst;aufraust
aufrauht;aufraut
aufgerauht;aufgeraut
aufgerauhte;aufgeraute
aufgerauhten;aufgerauten
aufzurauhen;aufzurauen
Aufrauhen;Aufrauen
Aufrauhens;Aufrauens
Stilleben;Stillleben
Stillebens;Stilllebens
Brennessel;Brennnessel
Brennesseln;Brennnesseln
behend;behänd
belemmern;belämmern
belemmert;belämmert
Bestelliste;Bestellliste
Bestellisten;Bestelllisten
Bettuch;Betttuch
Bettuchs;Betttuchs
Bettuches;Betttuches
Bettücher;Betttücher
Bettüchern;Betttüchern
Bißchen;Bisschen
bißchen;bisschen
Cash-flow;Cashflow
Common sense;Common Sense
Corpus delicti;Corpus Delicti
Curriculum vitae;Curriculum Vitae
Flip-chart;Flipchart
Flip-charts;Flipcharts
High-Tech;Hightech
Hot dog;Hotdog
Lip gloss;Lipgloss
Paßstraße;Passstraße
Paßstraßen;Passstraßen
Stukkateur;Stuckateur
Stukkateurs;Stuckateurs
Stukkateure;Stuckateure
Stukkateuren;Stuckateuren
Stukkateurin;Stuckateurin
Stukkateurinnen;Stuckateurinnen
3zylinder;3-Zylinder
4zylinder;4-Zylinder
8zylinder;8-Zylinder
radfahren;Rad fahren
radfahre;Rad fahre
radfährst;Rad fährst
radfährt;Rad fährt
radfahren;Rad fahren
radzufahren;Rad zu fahren
abhanden kommen;abhandenkommen
abseits stehen;abseitsstehen
After-shave;Aftershave
After-shaves;Aftershaves
naßforsch;nassforsch
Schiffahrt;Schifffahrt
Schiffahrtsamt;Schifffahrtsamt
Schiffahrtsämter;Schifffahrtsämter
Schiffahrtsämtern;Schifffahrtsämtern
Schiffahrtsamts;Schifffahrtsamts
Schiffahrtsamtes;Schifffahrtsamtes
anrauhen;anrauen
anrauhe;anraue
anrauhst;anraust
anrauhte;anraute
anrauhten;anrauten
anrauht;anraut
angerauht;angeraut
angerauhte;angeraute
angerauhter;angerauter
angerauhtes;angerautes
angerauhten;angerauten
angerauhtem;angerautem
anzurauhen;anzurauen
rauh;rau
rauhe;raue
rauher;rauer
rauhes;raues
rauhen;rauen
abwärts fahren;abwärtsfahren
Adreßbuch;Adressbuch
Air-condition;Aircondition
alleinseligmachend;allein seligmachend
Alter ego;Alter Ego
aufwärts gehen;aufwärtsgehen
auseinander schreiben;auseinanderschreiben
bankrott gehen;bankrottgehen
rote Bete;Rote Bete
beiseite schieben;beiseiteschieben
beiseite legen;beiseitelegen
belemmert;belämmert
bestehenbleiben;bestehen bleiben
bewußt werden;bewusstwerden
bewußt machen;bewusstmachen
Black box;Blackbox
bloßstrampeln;bloß strampeln
Blue chip;Bluechip
Tip;Tipp
Tips;Tipps
Börsentip;Börsentipp
Börsentips;Börsentipps
Buchtip;Buchtipp
Buchtips;Buchtipps
Filmtip;Filmtipp
Filmtips;Filmtipps
Extratip;Extratipp
Extratips;Extratipps
Geheimtip;Geheimtipp
Geheimtips;Geheimtipps
Insidertip;Insidertipp
Insidertips;Insidertipps
Geschenktip;Geschenktipp
Geschenktips;Geschenktipps
Reisetip;Reisetipp
Reisetips;Reisetipps
spazierengehen;spazieren gehen
Café au lait;Café au Lait
deplazieren;deplatzieren
deplaziert;deplatziert
Direct-Mailing;Direct Mailing
Dream Team;Dream-Team
auseinander setzen;auseinandersetzen
einbleuen;einbläuen
einbleue;einbläue
einbleut;einbläut
einbleute;einbläute
einbleuten;einbläuten
einbleust;einbläust
eingebleut;eingebläut
einzubleuen;einzubläuen
Einbleuen;Einbläuen
Einbleuens;Einbläuens
eisigkalt;eisig kalt
Entweder-Oder;Entweder-oder
Eßlöffel;Esslöffel
Fair play;Fair Play
Fairneß;Fairness
Fast food;Fast Food
Fitneßstudio;Fitnessstudio
Flat rate;Flatrate
Flußkrebs;Flusskrebs
Flußschiffahrt;Flussschifffahrt
fönen;föhnen
föne;föhne
fönst;föhnst
fönt;föhnt
gefönt;geföhnt
Fönen;Föhnen
Fönens;Föhnens
Fön;Föhn
Föns;Föhns
Fönes;Föhnes
Föne;Föhne
Fönen;Föhnen
Free climbing;Freeclimbing
fritieren;frittieren
fritiere;frittiere
fritierst;frittierst
fritiert;frittiert
Fritieren;Frittieren
Fritierens;Frittierens
Friteuse;Fritteuse
Full-time-Job;Fulltime-Job
Fußballänderspiel;Fußballländerspiel
#gern haben;gernhaben -- auskommentiert wg. "das kannst du gern haben"
Geschoß;Geschoss
Erdgeschoß;Erdgeschoss
Erdgeschoßes;Erdgeschosses
Erdgeschoßen;Erdgeschossen
Wohngeschoß;Wohngeschoss
Wohngeschoßes;Wohngeschosses
Wohngeschoßen;Wohngeschossen
Zwischengeschoß;Zwischengeschoss
Zwischengeschoßes;Zwischengeschosses
Zwischengeschoßen;Zwischengeschossen
Wurfgeschoß;Wurfgeschoss
Wurfgeschoßes;Wurfgeschosses
Wurfgeschoßen;Wurfgeschossen
Vollgeschoß;Vollgeschoss
Vollgeschoßes;Vollgeschosses
Vollgeschoßen;Vollgeschossen
gut tun;guttun
Glimmstengel;Glimmstängel
Stengel;Stängel
Stengels;Stängels
Stengeln;Stängeln
glühendheiß;glühend heiß
Greuel;Gräuel
Greuelmärchen;Gräuelmärchen
Greuelmärchens;Gräuelmärchens
greulich;gräulich
Green card;Greencard
Happy-End;Happy End
Hard cover;Hardcover
helleuchtend;hellleuchtend
hellodernd;helllodernd
hellicht;helllicht
Homedreß;Homedress
Hosteß;Hostess
Hot spot;Hotspot
Science-fiction;Science-Fiction
Numerierung;Nummerierung
Numerierungen;Nummerierungen
numerieren;nummerieren
numeriere;nummeriere
numerierst;nummerierst
numeriert;nummeriert
numerierte;nummerierte
numerierten;nummerierten
Kompaß;Kompass
I-Dötzchen;i-Dötzchen
Roß;Ross
Imbißstand;Imbissstand
instandbesetzen;instand besetzen
Joint-venture;Joint Venture
Kammolch;Kammmolch
Karamel;Karamell
Karamels;Karamells
karamelisieren;karamellisieren
karamelieren;karamellieren
Photo;Foto
Photos;Fotos
Reisepaß;Reisepass
krank melden;krankmelden
krank schreiben;krankschreiben
gesund schreiben;gesundschreiben
kroß braten;krossbraten
Kumyß;Kumyss
kurz fassen;kurzfassen
leerstehen;leer stehen
leid tun|Leid tun;leidtun
Love-Story;Lovestory
Short story;Shortstory|Short Story
Softskill;Soft Skill
Midlife-crisis;Midlife-Crisis|Midlifecrisis
Mop;Mopp
Multiple-choice-Verfahren;Multiple-Choice-Verfahren
naß machen;nassmachen
No-future-Generation;No-Future-Generation
not tun;nottun
Nußschokolade;Nussschokolade
Ohmsch;ohmsch|Ohm’sch
Personalcomputer;Personal Computer
Personalcomputers;Personal Computers
Personalcomputern;Personal Computern
plazieren;platzieren
plaziere;platziere
plazierst;platzierst
plaziert;platziert
plazierte;platzierte
plazierten;platzierten
schlußfolgern;schlussfolgern
Schlußfolgerung;Schlussfolgerung
Schlußfolge;Schlussfolge
Schlußformel;Schlussformel
Plazierung;Platzierung
Plazierungen;Platzierungen
pleite gehen;pleitegehen
Pole-position;Poleposition
Pole-positionen;Polepositionen
Pop-art;Pop-Art
Grimmsch;grimmsch
Marxsch;marxsch
Potemkinsch;potemkinsch
Prime time;Primetime
Pußta;Puszta
Quentchen;Quäntchen
rar machen;rarmachen
Rauhbein;Raubein
rauhbeinig;raubeinig
Rauhfasertapete;Raufasertapete
Rauhfaser;Raufaser
Rauhreif;Raureif
Rauhreifs;Raureifs
Rolladen;Rollladen
Rolladens;Rollladens
Rolläden;Rollläden
kompromißlerisch;kompromisslerisch
Round table;Round Table
Round-table-Konferenz;Round-Table-Konferenz
Round-table-Gespräch;Round-Table-Gespräch
satt bekommen;sattbekommen
satt haben;satthaben
sauberhalten;sauber halten
mißgünstig;missgünstig
Schlammasse;Schlammmasse
schlau machen;schlaumachen
Schlußstrich;Schlussstrich
schneuzen;schnäuzen
schneuze;schnäuze
schneuzt;schnäuzt
schneuzte;schnäuzte
schneuzten;schnäuzten
geschneuzt;geschnäuzt
Nußschale;Nussschale
Baggy pants;Baggy Pants
Hot pants;Hotpants
Freudsch;freudsch
Bittag;Bitttag
schnellebig;schnelllebig
Schnellebigkeit;Schnelllebigkeit
schwarzweißmalen;schwarzweiß malen|schwarz-weiß malen
schwer fallen;schwerfallen
beschloß;beschloss
daß;dass
sodaß;sodass
fahrläßig;fahrlässig
fahrläßige;fahrlässige
